year,prison,release,probation
2017.999999972,0.0,0.0,0.0
2018.083333305,0.0,0.0,0.0
2018.166666638,0.0,0.0,0.0
2018.249999971,0.0,0.0,0.0
2018.333333304,0.0,0.0,0.0
2018.416666637,0.0,0.0,0.0
2018.49999997,0.0,0.0,0.0
2018.583333303,0.0,0.0,0.0
2018.666666636,0.0,0.0,0.0
2018.749999969,0.0,0.0,0.0
2018.833333302,0.0,0.0,0.0
2018.916666635,0.0,0.0,0.0
2018.999999968,0.0,0.0,0.0
2019.083333301,0.0,0.0,0.0
2019.166666634,0.0,0.0,0.0
2019.249999967,0.0,0.0,0.0
2019.3333333,0.0,0.0,0.0
2019.416666633,0.0,0.0,0.0
2019.499999966,0.0,0.0,0.0
2019.583333299,0.0,0.0,0.0
2019.666666632,0.0,0.0,0.0
2019.749999965,0.0,0.0,0.0
2019.833333298,0.0,0.0,0.0
2019.916666631,0.0,0.0,0.0
2019.999999964,0.0,0.0,0.0
2020.083333297,0.0,0.0,0.0
2020.16666663,0.0,0.0,0.0
2020.249999963,0.0,0.0,0.0
2020.333333296,0.0,0.0,0.0
2020.416666629,0.0,0.0,0.0
2020.499999962,0.0,0.0,0.0
2020.583333295,0.0,0.0,0.0
2020.666666628,0.0,0.0,0.0
2020.749999961,0.0,0.0,0.0
2020.833333294,0.0,0.0,0.0
2020.916666627,0.0,0.0,0.0
2020.99999996,0.0,0.0,0.0
2021.083333293,0.0,0.0,0.0
2021.166666626,0.0,0.0,0.0
2021.249999959,0.0,0.0,0.0
2021.333333292,0.23587909175808766,0.0,-0.2358790448569619
2021.416666625,0.9780853469016332,0.0,-0.9780852548325755
2021.499999958,2.225597950026334,0.0,-2.2255978144846424
2021.583333291,3.9781306130874596,0.0,-3.9781304296099407
2021.666666624,6.766401358901675,0.0,-6.766401102659729
2021.749999957,27.89271818501268,0.0,-27.892717876481456
2021.83333329,89.00209032179433,0.0,-89.00209000921464
2021.916666623,190.6270970720214,0.0,-190.62709678647008
2021.999999956,292.1177719710035,0.0,-292.117771873485
2022.083333289,393.4713777714447,0.0,-393.47137802349414
2022.166666622,494.68163526799117,0.0,-494.6816360294698
2022.249999955,595.7241232353399,0.0,-595.7241246653629
2022.333333288,697.3072715345148,0.0,-697.3072737563705
2022.416666621,800.3876183754238,0.0,-800.3876214973133
2022.499999954,905.7430572697036,0.0,-905.7430614026911
2022.583333287,1014.6555673828889,0.0,-1014.6555726462105
2022.66666662,1128.2455304478024,0.0,-1128.2455369196011
2022.749999953,1259.2040863504753,0.0,-1259.20409413717
2022.833333286,1418.0405931661217,0.0,-1418.040602386844
2022.916666619,1604.89178904459,0.0,-1604.8917998141417
2022.999999952,1791.4680528322688,0.0,-1791.4680651969688
2023.083333285,1977.7224372182563,-0.19957186714079728,-1977.5228793575186
2023.166666618,2163.5920091658627,-0.8275355729933471,-2162.764489288109
2023.249999951,2348.929067009281,-1.883027428951231,-2347.046057010346
2023.333333284,2534.561087054363,-3.3658052081030885,-2531.1953010795046
2023.416666617,2721.9638042941265,-5.724897278972671,-2716.2389281375863
2023.49999995,2910.251948717496,-23.599390909867097,-2886.6525809089835
2023.583333283,3097.8059822277573,-75.30263358420007,-3022.503373820866
2023.666666616,3285.2719857697057,-161.28522845974055,-3123.986784635666
2023.749999949,3482.4924214666635,-247.15416836325474,-3235.3382826498305
2023.833333282,3692.9057033945774,-332.90713737288775,-3359.998597856446
2023.916666615,3916.5217358409004,-418.53882279508383,-3497.982947236662
2023.999999948,4139.79121762154,-504.028562388776,-3635.7626918905908
2024.083333281,4362.581001146932,-589.9557852462098,-3772.62525513348
2024.166666614,4584.718217239528,-677.1069144683948,-3907.61134468704
2024.249999947,4806.546084931954,-766.1401943425442,-4040.405935296778
2024.33333328,5029.372749596142,-858.1403023615545,-4171.232494867287
2024.416666613,5255.814589089903,-954.0102650237335,-4301.8043747517195
2024.499999946,5483.724884035707,-1063.0238569378205,-4420.701080958946
2024.583333279,5709.331499557591,-1192.2414709679504,-4517.0900857454135
2024.666666612,5932.868482015167,-1341.7337378172722,-4591.1348047539095
2024.749999945,6161.244278604035,-1491.0047564464774,-4670.239586210593
2024.833333278,6395.353302910041,-1640.04575607442,-4755.307614474632
2024.916666611,6635.180069052658,-1788.8392423924465,-4846.340897973578
2024.999999944,6874.681287773413,-1937.2621816795058,-4937.419181126082
2025.083333277,7113.73408796586,-2085.944728232821,-5027.789438524284
2025.16666661,7352.214831356679,-2236.1122119287147,-5116.102702016057
2025.249999943,7590.987652029677,-2389.2031436564794,-5201.784594796607
2025.333333276,7831.865294293064,-2546.557658907718,-5285.307725660766
2025.416666609,8077.668394561174,-2708.674505752238,-5368.9939829157765
2025.499999942,8325.709038344088,-2876.7815735182808,-5448.92756267504
2025.583333275,8571.849232619059,-3051.9828290602118,-5519.866504991704
2025.666666608,8816.138448378835,-3234.2517351628,-5581.886818077964
2025.749999941,9063.086601558778,-3416.234528176495,-5646.852181652073
