,compartment,year,policy_total_population,control_total_population
0,prison,2017.999999972,35147.98806057385,35147.98806057385
1,prison,2018.083333305,35788.98747052776,35788.98747052776
2,prison,2018.166666638,36429.99748472014,36429.99748472014
3,prison,2018.249999971,37071.02447352374,37071.02447352374
4,prison,2018.333333304,37712.06031403711,37712.06031403711
5,prison,2018.416666637,38353.104213775136,38353.104213775136
6,prison,2018.49999997,38994.69338825389,38994.69338825389
7,prison,2018.583333303,39636.307901799235,39636.307901799235
8,prison,2018.666666636,40277.94720844235,40277.94720844235
9,prison,2018.749999969,40910.10842802574,40910.10842802574
10,prison,2018.833333302,41542.28226353602,41542.28226353602
11,prison,2018.916666635,42174.46821994455,42174.46821994455
12,prison,2018.999999968,42564.14741690019,42564.14741690019
13,prison,2019.083333301,42953.87097879848,42953.87097879848
14,prison,2019.166666634,43343.63869423041,43343.63869423041
15,prison,2019.249999967,43733.457493185284,43733.457493185284
16,prison,2019.3333333,44123.32012532135,44123.32012532135
17,prison,2019.416666633,44513.226289047154,44513.226289047154
18,prison,2019.499999966,44903.237113811905,44903.237113811905
19,prison,2019.583333299,45293.304689975375,45293.304689975375
20,prison,2019.666666632,45683.42883036979,45683.42883036979
21,prison,2019.749999965,45952.6332789513,45952.6332789513
22,prison,2019.833333298,46221.927237182936,46221.927237182936
23,prison,2019.916666631,46491.31042778464,46491.31042778464
24,prison,2019.999999964,46577.384106095866,46577.384106095866
25,prison,2020.083333297,46661.68522675228,46661.68522675228
26,prison,2020.16666663,46744.21300830725,46744.21300830725
27,prison,2020.249999963,46824.985229482765,46824.985229482765
28,prison,2020.333333296,46903.984152733006,46903.984152733006
29,prison,2020.416666629,46981.20955523577,46981.20955523577
30,prison,2020.499999962,47056.03381849607,47056.03381849607
31,prison,2020.583333295,47129.08435241536,47129.08435241536
32,prison,2020.666666628,47200.36099859123,47200.36099859123
33,prison,2020.749999961,47286.424095090355,47286.424095090355
34,prison,2020.833333294,47370.7107343906,47370.7107343906
35,prison,2020.916666627,47453.220517497706,47453.220517497706
36,prison,2020.99999996,47449.0592799804,47449.0592799804
37,prison,2021.083333293,47443.640421929915,47443.640421929915
