crime;admissions;releases;total
arson;56;53;144
assault;2,281;2,270;5,590
auto_theft;957;820;2,061
burglary_or_criminal_trespass;1,444;1,529;2,871
child_or_adult_abuse;167;158;320
child_molestation;141;155;1,745
criminal_damage;110;137;155
domestic_violence;195;183;167
drug_possession;4,066;3,964;4,081
drug_trafficking;1,722;1,991;4,850
dui;1,211;1,144;1,501
escape;119;111;179
forgery;322;299;380
fraud;92;111;289
identity_theft;190;185;393
kidnapping;221;251;1,312
manslaughter_or_neg_homicide;110;116;753
murder;169;116;3,166
other;1,058;977;1,653
rape_or_sexual_assault;86;62;590
robbery;834;813;3,574
sex_offense;599;534;2,910
theft;828;784;1,034
trafficking_in_stolen_property;267;306;651
weapons_offense;916;903;1,943
