,compartment,compartment_duration,crime_type,is_violent,outflow_to,time_step,total_population
0,prison,2.9589041095890414,arson,True,release,,1.0
1,release,1.0,arson,True,prison,,0.13033333333333333
2,release,2.0,arson,True,prison,,0.13033333333333333
3,release,3.0,arson,True,prison,,0.13033333333333333
4,release,80.0,arson,True,release,,0.609
0,prison,2.390402075226978,assault,True,release,,1.0
1,release,1.0,assault,True,prison,,0.13033333333333333
2,release,2.0,assault,True,prison,,0.13033333333333333
3,release,3.0,assault,True,prison,,0.13033333333333333
4,release,80.0,assault,True,release,,0.609
0,prison,2.110589085652331,auto_theft,False,release,,1.0
1,release,1.0,auto_theft,False,prison,,0.13033333333333333
2,release,2.0,auto_theft,False,prison,,0.13033333333333333
3,release,3.0,auto_theft,False,prison,,0.13033333333333333
4,release,80.0,auto_theft,False,release,,0.609
0,prison,1.9940093188373642,burglary_or_criminal_trespass,True,release,,1.0
1,release,1.0,burglary_or_criminal_trespass,True,prison,,0.13033333333333333
2,release,2.0,burglary_or_criminal_trespass,True,prison,,0.13033333333333333
3,release,3.0,burglary_or_criminal_trespass,True,prison,,0.13033333333333333
4,release,80.0,burglary_or_criminal_trespass,True,release,,0.609
0,prison,1.8062622309197651,child_or_adult_abuse,True,release,,1.0
1,release,1.0,child_or_adult_abuse,True,prison,,0.13033333333333333
2,release,2.0,child_or_adult_abuse,True,prison,,0.13033333333333333
3,release,3.0,child_or_adult_abuse,True,prison,,0.13033333333333333
4,release,80.0,child_or_adult_abuse,True,release,,0.609
0,prison,9.965779467680607,child_molestation,True,release,,1.0
1,release,1.0,child_molestation,True,prison,,0.13033333333333333
2,release,2.0,child_molestation,True,prison,,0.13033333333333333
3,release,3.0,child_molestation,True,prison,,0.13033333333333333
4,release,80.0,child_molestation,True,release,,0.609
0,prison,1.231527093596059,criminal_damage,False,release,,1.0
1,release,1.0,criminal_damage,False,prison,,0.13033333333333333
2,release,2.0,criminal_damage,False,prison,,0.13033333333333333
3,release,3.0,criminal_damage,False,prison,,0.13033333333333333
4,release,80.0,criminal_damage,False,release,,0.609
0,prison,0.817258883248731,domestic_violence,False,release,,1.0
1,release,1.0,domestic_violence,False,prison,,0.13033333333333333
2,release,2.0,domestic_violence,False,prison,,0.13033333333333333
3,release,3.0,domestic_violence,False,prison,,0.13033333333333333
4,release,80.0,domestic_violence,False,release,,0.609
0,prison,0.9904445013224127,drug_possession,False,release,,1.0
1,release,1.0,drug_possession,False,prison,,0.13033333333333333
2,release,2.0,drug_possession,False,prison,,0.13033333333333333
