,compartment,compartment_duration,outflow_to,total_population,crime_type,time_step
0,probation,1.0,release,0.3043531453075601,felony,
1,probation,2.0,release,0.17379734284776643,felony,
2,probation,3.0,release,0.10176003134744217,felony,
3,probation,4.0,release,0.0601951123553566,felony,
4,probation,5.0,release,0.035808285038544135,felony,
5,probation,6.0,release,0.02137706551428054,felony,
6,probation,7.0,release,0.012793134425205018,felony,
7,probation,8.0,release,0.007669814221703351,felony,
8,probation,9.0,release,0.00460455543720114,felony,
9,probation,10.0,release,0.0027673232770936236,felony,
10,probation,11.0,release,0.0016646072909935505,felony,
11,probation,12.0,release,0.0010020219184841295,felony,
12,probation,13.0,release,0.0006035398214377558,felony,
13,probation,14.0,release,0.0003637130264183661,felony,
14,probation,15.0,release,0.0002192830343138907,felony,
15,probation,16.0,release,0.00013225725234788184,felony,
16,probation,17.0,release,7.979612992282537e-05,felony,
17,probation,18.0,release,4.815874008502692e-05,felony,
18,probation,19.0,release,2.9072688224363677e-05,felony,
19,probation,20.0,release,1.7554968948127193e-05,felony,
20,probation,21.0,release,1.060252999303622e-05,felony,
21,probation,22.0,release,6.404787439113319e-06,felony,
22,probation,23.0,release,3.869706900720193e-06,felony,
23,probation,24.0,release,2.3384221122070188e-06,felony,
24,probation,25.0,release,1.4132968607455196e-06,felony,
25,probation,26.0,release,8.542881390643978e-07,felony,
26,probation,27.0,release,5.164535757343199e-07,felony,
27,probation,28.0,release,3.1225547456095457e-07,felony,
28,probation,29.0,release,1.8881524396233334e-07,felony,
29,probation,30.0,release,1.1418498437684618e-07,felony,
30,probation,31.0,release,6.905942232300529e-08,felony,
31,probation,32.0,release,4.177112958609361e-08,felony,
32,probation,33.0,release,2.526774068911762e-08,felony,
33,probation,34.0,release,1.5285910470011773e-08,felony,
34,probation,35.0,release,9.24802314707307e-09,felony,
35,probation,36.0,release,5.595480136548401e-09,felony,
36,probation,37.0,release,3.3857506577369805e-09,felony,
37,probation,38.0,release,2.048802955005625e-09,felony,
38,probation,39.0,release,1.2398569620130623e-09,felony,
39,probation,40.0,release,7.503568050783496e-10,felony,
40,probation,41.0,release,4.5413783611313707e-10,felony,
41,probation,42.0,release,2.7487170016558127e-10,felony,
42,probation,43.0,release,1.663771936746054e-10,felony,
43,probation,44.0,release,1.0071125295577016e-10,felony,
44,probation,45.0,release,6.096516074804355e-11,felony,
45,probation,46.0,release,3.690660604550064e-11,felony,
46,probation,47.0,release,2.2343147559334985e-11,felony,
47,probation,48.0,release,1.3527006702779863e-11,felony,
48,probation,49.0,release,8.189840768924332e-12,felony,
49,probation,50.0,release,4.958667060845295e-12,felony,
50,probation,1.0,prison,0.11638651610555704,felony,
51,probation,2.0,prison,0.06646117365409115,felony,
52,probation,3.0,prison,0.03891366233574744,felony,
