statute,sentence_update_percent
181111,0
181114,0
181117,0
181958,0
18751,0
181512,0
18111,0
222778,0
181591,0
181201,0
181203,0
182251,0
182252,0
182421,0
182423,0
181959,0
18115,0
18113,5
182114,5
182118,5
182111,5
18555,5
81326,5
81324,5
181503,5
181951,5
21858,5
265822,5
265845,5
267212,5
18241,5
18242,5
18844,5
182119,5
181361,5
183147,5
181347,5
181466,5
181716,5
182117,20
18875,20
18876,20
18894,20
181961,20
181962,20
181963,20
181509,20
181510,20
181519,20
182114B,20
18924,20
18922,20
265841,20
265861,20
265871,20
181001,20
181542,20
181621,20
181622,20
181708,20
181343,20
181344,20
181349,20
72156,20
21851,20
183146,20
18201,20
315324,20
181028,20
18641,20
267206,20
181955,20
182312,20
182315,20
181014,20
181029,20
18371,20
18554,20
7136J,20
7136,20
21841,100
21843,100
21844,100
21846,100
21848,100
21856,100
21859,100
21860,100
21861,100
21952,100
21959,100
21960,100
21963,100
4670502,100
4670503,100
4670504,100
4670506,100
181956,100
181957,100
18922D3,100
18922G3,100
18924C,100
18924E,100
21843B,100
181952,100
181791,100
182,100
183,100
183551,100
184,100
1813,20
187,100
181709,20
4946314A,100
4946314B2,100
81325A1,5
16668DDF1,20
