time_step,compartment,outflow_to,offense,age,total_population
0,pretrial,prison,Burglary,55,87.144
0,pretrial,prison,Burglary,56,87.144
0,pretrial,prison,Burglary,57,87.144
0,pretrial,prison,Burglary,58,87.144
0,pretrial,prison,Burglary,59,87.144
0,pretrial,prison,Burglary,60,43.32
0,pretrial,prison,Burglary,61,43.32
0,pretrial,prison,Burglary,62,43.32
0,pretrial,prison,Burglary,63,43.32
0,pretrial,prison,Burglary,64,43.32
0,pretrial,prison,Burglary,65,14.616
0,pretrial,prison,Burglary,66,14.616
0,pretrial,prison,Burglary,67,14.616
0,pretrial,prison,Burglary,68,14.616
0,pretrial,prison,Burglary,69,14.616
0,pretrial,prison,Burglary,70,4.104
0,pretrial,prison,Burglary,71,4.104
0,pretrial,prison,Burglary,72,4.104
0,pretrial,prison,Burglary,73,4.104
0,pretrial,prison,Burglary,74,4.104
0,pretrial,prison,Burglary,75,2.208
0,pretrial,prison,Burglary,76,2.208
0,pretrial,prison,Burglary,77,2.208
0,pretrial,prison,Burglary,78,2.208
0,pretrial,prison,Burglary,79,2.208
0,pretrial,prison,Burglary,80,0.504
0,pretrial,prison,Burglary,81,0.504
0,pretrial,prison,Burglary,82,0.504
0,pretrial,prison,Burglary,83,0.504
0,pretrial,prison,Burglary,84,0.504
0,pretrial,prison,Burglary,85,0.096
0,pretrial,prison,Burglary,86,0.096
0,pretrial,prison,Burglary,87,0.096
0,pretrial,prison,Burglary,88,0.096
0,pretrial,prison,Burglary,89,0.096
0,pretrial,prison,Burglary,90,0.024
0,pretrial,prison,Burglary,91,0.024
0,pretrial,prison,Burglary,92,0.024
0,pretrial,prison,Burglary,93,0.024
0,pretrial,prison,Burglary,94,0.024
0,pretrial,prison,Drug offenses,55,83.513
0,pretrial,prison,Drug offenses,56,83.513
0,pretrial,prison,Drug offenses,57,83.513
0,pretrial,prison,Drug offenses,58,83.513
0,pretrial,prison,Drug offenses,59,83.513
0,pretrial,prison,Drug offenses,60,41.515
0,pretrial,prison,Drug offenses,61,41.515
0,pretrial,prison,Drug offenses,62,41.515
0,pretrial,prison,Drug offenses,63,41.515
0,pretrial,prison,Drug offenses,64,41.515
0,pretrial,prison,Drug offenses,65,14.007
0,pretrial,prison,Drug offenses,66,14.007
0,pretrial,prison,Drug offenses,67,14.007
0,pretrial,prison,Drug offenses,68,14.007
0,pretrial,prison,Drug offenses,69,14.007
0,pretrial,prison,Drug offenses,70,3.933
0,pretrial,prison,Drug offenses,71,3.933
