,compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population,time_step
0,prison,release,Burglary,55,14.0,,,,
1,prison,release,Burglary,56,14.0,,,,
2,prison,release,Burglary,57,14.0,,,,
3,prison,release,Burglary,58,14.0,,,,
4,prison,release,Burglary,59,14.0,,,,
5,prison,release,Burglary,60,14.0,,,,
6,prison,release,Burglary,61,14.0,,,,
7,prison,release,Burglary,62,14.0,,,,
8,prison,release,Burglary,63,14.0,,,,
9,prison,release,Burglary,64,14.0,,,,
10,prison,release,Burglary,65,14.0,,,,
11,prison,release,Burglary,66,14.0,,,,
12,prison,release,Burglary,67,14.0,,,,
13,prison,release,Burglary,68,14.0,,,,
14,prison,release,Burglary,69,14.0,,,,
15,prison,release,Burglary,70,14.0,,,,
16,prison,release,Burglary,71,14.0,,,,
17,prison,release,Burglary,72,14.0,,,,
18,prison,release,Burglary,73,14.0,,,,
19,prison,release,Burglary,74,14.0,,,,
20,prison,release,Burglary,75,14.0,,,,
21,prison,release,Burglary,76,14.0,,,,
22,prison,release,Burglary,77,14.0,,,,
23,prison,release,Burglary,78,14.0,,,,
24,prison,release,Burglary,79,14.0,,,,
25,prison,release,Burglary,80,14.0,,,,
26,prison,release,Burglary,81,14.0,,,,
27,prison,release,Burglary,82,14.0,,,,
28,prison,release,Burglary,83,14.0,,,,
29,prison,release,Burglary,84,14.0,,,,
30,prison,release,Burglary,85,14.0,,,,
31,prison,release,Burglary,86,14.0,,,,
32,prison,release,Burglary,87,14.0,,,,
33,prison,release,Burglary,88,14.0,,,,
34,prison,release,Burglary,89,14.0,,,,
35,prison,release,Burglary,90,14.0,,,,
36,prison,release,Burglary,91,14.0,,,,
37,prison,release,Burglary,92,14.0,,,,
38,prison,release,Burglary,93,14.0,,,,
39,prison,release,Burglary,94,14.0,,,,
40,prison,release,Drug offenses,55,7.7,,,,
41,prison,release,Drug offenses,56,7.7,,,,
42,prison,release,Drug offenses,57,7.7,,,,
43,prison,release,Drug offenses,58,7.7,,,,
44,prison,release,Drug offenses,59,7.7,,,,
45,prison,release,Drug offenses,60,7.7,,,,
46,prison,release,Drug offenses,61,7.7,,,,
47,prison,release,Drug offenses,62,7.7,,,,
48,prison,release,Drug offenses,63,7.7,,,,
49,prison,release,Drug offenses,64,7.7,,,,
50,prison,release,Drug offenses,65,7.7,,,,
