compartment,outflow_to,offense,age,compartment_duration
prison,release,Burglary,55,14
prison,release,Burglary,56,14
prison,release,Burglary,57,14
prison,release,Burglary,58,14
prison,release,Burglary,59,14
prison,release,Burglary,60,14
prison,release,Burglary,61,14
prison,release,Burglary,62,14
prison,release,Burglary,63,14
prison,release,Burglary,64,14
prison,release,Burglary,65,14
prison,release,Burglary,66,14
prison,release,Burglary,67,14
prison,release,Burglary,68,14
prison,release,Burglary,69,14
prison,release,Burglary,70,14
prison,release,Burglary,71,14
prison,release,Burglary,72,14
prison,release,Burglary,73,14
prison,release,Burglary,74,14
prison,release,Burglary,75,14
prison,release,Burglary,76,14
prison,release,Burglary,77,14
prison,release,Burglary,78,14
prison,release,Burglary,79,14
prison,release,Burglary,80,14
prison,release,Burglary,81,14
prison,release,Burglary,82,14
prison,release,Burglary,83,14
prison,release,Burglary,84,14
prison,release,Burglary,85,14
prison,release,Burglary,86,14
prison,release,Burglary,87,14
prison,release,Burglary,88,14
prison,release,Burglary,89,14
prison,release,Burglary,90,14
prison,release,Burglary,91,14
prison,release,Burglary,92,14
prison,release,Burglary,93,14
prison,release,Burglary,94,14
prison,release,Drug offenses,55,7.7
prison,release,Drug offenses,56,7.7
prison,release,Drug offenses,57,7.7
prison,release,Drug offenses,58,7.7
prison,release,Drug offenses,59,7.7
prison,release,Drug offenses,60,7.7
prison,release,Drug offenses,61,7.7
prison,release,Drug offenses,62,7.7
prison,release,Drug offenses,63,7.7
prison,release,Drug offenses,64,7.7
prison,release,Drug offenses,65,7.7
prison,release,Drug offenses,66,7.7
prison,release,Drug offenses,67,7.7
prison,release,Drug offenses,68,7.7
prison,release,Drug offenses,69,7.7
prison,release,Drug offenses,70,7.7
prison,release,Drug offenses,71,7.7
prison,release,Drug offenses,72,7.7
prison,release,Drug offenses,73,7.7
prison,release,Drug offenses,74,7.7
prison,release,Drug offenses,75,7.7
prison,release,Drug offenses,76,7.7
prison,release,Drug offenses,77,7.7
prison,release,Drug offenses,78,7.7
prison,release,Drug offenses,79,7.7
prison,release,Drug offenses,80,7.7
prison,release,Drug offenses,81,7.7
prison,release,Drug offenses,82,7.7
prison,release,Drug offenses,83,7.7
prison,release,Drug offenses,84,7.7
prison,release,Drug offenses,85,7.7
prison,release,Drug offenses,86,7.7
prison,release,Drug offenses,87,7.7
prison,release,Drug offenses,88,7.7
prison,release,Drug offenses,89,7.7
prison,release,Drug offenses,90,7.7
prison,release,Drug offenses,91,7.7
prison,release,Drug offenses,92,7.7
prison,release,Drug offenses,93,7.7
prison,release,Drug offenses,94,7.7
prison,release,murder/manslaughter,55,36.5
prison,release,murder/manslaughter,56,36.5
prison,release,murder/manslaughter,57,36.5
prison,release,murder/manslaughter,58,36.5
prison,release,murder/manslaughter,59,36.5
prison,release,murder/manslaughter,60,36.5
prison,release,murder/manslaughter,61,36.5
prison,release,murder/manslaughter,62,36.5
prison,release,murder/manslaughter,63,36.5
prison,release,murder/manslaughter,64,36.5
prison,release,murder/manslaughter,65,36.5
prison,release,murder/manslaughter,66,36.5
prison,release,murder/manslaughter,67,36.5
prison,release,murder/manslaughter,68,36.5
prison,release,murder/manslaughter,69,36.5
prison,release,murder/manslaughter,70,36.5
prison,release,murder/manslaughter,71,36.5
prison,release,murder/manslaughter,72,36.5
prison,release,murder/manslaughter,73,36.5
prison,release,murder/manslaughter,74,36.5
prison,release,murder/manslaughter,75,36.5
prison,release,murder/manslaughter,76,36.5
prison,release,murder/manslaughter,77,36.5
prison,release,murder/manslaughter,78,36.5
prison,release,murder/manslaughter,79,36.5
prison,release,murder/manslaughter,80,36.5
prison,release,murder/manslaughter,81,36.5
prison,release,murder/manslaughter,82,36.5
prison,release,murder/manslaughter,83,36.5
prison,release,murder/manslaughter,84,36.5
prison,release,murder/manslaughter,85,36.5
prison,release,murder/manslaughter,86,36.5
prison,release,murder/manslaughter,87,36.5
prison,release,murder/manslaughter,88,36.5
prison,release,murder/manslaughter,89,36.5
prison,release,murder/manslaughter,90,36.5
prison,release,murder/manslaughter,91,36.5
prison,release,murder/manslaughter,92,36.5
prison,release,murder/manslaughter,93,36.5
prison,release,murder/manslaughter,94,36.5
prison,release,Other,55,6.8
prison,release,Other,56,6.8
prison,release,Other,57,6.8
prison,release,Other,58,6.8
prison,release,Other,59,6.8
prison,release,Other,60,6.8
prison,release,Other,61,6.8
prison,release,Other,62,6.8
prison,release,Other,63,6.8
prison,release,Other,64,6.8
prison,release,Other,65,6.8
prison,release,Other,66,6.8
prison,release,Other,67,6.8
prison,release,Other,68,6.8
prison,release,Other,69,6.8
prison,release,Other,70,6.8
prison,release,Other,71,6.8
prison,release,Other,72,6.8
prison,release,Other,73,6.8
prison,release,Other,74,6.8
prison,release,Other,75,6.8
prison,release,Other,76,6.8
prison,release,Other,77,6.8
prison,release,Other,78,6.8
prison,release,Other,79,6.8
prison,release,Other,80,6.8
prison,release,Other,81,6.8
prison,release,Other,82,6.8
prison,release,Other,83,6.8
prison,release,Other,84,6.8
prison,release,Other,85,6.8
prison,release,Other,86,6.8
prison,release,Other,87,6.8
prison,release,Other,88,6.8
prison,release,Other,89,6.8
prison,release,Other,90,6.8
prison,release,Other,91,6.8
prison,release,Other,92,6.8
prison,release,Other,93,6.8
prison,release,Other,94,6.8
prison,release,Robbery,55,21.5
prison,release,Robbery,56,21.5
prison,release,Robbery,57,21.5
prison,release,Robbery,58,21.5
prison,release,Robbery,59,21.5
prison,release,Robbery,60,21.5
prison,release,Robbery,61,21.5
prison,release,Robbery,62,21.5
prison,release,Robbery,63,21.5
prison,release,Robbery,64,21.5
prison,release,Robbery,65,21.5
prison,release,Robbery,66,21.5
prison,release,Robbery,67,21.5
prison,release,Robbery,68,21.5
prison,release,Robbery,69,21.5
prison,release,Robbery,70,21.5
prison,release,Robbery,71,21.5
prison,release,Robbery,72,21.5
prison,release,Robbery,73,21.5
prison,release,Robbery,74,21.5
prison,release,Robbery,75,21.5
prison,release,Robbery,76,21.5
prison,release,Robbery,77,21.5
prison,release,Robbery,78,21.5
prison,release,Robbery,79,21.5
prison,release,Robbery,80,21.5
prison,release,Robbery,81,21.5
prison,release,Robbery,82,21.5
prison,release,Robbery,83,21.5
prison,release,Robbery,84,21.5
prison,release,Robbery,85,21.5
prison,release,Robbery,86,21.5
prison,release,Robbery,87,21.5
prison,release,Robbery,88,21.5
prison,release,Robbery,89,21.5
prison,release,Robbery,90,21.5
prison,release,Robbery,91,21.5
prison,release,Robbery,92,21.5
prison,release,Robbery,93,21.5
prison,release,Robbery,94,21.5
prison,release,Sexual offenses,55,24.9
prison,release,Sexual offenses,56,24.9
prison,release,Sexual offenses,57,24.9
prison,release,Sexual offenses,58,24.9
prison,release,Sexual offenses,59,24.9
prison,release,Sexual offenses,60,24.9
prison,release,Sexual offenses,61,24.9
prison,release,Sexual offenses,62,24.9
prison,release,Sexual offenses,63,24.9
prison,release,Sexual offenses,64,24.9
prison,release,Sexual offenses,65,24.9
prison,release,Sexual offenses,66,24.9
prison,release,Sexual offenses,67,24.9
prison,release,Sexual offenses,68,24.9
prison,release,Sexual offenses,69,24.9
prison,release,Sexual offenses,70,24.9
prison,release,Sexual offenses,71,24.9
prison,release,Sexual offenses,72,24.9
prison,release,Sexual offenses,73,24.9
prison,release,Sexual offenses,74,24.9
prison,release,Sexual offenses,75,24.9
prison,release,Sexual offenses,76,24.9
prison,release,Sexual offenses,77,24.9
prison,release,Sexual offenses,78,24.9
prison,release,Sexual offenses,79,24.9
prison,release,Sexual offenses,80,24.9
prison,release,Sexual offenses,81,24.9
prison,release,Sexual offenses,82,24.9
prison,release,Sexual offenses,83,24.9
prison,release,Sexual offenses,84,24.9
prison,release,Sexual offenses,85,24.9
prison,release,Sexual offenses,86,24.9
prison,release,Sexual offenses,87,24.9
prison,release,Sexual offenses,88,24.9
prison,release,Sexual offenses,89,24.9
prison,release,Sexual offenses,90,24.9
prison,release,Sexual offenses,91,24.9
prison,release,Sexual offenses,92,24.9
prison,release,Sexual offenses,93,24.9
prison,release,Sexual offenses,94,24.9
prison,release,Theft/forgery/fraud,55,5.4
prison,release,Theft/forgery/fraud,56,5.4
prison,release,Theft/forgery/fraud,57,5.4
prison,release,Theft/forgery/fraud,58,5.4
prison,release,Theft/forgery/fraud,59,5.4
prison,release,Theft/forgery/fraud,60,5.4
prison,release,Theft/forgery/fraud,61,5.4
prison,release,Theft/forgery/fraud,62,5.4
prison,release,Theft/forgery/fraud,63,5.4
prison,release,Theft/forgery/fraud,64,5.4
prison,release,Theft/forgery/fraud,65,5.4
prison,release,Theft/forgery/fraud,66,5.4
prison,release,Theft/forgery/fraud,67,5.4
prison,release,Theft/forgery/fraud,68,5.4
prison,release,Theft/forgery/fraud,69,5.4
prison,release,Theft/forgery/fraud,70,5.4
prison,release,Theft/forgery/fraud,71,5.4
prison,release,Theft/forgery/fraud,72,5.4
prison,release,Theft/forgery/fraud,73,5.4
prison,release,Theft/forgery/fraud,74,5.4
prison,release,Theft/forgery/fraud,75,5.4
prison,release,Theft/forgery/fraud,76,5.4
prison,release,Theft/forgery/fraud,77,5.4
prison,release,Theft/forgery/fraud,78,5.4
prison,release,Theft/forgery/fraud,79,5.4
prison,release,Theft/forgery/fraud,80,5.4
prison,release,Theft/forgery/fraud,81,5.4
prison,release,Theft/forgery/fraud,82,5.4
prison,release,Theft/forgery/fraud,83,5.4
prison,release,Theft/forgery/fraud,84,5.4
prison,release,Theft/forgery/fraud,85,5.4
prison,release,Theft/forgery/fraud,86,5.4
prison,release,Theft/forgery/fraud,87,5.4
prison,release,Theft/forgery/fraud,88,5.4
prison,release,Theft/forgery/fraud,89,5.4
prison,release,Theft/forgery/fraud,90,5.4
prison,release,Theft/forgery/fraud,91,5.4
prison,release,Theft/forgery/fraud,92,5.4
prison,release,Theft/forgery/fraud,93,5.4
prison,release,Theft/forgery/fraud,94,5.4
prison,release,Violent personal,55,13.4
prison,release,Violent personal,56,13.4
prison,release,Violent personal,57,13.4
prison,release,Violent personal,58,13.4
prison,release,Violent personal,59,13.4
prison,release,Violent personal,60,13.4
prison,release,Violent personal,61,13.4
prison,release,Violent personal,62,13.4
prison,release,Violent personal,63,13.4
prison,release,Violent personal,64,13.4
prison,release,Violent personal,65,13.4
prison,release,Violent personal,66,13.4
prison,release,Violent personal,67,13.4
prison,release,Violent personal,68,13.4
prison,release,Violent personal,69,13.4
prison,release,Violent personal,70,13.4
prison,release,Violent personal,71,13.4
prison,release,Violent personal,72,13.4
prison,release,Violent personal,73,13.4
prison,release,Violent personal,74,13.4
prison,release,Violent personal,75,13.4
prison,release,Violent personal,76,13.4
prison,release,Violent personal,77,13.4
prison,release,Violent personal,78,13.4
prison,release,Violent personal,79,13.4
prison,release,Violent personal,80,13.4
prison,release,Violent personal,81,13.4
prison,release,Violent personal,82,13.4
prison,release,Violent personal,83,13.4
prison,release,Violent personal,84,13.4
prison,release,Violent personal,85,13.4
prison,release,Violent personal,86,13.4
prison,release,Violent personal,87,13.4
prison,release,Violent personal,88,13.4
prison,release,Violent personal,89,13.4
prison,release,Violent personal,90,13.4
prison,release,Violent personal,91,13.4
prison,release,Violent personal,92,13.4
prison,release,Violent personal,93,13.4
prison,release,Violent personal,94,13.4
prison,release,Weapons,55,7.2
prison,release,Weapons,56,7.2
prison,release,Weapons,57,7.2
prison,release,Weapons,58,7.2
prison,release,Weapons,59,7.2
prison,release,Weapons,60,7.2
prison,release,Weapons,61,7.2
prison,release,Weapons,62,7.2
prison,release,Weapons,63,7.2
prison,release,Weapons,64,7.2
prison,release,Weapons,65,7.2
prison,release,Weapons,66,7.2
prison,release,Weapons,67,7.2
prison,release,Weapons,68,7.2
prison,release,Weapons,69,7.2
prison,release,Weapons,70,7.2
prison,release,Weapons,71,7.2
prison,release,Weapons,72,7.2
prison,release,Weapons,73,7.2
prison,release,Weapons,74,7.2
prison,release,Weapons,75,7.2
prison,release,Weapons,76,7.2
prison,release,Weapons,77,7.2
prison,release,Weapons,78,7.2
prison,release,Weapons,79,7.2
prison,release,Weapons,80,7.2
prison,release,Weapons,81,7.2
prison,release,Weapons,82,7.2
prison,release,Weapons,83,7.2
prison,release,Weapons,84,7.2
prison,release,Weapons,85,7.2
prison,release,Weapons,86,7.2
prison,release,Weapons,87,7.2
prison,release,Weapons,88,7.2
prison,release,Weapons,89,7.2
prison,release,Weapons,90,7.2
prison,release,Weapons,91,7.2
prison,release,Weapons,92,7.2
prison,release,Weapons,93,7.2
prison,release,Weapons,94,7.2
