compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population
release,prison,Burglary,55,1,0.1,0.1,0.1
release,prison,Burglary,55,2,0.07,0.11,0.09
release,prison,Burglary,55,3,0.06,0.08,0.07
release,release_permanently,Burglary,55,3,,,0.74
release,prison,Drug offenses,55,1,0.1,0.05,0.075
release,prison,Drug offenses,55,2,0.07,0.07,0.07
release,prison,Drug offenses,55,3,0.06,0.07,0.065
release,release_permanently,Drug offenses,55,3,,,0.79
release,prison,murder/manslaughter,55,1,0.1,0.07,0.085
release,prison,murder/manslaughter,55,2,0.07,0.06,0.065
release,prison,murder/manslaughter,55,3,0.06,0.05,0.055
release,release_permanently,murder/manslaughter,55,3,,,0.795
release,prison,Other,55,1,0.1,0.08,0.09
release,prison,Other,55,2,0.07,0.11,0.09
release,prison,Other,55,3,0.06,0.09,0.075
release,release_permanently,Other,55,3,,,0.745
release,prison,Robbery,55,1,0.1,0.1,0.1
release,prison,Robbery,55,2,0.07,0.1,0.085
release,prison,Robbery,55,3,0.06,0.08,0.07
release,release_permanently,Robbery,55,3,,,0.745
release,prison,Sexual offenses,55,1,0.1,0.13,0.115
release,prison,Sexual offenses,55,2,0.07,0.09,0.08
release,prison,Sexual offenses,55,3,0.06,0.06,0.06
release,release_permanently,Sexual offenses,55,3,,,0.745
release,prison,Theft/forgery/fraud,55,1,0.1,0.08,0.09
release,prison,Theft/forgery/fraud,55,2,0.07,0.11,0.09
release,prison,Theft/forgery/fraud,55,3,0.06,0.08,0.07
release,release_permanently,Theft/forgery/fraud,55,3,,,0.75
release,prison,Violent personal,55,1,0.1,0.11,0.105
release,prison,Violent personal,55,2,0.07,0.08,0.075
release,prison,Violent personal,55,3,0.06,0.07,0.065
release,release_permanently,Violent personal,55,3,,,0.755
release,prison,Weapons,55,1,0.1,0.08,0.09
release,prison,Weapons,55,2,0.07,0.11,0.09
release,prison,Weapons,55,3,0.06,0.09,0.075
release,release_permanently,Weapons,55,3,,,0.745
release,prison,Burglary,56,1,0.1,0.1,0.1
release,prison,Burglary,56,2,0.07,0.11,0.09
release,prison,Burglary,56,3,0.06,0.08,0.07
release,release_permanently,Burglary,56,3,,,0.74
release,prison,Drug offenses,56,1,0.1,0.05,0.075
release,prison,Drug offenses,56,2,0.07,0.07,0.07
release,prison,Drug offenses,56,3,0.06,0.07,0.065
release,release_permanently,Drug offenses,56,3,,,0.79
release,prison,murder/manslaughter,56,1,0.1,0.07,0.085
release,prison,murder/manslaughter,56,2,0.07,0.06,0.065
release,prison,murder/manslaughter,56,3,0.06,0.05,0.055
release,release_permanently,murder/manslaughter,56,3,,,0.795
release,prison,Other,56,1,0.1,0.08,0.09
release,prison,Other,56,2,0.07,0.11,0.09
release,prison,Other,56,3,0.06,0.09,0.075
release,release_permanently,Other,56,3,,,0.745
release,prison,Robbery,56,1,0.1,0.1,0.1
release,prison,Robbery,56,2,0.07,0.1,0.085
release,prison,Robbery,56,3,0.06,0.08,0.07
release,release_permanently,Robbery,56,3,,,0.745
release,prison,Sexual offenses,56,1,0.1,0.13,0.115
release,prison,Sexual offenses,56,2,0.07,0.09,0.08
release,prison,Sexual offenses,56,3,0.06,0.06,0.06
release,release_permanently,Sexual offenses,56,3,,,0.745
release,prison,Theft/forgery/fraud,56,1,0.1,0.08,0.09
release,prison,Theft/forgery/fraud,56,2,0.07,0.11,0.09
release,prison,Theft/forgery/fraud,56,3,0.06,0.08,0.07
release,release_permanently,Theft/forgery/fraud,56,3,,,0.75
release,prison,Violent personal,56,1,0.1,0.11,0.105
release,prison,Violent personal,56,2,0.07,0.08,0.075
release,prison,Violent personal,56,3,0.06,0.07,0.065
release,release_permanently,Violent personal,56,3,,,0.755
release,prison,Weapons,56,1,0.1,0.08,0.09
release,prison,Weapons,56,2,0.07,0.11,0.09
release,prison,Weapons,56,3,0.06,0.09,0.075
release,release_permanently,Weapons,56,3,,,0.745
release,prison,Burglary,57,1,0.1,0.1,0.1
release,prison,Burglary,57,2,0.07,0.11,0.09
release,prison,Burglary,57,3,0.06,0.08,0.07
release,release_permanently,Burglary,57,3,,,0.74
release,prison,Drug offenses,57,1,0.1,0.05,0.075
release,prison,Drug offenses,57,2,0.07,0.07,0.07
release,prison,Drug offenses,57,3,0.06,0.07,0.065
release,release_permanently,Drug offenses,57,3,,,0.79
release,prison,murder/manslaughter,57,1,0.1,0.07,0.085
release,prison,murder/manslaughter,57,2,0.07,0.06,0.065
release,prison,murder/manslaughter,57,3,0.06,0.05,0.055
release,release_permanently,murder/manslaughter,57,3,,,0.795
release,prison,Other,57,1,0.1,0.08,0.09
release,prison,Other,57,2,0.07,0.11,0.09
release,prison,Other,57,3,0.06,0.09,0.075
release,release_permanently,Other,57,3,,,0.745
release,prison,Robbery,57,1,0.1,0.1,0.1
release,prison,Robbery,57,2,0.07,0.1,0.085
release,prison,Robbery,57,3,0.06,0.08,0.07
release,release_permanently,Robbery,57,3,,,0.745
release,prison,Sexual offenses,57,1,0.1,0.13,0.115
release,prison,Sexual offenses,57,2,0.07,0.09,0.08
release,prison,Sexual offenses,57,3,0.06,0.06,0.06
release,release_permanently,Sexual offenses,57,3,,,0.745
release,prison,Theft/forgery/fraud,57,1,0.1,0.08,0.09
release,prison,Theft/forgery/fraud,57,2,0.07,0.11,0.09
release,prison,Theft/forgery/fraud,57,3,0.06,0.08,0.07
release,release_permanently,Theft/forgery/fraud,57,3,,,0.75
release,prison,Violent personal,57,1,0.1,0.11,0.105
release,prison,Violent personal,57,2,0.07,0.08,0.075
release,prison,Violent personal,57,3,0.06,0.07,0.065
release,release_permanently,Violent personal,57,3,,,0.755
release,prison,Weapons,57,1,0.1,0.08,0.09
release,prison,Weapons,57,2,0.07,0.11,0.09
release,prison,Weapons,57,3,0.06,0.09,0.075
release,release_permanently,Weapons,57,3,,,0.745
release,prison,Burglary,58,1,0.1,0.1,0.1
release,prison,Burglary,58,2,0.07,0.11,0.09
release,prison,Burglary,58,3,0.06,0.08,0.07
