compartment,outflow_to,crime_type,race,compartment_duration,total_population
release,release,residential burglary,white,960,0.921
release,release,residential burglary,non-white,960,0.921
release,release,second offense,white,960,0.921
release,release,second offense,non-white,960,0.921
release,release,drugs,white,960,0.921
release,release,drugs,non-white,960,0.921
release,prison,residential burglary,white,12,0.079
release,prison,residential burglary,non-white,12,0.079
release,prison,second offense,white,12,0.079
release,prison,second offense,non-white,12,0.079
release,prison,drugs,white,12,0.079
release,prison,drugs,non-white,12,0.079
