compartment,outflow_to,crime_type,race,compartment_duration,total_population
prison,probation,residential burglary,white,12,0.19402985
prison,probation,residential burglary,white,24,0.41044776
prison,probation,residential burglary,white,36,0.1641791
prison,probation,residential burglary,white,48,0.1119403
prison,probation,residential burglary,white,60,0.05970149
prison,probation,residential burglary,white,72,0.02238806
prison,probation,residential burglary,white,84,0
prison,probation,residential burglary,white,96,0.00746269
prison,probation,residential burglary,white,108,0
prison,probation,residential burglary,white,120,0.00746269
prison,probation,residential burglary,white,132,0.00746269
prison,probation,residential burglary,white,144,0.00746269
prison,probation,residential burglary,white,156,0
prison,probation,residential burglary,white,168,0
prison,probation,residential burglary,white,180,0.00746269
prison,probation,residential burglary,white,192,0
prison,probation,residential burglary,white,204,0
prison,probation,residential burglary,white,216,0
prison,probation,residential burglary,white,228,0
prison,probation,residential burglary,white,240,0
prison,probation,residential burglary,white,252,0
prison,probation,residential burglary,white,264,0
prison,probation,residential burglary,white,276,0
prison,probation,residential burglary,white,288,0
prison,probation,residential burglary,white,300,0
prison,probation,residential burglary,white,312,0
prison,probation,residential burglary,white,324,0
prison,probation,residential burglary,white,336,0
prison,probation,residential burglary,white,348,0
prison,probation,residential burglary,white,360,0
prison,probation,residential burglary,non-white,12,0.25806452
prison,probation,residential burglary,non-white,24,0.3483871
prison,probation,residential burglary,non-white,36,0.22580645
prison,probation,residential burglary,non-white,48,0.10322581
prison,probation,residential burglary,non-white,60,0.02580645
prison,probation,residential burglary,non-white,72,0.00645161
prison,probation,residential burglary,non-white,84,0.02580645
prison,probation,residential burglary,non-white,96,0.00645161
prison,probation,residential burglary,non-white,108,0
prison,probation,residential burglary,non-white,120,0
prison,probation,residential burglary,non-white,132,0
prison,probation,residential burglary,non-white,144,0
prison,probation,residential burglary,non-white,156,0
prison,probation,residential burglary,non-white,168,0
prison,probation,residential burglary,non-white,180,0
prison,probation,residential burglary,non-white,192,0
prison,probation,residential burglary,non-white,204,0
prison,probation,residential burglary,non-white,216,0
prison,probation,residential burglary,non-white,228,0
prison,probation,residential burglary,non-white,240,0
prison,probation,residential burglary,non-white,252,0
prison,probation,residential burglary,non-white,264,0
prison,probation,residential burglary,non-white,276,0
prison,probation,residential burglary,non-white,288,0
