compartment,crime_type,race,time_step,total_population
prison,residential burglary,white,0,732
prison,residential burglary,non-white,0,1273
prison,second offense,white,0,1253
prison,second offense,non-white,0,3126
prison,drugs,white,0,1954
prison,drugs,non-white,0,6029
prison,residential burglary,white,1,722
prison,residential burglary,non-white,1,1354
prison,second offense,white,1,1345
prison,second offense,non-white,1,3304
prison,drugs,white,1,1963
prison,drugs,non-white,1,5721
prison,residential burglary,white,2,689
prison,residential burglary,non-white,2,1283
prison,second offense,white,2,1330
prison,second offense,non-white,2,3331
prison,drugs,white,2,1890
prison,drugs,non-white,2,5413
prison,residential burglary,white,3,683
prison,residential burglary,non-white,3,1172
prison,second offense,white,3,1296
prison,second offense,non-white,3,3120
prison,drugs,white,3,1987
prison,drugs,non-white,3,5576
prison,residential burglary,white,4,638
prison,residential burglary,non-white,4,941
prison,second offense,white,4,1253
prison,second offense,non-white,4,2823
prison,drugs,white,4,1892
prison,drugs,non-white,4,4829
prison,residential burglary,white,5,533
prison,residential burglary,non-white,5,774
prison,second offense,white,5,1256
prison,second offense,non-white,5,2539
prison,drugs,white,5,1978
prison,drugs,non-white,5,4143
prison,residential burglary,white,6,459
prison,residential burglary,non-white,6,688
prison,second offense,white,6,1158
prison,second offense,non-white,6,2327
prison,drugs,white,6,1842
prison,drugs,non-white,6,3358
prison,residential burglary,white,7,461
prison,residential burglary,non-white,7,564
prison,second offense,white,7,1104
prison,second offense,non-white,7,2137
prison,drugs,white,7,2012
prison,drugs,non-white,7,2780
prison,residential burglary,white,8,392
prison,residential burglary,non-white,8,474
prison,second offense,white,8,1093
prison,second offense,non-white,8,2054
prison,drugs,white,8,2007
prison,drugs,non-white,8,2324
