compartment,outflow_to,tis_percentage,time_step,total_population
pretrial,prison,50%,0,115
pretrial,prison,85%,0,77
pretrial,prison,100%,0,155
pretrial,prison,50%,1,130
pretrial,prison,85%,1,121
pretrial,prison,100%,1,164
pretrial,prison,50%,2,2
pretrial,prison,85%,2,83
pretrial,prison,100%,4,136
pretrial,prison,50%,3,75
pretrial,prison,85%,3,66
pretrial,prison,100%,3,128
pretrial,prison,50%,4,57
pretrial,prison,85%,4,82
pretrial,prison,100%,4,126
pretrial,prison,50%,5,48
pretrial,prison,85%,5,71
pretrial,prison,100%,5,133
pretrial,prison,50%,6,39
pretrial,prison,85%,6,67
pretrial,prison,100%,6,131
