compartment,outflow_to,crime_classification,race,time_step,total_population
pretrial,prison,murder,white,0,49
pretrial,prison,murder,non-white,0,191
pretrial,prison,class_x,white,0,396
pretrial,prison,class_x,non-white,0,1341
pretrial,prison,class_1,white,0,808
pretrial,prison,class_1,non-white,0,2070
pretrial,prison,class_2,white,0,1595
pretrial,prison,class_2,non-white,0,2984
pretrial,prison,class_3,white,0,1125
pretrial,prison,class_3,non-white,0,1496
pretrial,prison,murder,white,1,45
pretrial,prison,murder,non-white,1,165
pretrial,prison,class_x,white,1,341
pretrial,prison,class_x,non-white,1,1394
pretrial,prison,class_1,white,1,829
pretrial,prison,class_1,non-white,1,2122
pretrial,prison,class_2,white,1,1689
pretrial,prison,class_2,non-white,1,3193
pretrial,prison,class_3,white,1,1153
pretrial,prison,class_3,non-white,1,1653
pretrial,prison,murder,white,2,33
pretrial,prison,murder,non-white,2,169
pretrial,prison,class_x,white,2,348
pretrial,prison,class_x,non-white,2,1442
pretrial,prison,class_1,white,2,823
pretrial,prison,class_1,non-white,2,1915
pretrial,prison,class_2,white,2,1626
pretrial,prison,class_2,non-white,2,3222
pretrial,prison,class_3,white,2,1083
pretrial,prison,class_3,non-white,2,1694
pretrial,prison,murder,white,3,36
pretrial,prison,murder,non-white,3,180
pretrial,prison,class_x,white,3,426
pretrial,prison,class_x,non-white,3,1535
pretrial,prison,class_1,white,3,745
pretrial,prison,class_1,non-white,3,1883
pretrial,prison,class_2,white,3,1603
pretrial,prison,class_2,non-white,3,2896
pretrial,prison,class_3,white,3,1065
pretrial,prison,class_3,non-white,3,1556
pretrial,prison,murder,white,4,31
pretrial,prison,murder,non-white,4,139
pretrial,prison,class_x,white,4,332
pretrial,prison,class_x,non-white,4,1208
pretrial,prison,class_1,white,4,719
pretrial,prison,class_1,non-white,4,1496
pretrial,prison,class_2,white,4,1378
pretrial,prison,class_2,non-white,4,2324
pretrial,prison,class_3,white,4,947
pretrial,prison,class_3,non-white,4,1283
pretrial,prison,murder,white,5,28
pretrial,prison,murder,non-white,5,136
pretrial,prison,class_x,white,5,357
pretrial,prison,class_x,non-white,5,1170
pretrial,prison,class_1,white,5,627
pretrial,prison,class_1,non-white,5,1312
pretrial,prison,class_2,white,5,1422
pretrial,prison,class_2,non-white,5,2146
pretrial,prison,class_3,white,5,1027
pretrial,prison,class_3,non-white,5,1325
pretrial,prison,murder,white,6,28
pretrial,prison,murder,non-white,6,144
pretrial,prison,class_x,white,6,354
pretrial,prison,class_x,non-white,6,1146
pretrial,prison,class_1,white,6,629
pretrial,prison,class_1,non-white,6,1299
pretrial,prison,class_2,white,6,1268
pretrial,prison,class_2,non-white,6,2113
pretrial,prison,class_3,white,6,1045
pretrial,prison,class_3,non-white,6,1225
pretrial,prison,murder,white,7,29
pretrial,prison,murder,non-white,7,146
pretrial,prison,class_x,white,7,301
pretrial,prison,class_x,non-white,7,1084
pretrial,prison,class_1,white,7,645
pretrial,prison,class_1,non-white,7,1156
pretrial,prison,class_2,white,7,1278
pretrial,prison,class_2,non-white,7,1914
pretrial,prison,class_3,white,7,1111
pretrial,prison,class_3,non-white,7,1241
pretrial,prison,murder,white,8,40
pretrial,prison,murder,non-white,8,130
pretrial,prison,class_x,white,8,365
pretrial,prison,class_x,non-white,8,952
pretrial,prison,class_1,white,8,560
pretrial,prison,class_1,non-white,8,1013
pretrial,prison,class_2,white,8,1301
pretrial,prison,class_2,non-white,8,1884
pretrial,prison,class_3,white,8,1266
pretrial,prison,class_3,non-white,8,1298
