compartment,outflow_to,crime_classification,race,time_step,total_population
pretrial,prison,murder,white,0,56
pretrial,prison,murder,non-white,0,230
pretrial,prison,class_x,white,0,516
pretrial,prison,class_x,non-white,0,1741
pretrial,prison,class_1,white,0,912
pretrial,prison,class_1,non-white,0,2446
pretrial,prison,class_2,white,0,1858
pretrial,prison,class_2,non-white,0,3751
pretrial,prison,class_3,white,0,1147
pretrial,prison,class_3,non-white,0,1582
pretrial,prison,murder,white,1,50
pretrial,prison,murder,non-white,1,191
pretrial,prison,class_x,white,1,441
pretrial,prison,class_x,non-white,1,1741
pretrial,prison,class_1,white,1,945
pretrial,prison,class_1,non-white,1,2539
pretrial,prison,class_2,white,1,1969
pretrial,prison,class_2,non-white,1,4011
pretrial,prison,class_3,white,1,1175
pretrial,prison,class_3,non-white,1,1704
pretrial,prison,murder,white,2,40
pretrial,prison,murder,non-white,2,210
pretrial,prison,class_x,white,2,440
pretrial,prison,class_x,non-white,2,1788
pretrial,prison,class_1,white,2,949
pretrial,prison,class_1,non-white,2,2305
pretrial,prison,class_2,white,2,1943
pretrial,prison,class_2,non-white,2,3965
pretrial,prison,class_3,white,2,1130
pretrial,prison,class_3,non-white,2,1744
pretrial,prison,murder,white,3,44
pretrial,prison,murder,non-white,3,211
pretrial,prison,class_x,white,3,513
pretrial,prison,class_x,non-white,3,1846
pretrial,prison,class_1,white,3,867
pretrial,prison,class_1,non-white,3,2302
pretrial,prison,class_2,white,3,1949
pretrial,prison,class_2,non-white,3,3764
pretrial,prison,class_3,white,3,1125
pretrial,prison,class_3,non-white,3,1665
pretrial,prison,murder,white,4,39
pretrial,prison,murder,non-white,4,158
pretrial,prison,class_x,white,4,433
pretrial,prison,class_x,non-white,4,1480
pretrial,prison,class_1,white,4,835
pretrial,prison,class_1,non-white,4,1843
pretrial,prison,class_2,white,4,1773
pretrial,prison,class_2,non-white,4,3108
pretrial,prison,class_3,white,4,1064
pretrial,prison,class_3,non-white,4,1490
pretrial,prison,murder,white,5,34
pretrial,prison,murder,non-white,5,158
pretrial,prison,class_x,white,5,441
pretrial,prison,class_x,non-white,5,1469
pretrial,prison,class_1,white,5,729
pretrial,prison,class_1,non-white,5,1620
pretrial,prison,class_2,white,5,1745
pretrial,prison,class_2,non-white,5,2823
pretrial,prison,class_3,white,5,1077
pretrial,prison,class_3,non-white,5,1458
pretrial,prison,murder,white,6,35
pretrial,prison,murder,non-white,6,169
pretrial,prison,class_x,white,6,439
pretrial,prison,class_x,non-white,6,1432
pretrial,prison,class_1,white,6,736
pretrial,prison,class_1,non-white,6,1565
pretrial,prison,class_2,white,6,1587
pretrial,prison,class_2,non-white,6,2683
pretrial,prison,class_3,white,6,1099
pretrial,prison,class_3,non-white,6,1332
pretrial,prison,murder,white,7,34
pretrial,prison,murder,non-white,7,156
pretrial,prison,class_x,white,7,391
pretrial,prison,class_x,non-white,7,1408
pretrial,prison,class_1,white,7,768
pretrial,prison,class_1,non-white,7,1415
pretrial,prison,class_2,white,7,1618
pretrial,prison,class_2,non-white,7,2471
pretrial,prison,class_3,white,7,1159
pretrial,prison,class_3,non-white,7,1373
pretrial,prison,murder,white,8,49
pretrial,prison,murder,non-white,8,141
pretrial,prison,class_x,white,8,475
pretrial,prison,class_x,non-white,8,1204
pretrial,prison,class_1,white,8,665
pretrial,prison,class_1,non-white,8,1220
pretrial,prison,class_2,white,8,1561
pretrial,prison,class_2,non-white,8,2318
pretrial,prison,class_3,white,8,1327
pretrial,prison,class_3,non-white,8,1369
