compartment,outflow_to,crime_classification,race,compartment_duration,total_population
prison,probation,murder,white,12,0
prison,probation,murder,white,24,0
prison,probation,murder,white,36,0.0031348
prison,probation,murder,white,48,0
prison,probation,murder,white,60,0
prison,probation,murder,white,72,0.0031348
prison,probation,murder,white,84,0
prison,probation,murder,white,96,0.0031348
prison,probation,murder,white,108,0
prison,probation,murder,white,120,0.00626959
prison,probation,murder,white,132,0.00626959
prison,probation,murder,white,144,0.0031348
prison,probation,murder,white,156,0.0031348
prison,probation,murder,white,168,0
prison,probation,murder,white,180,0.01253918
prison,probation,murder,white,192,0.00940439
prison,probation,murder,white,204,0.02194357
prison,probation,murder,white,216,0.01880878
prison,probation,murder,white,228,0.03134796
prison,probation,murder,white,240,0.01880878
prison,probation,murder,white,252,0.02194357
prison,probation,murder,white,264,0.00940439
prison,probation,murder,white,276,0.02821317
prison,probation,murder,white,288,0.03134796
prison,probation,murder,white,300,0.03134796
prison,probation,murder,white,312,0.02507837
prison,probation,murder,white,324,0.05329154
prison,probation,murder,white,336,0.01567398
prison,probation,murder,white,348,0.03448276
prison,probation,murder,white,360,0.02507837
prison,probation,murder,white,372,0.01880878
prison,probation,murder,white,384,0.01253918
prison,probation,murder,white,396,0.01880878
prison,probation,murder,white,408,0.01880878
prison,probation,murder,white,420,0.02194357
prison,probation,murder,white,432,0.02821317
prison,probation,murder,white,444,0.02507837
prison,probation,murder,white,456,0.01253918
prison,probation,murder,white,468,0.01880878
prison,probation,murder,white,480,0.01567398
prison,probation,murder,white,492,0.00626959
prison,probation,murder,white,504,0.02194357
prison,probation,murder,white,516,0.01253918
prison,probation,murder,white,528,0.03448276
prison,probation,murder,white,540,0.01253918
prison,probation,murder,white,552,0.01253918
prison,probation,murder,white,564,0.02821317
prison,probation,murder,white,576,0.02507837
prison,probation,murder,white,588,0.01567398
prison,probation,murder,white,600,0.01253918
prison,probation,murder,white,612,0.00940439
prison,probation,murder,white,624,0.01880878
prison,probation,murder,white,636,0.00626959
prison,probation,murder,white,648,0.01567398
prison,probation,murder,white,660,0.00940439
prison,probation,murder,white,672,0.01567398
prison,probation,murder,white,684,0.00626959
prison,probation,murder,white,696,0.01567398
prison,probation,murder,white,708,0.01253918
prison,probation,murder,white,720,0.0031348
prison,probation,murder,white,732,0.00940439
prison,probation,murder,white,744,0.0031348
prison,probation,murder,white,756,0.00626959
prison,probation,murder,white,768,0.00626959
prison,probation,murder,white,780,0.0031348
prison,probation,murder,white,792,0.0031348
prison,probation,murder,white,804,0.0031348
prison,probation,murder,white,816,0.01253918
prison,probation,murder,white,828,0.00626959
prison,probation,murder,white,840,0.0031348
prison,probation,murder,white,852,0.00626959
