compartment,outflow_to,crime_classification,race,compartment_duration,total_population
prison,probation,murder,white,12,0
prison,probation,murder,white,24,0
prison,probation,murder,white,36,0
prison,probation,murder,white,48,0
prison,probation,murder,white,60,0
prison,probation,murder,white,72,0
prison,probation,murder,white,84,0
prison,probation,murder,white,96,0
prison,probation,murder,white,108,0
prison,probation,murder,white,120,0
prison,probation,murder,white,132,0
prison,probation,murder,white,144,0
prison,probation,murder,white,156,0
prison,probation,murder,white,168,0
prison,probation,murder,white,180,0.00233644859813084
prison,probation,murder,white,192,0
prison,probation,murder,white,204,0
prison,probation,murder,white,216,0
prison,probation,murder,white,228,0
prison,probation,murder,white,240,0.0560747663551402
prison,probation,murder,white,252,0.00700934579439252
prison,probation,murder,white,264,0.0116822429906542
prison,probation,murder,white,276,0.0116822429906542
prison,probation,murder,white,288,0.0116822429906542
prison,probation,murder,white,300,0.058411214953271
prison,probation,murder,white,312,0.0163551401869159
prison,probation,murder,white,324,0.0163551401869159
prison,probation,murder,white,336,0.0210280373831776
prison,probation,murder,white,348,0
prison,probation,murder,white,360,0.0747663551401869
prison,probation,murder,white,372,0.00467289719626168
prison,probation,murder,white,384,0.0257009345794393
prison,probation,murder,white,396,0.00934579439252336
prison,probation,murder,white,408,0
prison,probation,murder,white,420,0.0514018691588785
prison,probation,murder,white,432,0.00233644859813084
prison,probation,murder,white,444,0.0116822429906542
prison,probation,murder,white,456,0.0186915887850467
prison,probation,murder,white,468,0.00467289719626168
prison,probation,murder,white,480,0.0630841121495327
prison,probation,murder,white,492,0.00467289719626168
prison,probation,murder,white,504,0.00934579439252336
prison,probation,murder,white,516,0.0116822429906542
prison,probation,murder,white,528,0.00233644859813084
prison,probation,murder,white,540,0.0817757009345794
prison,probation,murder,white,552,0.00233644859813084
prison,probation,murder,white,564,0.00233644859813084
prison,probation,murder,white,576,0.00233644859813084
prison,probation,murder,white,588,0.00467289719626168
prison,probation,murder,white,600,0.0794392523364486
prison,probation,murder,white,612,0
prison,probation,murder,white,624,0
prison,probation,murder,white,636,0.00700934579439252
prison,probation,murder,white,648,0.00700934579439252
prison,probation,murder,white,660,0.0327102803738318
prison,probation,murder,white,672,0
prison,probation,murder,white,684,0
prison,probation,murder,white,696,0
prison,probation,murder,white,708,0
prison,probation,murder,white,720,0.0630841121495327
prison,probation,murder,white,732,0.00233644859813084
prison,probation,murder,white,744,0
prison,probation,murder,white,756,0
prison,probation,murder,white,768,0.00467289719626168
prison,probation,murder,white,780,0.0163551401869159
prison,probation,murder,white,792,0
prison,probation,murder,white,804,0.00700934579439252
prison,probation,murder,white,816,0
prison,probation,murder,white,828,0
prison,probation,murder,white,840,0.0163551401869159
