compartment,outflow_to,crime_classification,race,compartment_duration,total_population
probation,release,murder,white,36,0.584
probation,release,murder,non-white,36,0.584
probation,release,class_x,white,36,0.584
probation,release,class_x,non-white,36,0.584
probation,release,class_1,white,24,0.639
probation,release,class_1,non-white,24,0.639
probation,release,class_2,white,24,0.639
probation,release,class_2,non-white,24,0.639
probation,release,class_3,white,12,0.756
probation,release,class_3,non-white,12,0.756
probation,prison,murder,white,12,0.244
probation,prison,murder,non-white,12,0.244
probation,prison,class_x,white,12,0.244
probation,prison,class_x,non-white,12,0.244
probation,prison,class_1,white,12,0.244
probation,prison,class_1,non-white,12,0.244
probation,prison,class_2,white,12,0.244
probation,prison,class_2,non-white,12,0.244
probation,prison,class_3,white,12,0.244
probation,prison,class_3,non-white,12,0.244
probation,prison,murder,white,24,0.117
probation,prison,murder,non-white,24,0.117
probation,prison,class_x,white,24,0.117
probation,prison,class_x,non-white,24,0.117
probation,prison,class_1,white,24,0.117
probation,prison,class_1,non-white,24,0.117
probation,prison,class_2,white,24,0.117
probation,prison,class_2,non-white,24,0.117
probation,prison,murder,white,36,0.055
probation,prison,murder,non-white,36,0.055
probation,prison,class_x,white,36,0.055
probation,prison,class_x,non-white,36,0.055
