compartment,outflow_to,crime_classification,race,compartment_duration,total_population
release,release,murder,white,960,1
release,release,murder,non-white,960,1
release,release,class_x,white,960,1
release,release,class_x,non-white,960,1
release,release,class_1,white,960,0.921
release,release,class_1,non-white,960,0.921
release,release,class_2,white,960,0.921
release,release,class_2,non-white,960,0.921
release,release,class_3,white,960,0.772
release,release,class_3,non-white,960,0.772
release,prison,class_1,white,12,0.079
release,prison,class_1,non-white,12,0.079
release,prison,class_2,white,12,0.079
release,prison,class_2,non-white,12,0.079
release,prison,class_3,white,12,0.155
release,prison,class_3,non-white,12,0.155
release,prison,class_3,white,24,0.073
release,prison,class_3,non-white,24,0.073
