compartment,crime_classification,race,time_step,total_population
prison,murder,white,0,988
prison,murder,non-white,0,4814
prison,class_x,white,0,2883
prison,class_x,non-white,0,8693
prison,class_1,white,0,2435
prison,class_1,non-white,0,5918
prison,class_2,white,0,3617
prison,class_2,non-white,0,7003
prison,class_3,white,0,1857
prison,class_3,non-white,0,2420
prison,murder,white,1,998
prison,murder,non-white,1,4770
prison,class_x,white,1,2867
prison,class_x,non-white,1,8796
prison,class_1,white,1,2447
prison,class_1,non-white,1,5971
prison,class_2,white,1,3728
prison,class_2,non-white,1,7245
prison,class_3,white,1,1825
prison,class_3,non-white,1,2494
prison,murder,white,2,992
prison,murder,non-white,2,4742
prison,class_x,white,2,2826
prison,class_x,non-white,2,8974
prison,class_1,white,2,2373
prison,class_1,non-white,2,5646
prison,class_2,white,2,3687
prison,class_2,non-white,2,7244
prison,class_3,white,2,1708
prison,class_3,non-white,2,2523
prison,murder,white,3,993
prison,murder,non-white,3,4741
prison,class_x,white,3,2890
prison,class_x,non-white,3,9338
prison,class_1,white,3,2388
prison,class_1,non-white,3,5653
prison,class_2,white,3,3674
prison,class_2,non-white,3,7002
prison,class_3,white,3,1697
prison,class_3,non-white,3,2445
prison,murder,white,4,983
prison,murder,non-white,4,4669
prison,class_x,white,4,2913
prison,class_x,non-white,4,9355
prison,class_1,white,4,2280
prison,class_1,non-white,4,5110
prison,class_2,white,4,3465
prison,class_2,non-white,4,6165
prison,class_3,white,4,1584
prison,class_3,non-white,4,2205
prison,murder,white,5,968
prison,murder,non-white,5,4627
prison,class_x,white,5,2944
prison,class_x,non-white,5,9319
prison,class_1,white,5,2116
prison,class_1,non-white,5,4553
prison,class_2,white,5,3379
prison,class_2,non-white,5,5504
prison,class_3,white,5,1602
prison,class_3,non-white,5,2081
prison,murder,white,6,962
prison,murder,non-white,6,4629
prison,class_x,white,6,2955
prison,class_x,non-white,6,9234
prison,class_1,white,6,1988
prison,class_1,non-white,6,4194
prison,class_2,white,6,3057
prison,class_2,non-white,6,5045
prison,class_3,white,6,1573
prison,class_3,non-white,6,1923
prison,murder,white,7,953
prison,murder,non-white,7,4567
prison,class_x,white,7,2930
prison,class_x,non-white,7,9009
prison,class_1,white,7,2002
prison,class_1,non-white,7,3859
prison,class_2,white,7,2964
prison,class_2,non-white,7,4674
prison,class_3,white,7,1655
prison,class_3,non-white,7,1894
prison,murder,white,8,948
prison,murder,non-white,8,4461
prison,class_x,white,8,2879
prison,class_x,non-white,8,8838
prison,class_1,white,8,1847
prison,class_1,non-white,8,3490
prison,class_2,white,8,2857
prison,class_2,non-white,8,4306
prison,class_3,white,8,1837
prison,class_3,non-white,8,1911
