compartment,outflow_to,tis_percentage,race,time_step,total_population
pretrial,prison,100%,white,0,48
pretrial,prison,100%,non-white,0,187
pretrial,prison,85%,white,0,272
pretrial,prison,85%,non-white,0,766
pretrial,prison,75%,white,0,27
pretrial,prison,75%,non-white,0,51
pretrial,prison,100%,white,1,43
pretrial,prison,100%,non-white,1,161
pretrial,prison,85%,white,1,268
pretrial,prison,85%,non-white,1,797
pretrial,prison,75%,white,1,24
pretrial,prison,75%,non-white,1,39
pretrial,prison,100%,white,2,33
pretrial,prison,100%,non-white,2,163
pretrial,prison,85%,white,2,306
pretrial,prison,85%,non-white,2,806
pretrial,prison,75%,white,2,13
pretrial,prison,75%,non-white,2,38
pretrial,prison,100%,white,3,36
pretrial,prison,100%,non-white,3,174
pretrial,prison,85%,white,3,365
pretrial,prison,85%,non-white,3,940
pretrial,prison,75%,white,3,0
pretrial,prison,75%,non-white,3,0
pretrial,prison,100%,white,4,31
pretrial,prison,100%,non-white,4,137
pretrial,prison,85%,white,4,327
pretrial,prison,85%,non-white,4,1233
pretrial,prison,75%,white,4,25
pretrial,prison,75%,non-white,4,38
pretrial,prison,100%,white,5,27
pretrial,prison,100%,non-white,5,129
pretrial,prison,85%,white,5,276
pretrial,prison,85%,non-white,5,743
pretrial,prison,75%,white,5,20
pretrial,prison,75%,non-white,5,30
pretrial,prison,100%,white,6,22
pretrial,prison,100%,non-white,6,139
pretrial,prison,85%,white,6,286
pretrial,prison,85%,non-white,6,769
pretrial,prison,75%,white,6,15
pretrial,prison,75%,non-white,6,38
pretrial,prison,100%,white,7,26
pretrial,prison,100%,non-white,7,142
pretrial,prison,85%,white,7,313
pretrial,prison,85%,non-white,7,761
pretrial,prison,75%,white,7,23
pretrial,prison,75%,non-white,7,24
pretrial,prison,100%,white,8,39
pretrial,prison,100%,non-white,8,127
pretrial,prison,85%,white,8,346
pretrial,prison,85%,non-white,8,707
pretrial,prison,75%,white,8,21
pretrial,prison,75%,non-white,8,22
