compartment,outflow_to,tis_percentage,race,compartment_duration,total_population
probation,release,100%,white,36,0.584
probation,release,100%,non-white,36,0.584
probation,release,85%,white,36,0.584
probation,release,85%,non-white,36,0.584
probation,release,75%,white,36,0.584
probation,release,75%,non-white,36,0.584
probation,prison,100%,white,12,0.244
probation,prison,100%,non-white,12,0.244
probation,prison,85%,white,12,0.244
probation,prison,85%,non-white,12,0.244
probation,prison,75%,white,12,0.244
probation,prison,75%,non-white,12,0.244
probation,prison,100%,white,24,0.117
probation,prison,100%,non-white,24,0.117
probation,prison,85%,white,24,0.117
probation,prison,85%,non-white,24,0.117
probation,prison,75%,white,24,0.117
probation,prison,75%,non-white,24,0.117
probation,prison,100%,white,36,0.055
probation,prison,100%,non-white,36,0.055
probation,prison,85%,white,36,0.055
probation,prison,85%,non-white,36,0.055
probation,prison,75%,white,36,0.055
probation,prison,75%,non-white,36,0.055
