compartment,outflow_to,race,time_step,total_population
pretrial,prison,white,0,146
pretrial,prison,non-white,0,306
pretrial,prison,white,1,153
pretrial,prison,non-white,1,322
pretrial,prison,white,2,148
pretrial,prison,non-white,2,311
pretrial,prison,white,3,142
pretrial,prison,non-white,3,290
pretrial,prison,white,4,127
pretrial,prison,non-white,4,232
pretrial,prison,white,5,124
pretrial,prison,non-white,5,210
pretrial,prison,white,6,115
pretrial,prison,non-white,6,207
pretrial,prison,white,7,117
pretrial,prison,non-white,7,186
pretrial,prison,white,8,113
pretrial,prison,non-white,8,176
