compartment,outflow_to,race,compartment_duration,total_population
prison,probation,white,12,0.01917808
prison,probation,white,24,0.08219178
prison,probation,white,36,0.13150685
prison,probation,white,48,0.1260274
prison,probation,white,60,0.07671233
prison,probation,white,72,0.05753425
prison,probation,white,84,0.08219178
prison,probation,white,96,0.05753425
prison,probation,white,108,0.05479452
prison,probation,white,120,0.04109589
prison,probation,white,132,0.02465753
prison,probation,white,144,0.02739726
prison,probation,white,156,0.02465753
prison,probation,white,168,0.02465753
prison,probation,white,180,0.02739726
prison,probation,white,192,0.0109589
prison,probation,white,204,0.01643836
prison,probation,white,216,0.00273973
prison,probation,white,228,0.00821918
prison,probation,white,240,0.02191781
prison,probation,white,252,0.01643836
prison,probation,white,264,0.0109589
prison,probation,white,276,0
prison,probation,white,288,0.00273973
prison,probation,white,300,0.0109589
prison,probation,white,312,0
prison,probation,white,324,0.00547945
prison,probation,white,336,0
prison,probation,white,348,0.00547945
prison,probation,white,360,0
prison,probation,white,372,0.00273973
prison,probation,white,384,0
prison,probation,white,396,0
prison,probation,white,408,0
prison,probation,white,420,0
prison,probation,white,432,0.00547945
prison,probation,white,444,0
prison,probation,white,456,0.00273973
prison,probation,white,468,0.00273973
prison,probation,white,480,0
prison,probation,white,492,0.00273973
prison,probation,white,504,0.00273973
prison,probation,white,516,0
prison,probation,white,528,0
prison,probation,white,540,0
prison,probation,white,552,0
prison,probation,white,564,0.00273973
prison,probation,white,576,0
prison,probation,white,588,0.00273973
prison,probation,white,600,0.00273973
prison,probation,white,612,0
prison,probation,white,624,0
prison,probation,white,636,0
prison,probation,white,648,0
prison,probation,white,660,0
prison,probation,white,672,0
prison,probation,white,684,0.00273973
prison,probation,white,696,0
prison,probation,white,708,0
prison,probation,white,720,0
prison,probation,non-white,12,0.03991597
prison,probation,non-white,24,0.10294118
prison,probation,non-white,36,0.13445378
prison,probation,non-white,48,0.12605042
prison,probation,non-white,60,0.11659664
prison,probation,non-white,72,0.07668067
prison,probation,non-white,84,0.09243697
prison,probation,non-white,96,0.04936975
prison,probation,non-white,108,0.04516807
prison,probation,non-white,120,0.03781513
prison,probation,non-white,132,0.02521008
prison,probation,non-white,144,0.01995798
prison,probation,non-white,156,0.0157563
prison,probation,non-white,168,0.01470588
prison,probation,non-white,180,0.01470588
prison,probation,non-white,192,0.01785714
prison,probation,non-white,204,0.00315126
prison,probation,non-white,216,0.00630252
prison,probation,non-white,228,0.00945378
prison,probation,non-white,240,0.00420168
prison,probation,non-white,252,0.00420168
prison,probation,non-white,264,0.00735294
prison,probation,non-white,276,0.00420168
prison,probation,non-white,288,0.00105042
prison,probation,non-white,300,0.00315126
prison,probation,non-white,312,0.00105042
prison,probation,non-white,324,0.00210084
prison,probation,non-white,336,0.00210084
prison,probation,non-white,348,0.00210084
prison,probation,non-white,360,0.00105042
prison,probation,non-white,372,0.00105042
prison,probation,non-white,384,0.00105042
prison,probation,non-white,396,0.00105042
prison,probation,non-white,408,0.00105042
prison,probation,non-white,420,0
prison,probation,non-white,432,0
prison,probation,non-white,444,0.00105042
prison,probation,non-white,456,0.00105042
prison,probation,non-white,468,0.00105042
prison,probation,non-white,480,0.00315126
prison,probation,non-white,492,0.00105042
prison,probation,non-white,504,0
prison,probation,non-white,516,0.00105042
prison,probation,non-white,528,0
prison,probation,non-white,540,0
prison,probation,non-white,552,0
prison,probation,non-white,564,0
prison,probation,non-white,576,0
prison,probation,non-white,588,0.00105042
prison,probation,non-white,600,0
prison,probation,non-white,612,0
prison,probation,non-white,624,0.00210084
prison,probation,non-white,636,0
prison,probation,non-white,648,0
prison,probation,non-white,660,0
prison,probation,non-white,672,0.00105042
prison,probation,non-white,684,0
prison,probation,non-white,696,0.00105042
prison,probation,non-white,708,0.00105042
prison,probation,non-white,720,0
