compartment,outflow_to,race,compartment_duration,total_population
prison,probation,white,12,0.3175712
prison,probation,white,24,0.35411069
prison,probation,white,36,0.16818915
prison,probation,white,48,0.07361634
prison,probation,white,60,0.03492746
prison,probation,white,72,0.01504567
prison,probation,white,84,0.01020956
prison,probation,white,96,0.00698549
prison,probation,white,108,0.00268673
prison,probation,white,120,0.00268673
prison,probation,white,132,0.00322407
prison,probation,white,144,0.00107469
prison,probation,white,156,0.00053735
prison,probation,white,168,0.00268673
prison,probation,white,180,0.00214938
prison,probation,white,192,0.00107469
prison,probation,white,204,0.00053735
prison,probation,white,216,0
prison,probation,white,228,0
prison,probation,white,240,0
prison,probation,white,252,0
prison,probation,white,264,0.00053735
prison,probation,white,276,0.00053735
prison,probation,white,288,0.00107469
prison,probation,white,300,0
prison,probation,white,312,0
prison,probation,white,324,0.00053735
prison,probation,white,336,0
prison,probation,white,348,0
prison,probation,non-white,12,0.35566298
prison,probation,non-white,24,0.32389503
prison,probation,non-white,36,0.1698895
prison,probation,non-white,48,0.06802486
prison,probation,non-white,60,0.02900552
prison,probation,non-white,72,0.01415746
prison,probation,non-white,84,0.01346685
prison,probation,non-white,96,0.00587017
prison,probation,non-white,108,0.00621547
prison,probation,non-white,120,0.00207182
prison,probation,non-white,132,0.00310773
prison,probation,non-white,144,0.00276243
prison,probation,non-white,156,0.00069061
prison,probation,non-white,168,0.00207182
prison,probation,non-white,180,0.00069061
prison,probation,non-white,192,0
prison,probation,non-white,204,0
prison,probation,non-white,216,0
prison,probation,non-white,228,0.00103591
prison,probation,non-white,240,0.00069061
prison,probation,non-white,252,0
prison,probation,non-white,264,0.0003453
prison,probation,non-white,276,0
prison,probation,non-white,288,0
prison,probation,non-white,300,0
prison,probation,non-white,312,0
prison,probation,non-white,324,0.0003453
prison,probation,non-white,336,0
prison,probation,non-white,348,0
