,compartment,outflow_to,crime_type,race,compartment_duration,total_population,time_step
0,prison,probation,residential burglary,white,12.0,0.18148148,
1,prison,probation,residential burglary,white,24.0,0.3978836,
2,prison,probation,residential burglary,white,36.0,0.23015873,
3,prison,probation,residential burglary,white,48.0,0.1010582,
4,prison,probation,residential burglary,white,60.0,0.04232804,
5,prison,probation,residential burglary,white,72.0,0.01746032,
6,prison,probation,residential burglary,white,84.0,0.01111111,
7,prison,probation,residential burglary,white,96.0,0.00740741,
8,prison,probation,residential burglary,white,108.0,0.0042328,
9,prison,probation,residential burglary,white,120.0,0.0026455,
10,prison,probation,residential burglary,white,132.0,0.0005291,
11,prison,probation,residential burglary,white,144.0,0.0010582,
12,prison,probation,residential burglary,white,156.0,0.0,
13,prison,probation,residential burglary,white,168.0,0.0015873,
14,prison,probation,residential burglary,white,180.0,0.0005291,
15,prison,probation,residential burglary,white,192.0,0.0005291,
16,prison,probation,residential burglary,white,204.0,0.0,
17,prison,probation,residential burglary,white,216.0,0.0,
18,prison,probation,residential burglary,white,228.0,0.0,
19,prison,probation,residential burglary,white,240.0,0.0,
20,prison,probation,residential burglary,white,252.0,0.0,
21,prison,probation,residential burglary,white,264.0,0.0,
22,prison,probation,residential burglary,white,276.0,0.0,
23,prison,probation,residential burglary,white,288.0,0.0,
24,prison,probation,residential burglary,white,300.0,0.0,
25,prison,probation,residential burglary,white,312.0,0.0,
26,prison,probation,residential burglary,white,324.0,0.0,
27,prison,probation,residential burglary,white,336.0,0.0,
28,prison,probation,residential burglary,white,348.0,0.0,
29,prison,probation,residential burglary,white,360.0,0.0,
30,prison,probation,residential burglary,non-white,12.0,0.26118376,
31,prison,probation,residential burglary,non-white,24.0,0.38024776,
32,prison,probation,residential burglary,non-white,36.0,0.19373710000000002,
33,prison,probation,residential burglary,non-white,48.0,0.09876118,
34,prison,probation,residential burglary,non-white,60.0,0.02787337,
35,prison,probation,residential burglary,non-white,72.0,0.01720578,
36,prison,probation,residential burglary,non-white,84.0,0.00825877,
37,prison,probation,residential burglary,non-white,96.0,0.00378527,
38,prison,probation,residential burglary,non-white,108.0,0.00378527,
39,prison,probation,residential burglary,non-white,120.0,0.00137646,
40,prison,probation,residential burglary,non-white,132.0,0.00137646,
41,prison,probation,residential burglary,non-white,144.0,0.00137646,
42,prison,probation,residential burglary,non-white,156.0,0.00034412,
43,prison,probation,residential burglary,non-white,168.0,0.00034412,
44,prison,probation,residential burglary,non-white,180.0,0.00034412,
45,prison,probation,residential burglary,non-white,192.0,0.0,
46,prison,probation,residential burglary,non-white,204.0,0.0,
47,prison,probation,residential burglary,non-white,216.0,0.0,
48,prison,probation,residential burglary,non-white,228.0,0.0,
49,prison,probation,residential burglary,non-white,240.0,0.0,
50,prison,probation,residential burglary,non-white,252.0,0.0,
51,prison,probation,residential burglary,non-white,264.0,0.0,
52,prison,probation,residential burglary,non-white,276.0,0.0,
53,prison,probation,residential burglary,non-white,288.0,0.0,
54,prison,probation,residential burglary,non-white,300.0,0.0,
55,prison,probation,residential burglary,non-white,312.0,0.0,
56,prison,probation,residential burglary,non-white,324.0,0.0,
57,prison,probation,residential burglary,non-white,336.0,0.0,
58,prison,probation,residential burglary,non-white,348.0,0.0,
59,prison,probation,residential burglary,non-white,360.0,0.0,
60,prison,probation,second offense,white,12.0,0.25561838,
61,prison,probation,second offense,white,24.0,0.34739742,
62,prison,probation,second offense,white,36.0,0.21168624,
63,prison,probation,second offense,white,48.0,0.0891692,
64,prison,probation,second offense,white,60.0,0.04175729,
65,prison,probation,second offense,white,72.0,0.01986371,
66,prison,probation,second offense,white,84.0,0.01217921,
67,prison,probation,second offense,white,96.0,0.00594461,
68,prison,probation,second offense,white,108.0,0.00362476,
69,prison,probation,second offense,white,120.0,0.00289981,
70,prison,probation,second offense,white,132.0,0.00188488,
71,prison,probation,second offense,white,144.0,0.00115992,
72,prison,probation,second offense,white,156.0,0.00072495,
73,prison,probation,second offense,white,168.0,0.00101493,
74,prison,probation,second offense,white,180.0,0.00130492,
75,prison,probation,second offense,white,192.0,0.00086994,
76,prison,probation,second offense,white,204.0,0.00057996,
77,prison,probation,second offense,white,216.0,0.0,
78,prison,probation,second offense,white,228.0,0.00014499,
79,prison,probation,second offense,white,240.0,0.00043497,
80,prison,probation,second offense,white,252.0,0.00014499,
81,prison,probation,second offense,white,264.0,0.00014499,
82,prison,probation,second offense,white,276.0,0.00014499,
83,prison,probation,second offense,white,288.0,0.00043497,
84,prison,probation,second offense,white,300.0,0.00043497,
85,prison,probation,second offense,white,312.0,0.00014499,
86,prison,probation,second offense,white,324.0,0.00014499,
87,prison,probation,second offense,white,336.0,0.0,
88,prison,probation,second offense,white,348.0,0.0,
89,prison,probation,second offense,white,360.0,0.00014499,
90,prison,probation,second offense,non-white,12.0,0.3189433,
91,prison,probation,second offense,non-white,24.0,0.3315956,
92,prison,probation,second offense,non-white,36.0,0.19827788,
93,prison,probation,second offense,non-white,48.0,0.07263355,
94,prison,probation,second offense,non-white,60.0,0.02881912,
95,prison,probation,second offense,non-white,72.0,0.01768978,
96,prison,probation,second offense,non-white,84.0,0.00960637,
97,prison,probation,second offense,non-white,96.0,0.00626757,
98,prison,probation,second offense,non-white,108.0,0.00433458,
99,prison,probation,second offense,non-white,120.0,0.00251874,
100,prison,probation,second offense,non-white,132.0,0.0028702,
101,prison,probation,second offense,non-white,144.0,0.00193299,
102,prison,probation,second offense,non-white,156.0,0.00076148,
103,prison,probation,second offense,non-white,168.0,0.00076148,
104,prison,probation,second offense,non-white,180.0,0.00064433,
105,prison,probation,second offense,non-white,192.0,0.00011715,
106,prison,probation,second offense,non-white,204.0,0.00029288,
107,prison,probation,second offense,non-white,216.0,0.0002343,
108,prison,probation,second offense,non-white,228.0,0.00035145,
109,prison,probation,second offense,non-white,240.0,0.00011715,
110,prison,probation,second offense,non-white,252.0,0.0,
111,prison,probation,second offense,non-white,264.0,0.00035145,
112,prison,probation,second offense,non-white,276.0,0.0002343,
113,prison,probation,second offense,non-white,288.0,0.00011715,
114,prison,probation,second offense,non-white,300.0,0.00017573,
115,prison,probation,second offense,non-white,312.0,5.8575e-05,
116,prison,probation,second offense,non-white,324.0,5.8575e-05,
117,prison,probation,second offense,non-white,336.0,5.8575e-05,
