,compartment,outflow_to,tis_percentage,compartment_duration,total_population,time_step
0,prison,probation,50%,84.0,0.09656652,
1,prison,probation,50%,96.0,0.11587983,
2,prison,probation,50%,108.0,0.19527897,
3,prison,probation,50%,120.0,0.21888412,
4,prison,probation,50%,132.0,0.11587983,
5,prison,probation,50%,144.0,0.05150215,
6,prison,probation,50%,156.0,0.03862661,
7,prison,probation,50%,168.0,0.03862661,
8,prison,probation,50%,180.0,0.02360515,
9,prison,probation,50%,192.0,0.02145923,
10,prison,probation,50%,204.0,0.00858369,
11,prison,probation,50%,216.0,0.00858369,
12,prison,probation,50%,228.0,0.00643777,
13,prison,probation,50%,240.0,0.00643777,
14,prison,probation,50%,252.0,0.00214592,
15,prison,probation,50%,264.0,0.00214592,
16,prison,probation,50%,276.0,0.00643777,
17,prison,probation,50%,288.0,0.00429185,
18,prison,probation,50%,300.0,0.0,
19,prison,probation,50%,312.0,0.00214592,
20,prison,probation,50%,324.0,0.00858369,
21,prison,probation,50%,336.0,0.00214592,
22,prison,probation,50%,348.0,0.00214592,
23,prison,probation,50%,360.0,0.0,
24,prison,probation,50%,372.0,0.00429185,
25,prison,probation,50%,384.0,0.0,
26,prison,probation,50%,396.0,0.00214592,
27,prison,probation,50%,408.0,0.00214592,
28,prison,probation,50%,420.0,0.0,
29,prison,probation,50%,432.0,0.0,
30,prison,probation,50%,444.0,0.0,
31,prison,probation,50%,456.0,0.0,
32,prison,probation,50%,468.0,0.0,
33,prison,probation,50%,480.0,0.0,
34,prison,probation,50%,492.0,0.0,
35,prison,probation,50%,504.0,0.0,
36,prison,probation,50%,516.0,0.00214592,
37,prison,probation,50%,528.0,0.0,
38,prison,probation,50%,540.0,0.0,
39,prison,probation,50%,552.0,0.0,
40,prison,probation,50%,564.0,0.0,
41,prison,probation,50%,576.0,0.0,
42,prison,probation,50%,588.0,0.0,
43,prison,probation,50%,600.0,0.0,
44,prison,probation,50%,612.0,0.0,
45,prison,probation,50%,624.0,0.0,
46,prison,probation,50%,636.0,0.0,
47,prison,probation,50%,648.0,0.0,
48,prison,probation,50%,660.0,0.00214592,
49,prison,probation,50%,672.0,0.0,
50,prison,probation,50%,684.0,0.0,
51,prison,probation,50%,696.0,0.0,
52,prison,probation,50%,708.0,0.00214592,
53,prison,probation,50%,720.0,0.00214592,
54,prison,probation,50%,732.0,0.0,
55,prison,probation,50%,744.0,0.0,
56,prison,probation,50%,756.0,0.0,
57,prison,probation,50%,768.0,0.0,
58,prison,probation,50%,780.0,0.0,
59,prison,probation,50%,792.0,0.0,
60,prison,probation,50%,804.0,0.0,
61,prison,probation,50%,816.0,0.0,
62,prison,probation,50%,828.0,0.0,
63,prison,probation,50%,840.0,0.0,
64,prison,probation,50%,852.0,0.0,
65,prison,probation,50%,864.0,0.0,
66,prison,probation,50%,876.0,0.0,
67,prison,probation,50%,888.0,0.00214592,
68,prison,probation,50%,900.0,0.0,
69,prison,probation,50%,912.0,0.0,
70,prison,probation,50%,924.0,0.00429185,
71,prison,probation,50%,936.0,0.0,
72,prison,probation,50%,948.0,0.0,
73,prison,probation,50%,960.0,0.0,
74,prison,probation,85%,84.0,0.00705467,
75,prison,probation,85%,96.0,0.01058201,
76,prison,probation,85%,108.0,0.02645503,
77,prison,probation,85%,120.0,0.03703704,
78,prison,probation,85%,132.0,0.07407407,
79,prison,probation,85%,144.0,0.09171076,
80,prison,probation,85%,156.0,0.06701939999999999,
81,prison,probation,85%,168.0,0.05114638,
82,prison,probation,85%,180.0,0.05820106,
83,prison,probation,85%,192.0,0.04409171,
84,prison,probation,85%,204.0,0.03527337,
85,prison,probation,85%,216.0,0.04761905,
86,prison,probation,85%,228.0,0.02469136,
87,prison,probation,85%,240.0,0.03174603,
88,prison,probation,85%,252.0,0.02469136,
89,prison,probation,85%,264.0,0.01940035,
90,prison,probation,85%,276.0,0.02645503,
91,prison,probation,85%,288.0,0.02998236,
92,prison,probation,85%,300.0,0.03703704,
93,prison,probation,85%,312.0,0.01940035,
94,prison,probation,85%,324.0,0.01587302,
95,prison,probation,85%,336.0,0.01410935,
96,prison,probation,85%,348.0,0.01587302,
97,prison,probation,85%,360.0,0.01058201,
98,prison,probation,85%,372.0,0.01234568,
99,prison,probation,85%,384.0,0.01234568,
100,prison,probation,85%,396.0,0.01410935,
101,prison,probation,85%,408.0,0.00881834,
102,prison,probation,85%,420.0,0.00881834,
103,prison,probation,85%,432.0,0.00529101,
104,prison,probation,85%,444.0,0.01234568,
105,prison,probation,85%,456.0,0.00881834,
106,prison,probation,85%,468.0,0.00352734,
107,prison,probation,85%,480.0,0.00705467,
108,prison,probation,85%,492.0,0.00352734,
109,prison,probation,85%,504.0,0.00705467,
110,prison,probation,85%,516.0,0.00529101,
111,prison,probation,85%,528.0,0.00176367,
112,prison,probation,85%,540.0,0.00705467,
113,prison,probation,85%,552.0,0.00176367,
114,prison,probation,85%,564.0,0.00705467,
115,prison,probation,85%,576.0,0.00352734,
116,prison,probation,85%,588.0,0.00529101,
117,prison,probation,85%,600.0,0.00176367,
118,prison,probation,85%,612.0,0.00176367,
119,prison,probation,85%,624.0,0.00352734,
120,prison,probation,85%,636.0,0.00176367,
121,prison,probation,85%,648.0,0.00529101,
122,prison,probation,85%,660.0,0.00176367,
123,prison,probation,85%,672.0,0.00529101,
124,prison,probation,85%,684.0,0.00176367,
125,prison,probation,85%,696.0,0.0,
126,prison,probation,85%,708.0,0.0,
127,prison,probation,85%,720.0,0.00176367,
128,prison,probation,85%,732.0,0.00176367,
129,prison,probation,85%,744.0,0.0,
130,prison,probation,85%,756.0,0.0,
131,prison,probation,85%,768.0,0.0,
132,prison,probation,85%,780.0,0.0,
133,prison,probation,85%,792.0,0.00176367,
134,prison,probation,85%,804.0,0.00352734,
135,prison,probation,85%,816.0,0.00176367,
136,prison,probation,85%,828.0,0.0,
137,prison,probation,85%,840.0,0.0,
138,prison,probation,85%,852.0,0.00352734,
139,prison,probation,85%,864.0,0.00176367,
140,prison,probation,85%,876.0,0.0,
141,prison,probation,85%,888.0,0.0,
142,prison,probation,85%,900.0,0.0,
143,prison,probation,85%,912.0,0.00176367,
144,prison,probation,85%,924.0,0.00176367,
145,prison,probation,85%,936.0,0.0,
146,prison,probation,85%,948.0,0.0,
147,prison,probation,85%,960.0,0.00176367,
148,prison,probation,100%,84.0,0.0,
149,prison,probation,100%,96.0,0.00102775,
150,prison,probation,100%,108.0,0.0,
151,prison,probation,100%,120.0,0.00308325,
152,prison,probation,100%,132.0,0.00308325,
153,prison,probation,100%,144.0,0.00513875,
154,prison,probation,100%,156.0,0.0061665,
155,prison,probation,100%,168.0,0.00822199,
156,prison,probation,100%,180.0,0.01438849,
157,prison,probation,100%,192.0,0.01541624,
158,prison,probation,100%,204.0,0.02055498,
159,prison,probation,100%,216.0,0.02672148,
160,prison,probation,100%,228.0,0.02363823,
161,prison,probation,100%,240.0,0.01849949,
162,prison,probation,100%,252.0,0.02158273,
163,prison,probation,100%,264.0,0.01952724,
164,prison,probation,100%,276.0,0.02980473,
165,prison,probation,100%,288.0,0.02055498,
166,prison,probation,100%,300.0,0.02363823,
167,prison,probation,100%,312.0,0.03083248,
168,prison,probation,100%,324.0,0.02877698,
169,prison,probation,100%,336.0,0.02569373,
170,prison,probation,100%,348.0,0.01644399,
171,prison,probation,100%,360.0,0.01952724,
172,prison,probation,100%,372.0,0.01541624,
173,prison,probation,100%,384.0,0.01438849,
174,prison,probation,100%,396.0,0.01336074,
175,prison,probation,100%,408.0,0.01644399,
176,prison,probation,100%,420.0,0.01849949,
177,prison,probation,100%,432.0,0.01541624,
178,prison,probation,100%,444.0,0.02363823,
179,prison,probation,100%,456.0,0.01849949,
180,prison,probation,100%,468.0,0.01541624,
181,prison,probation,100%,480.0,0.01747174,
182,prison,probation,100%,492.0,0.01027749,
183,prison,probation,100%,504.0,0.01541624,
184,prison,probation,100%,516.0,0.01952724,
185,prison,probation,100%,528.0,0.02672148,
186,prison,probation,100%,540.0,0.01644399,
187,prison,probation,100%,552.0,0.01849949,
188,prison,probation,100%,564.0,0.01952724,
189,prison,probation,100%,576.0,0.02363823,
190,prison,probation,100%,588.0,0.01336074,
191,prison,probation,100%,600.0,0.01336074,
192,prison,probation,100%,612.0,0.01336074,
193,prison,probation,100%,624.0,0.02055498,
194,prison,probation,100%,636.0,0.01541624,
195,prison,probation,100%,648.0,0.01541624,
196,prison,probation,100%,660.0,0.01233299,
197,prison,probation,100%,672.0,0.01541624,
198,prison,probation,100%,684.0,0.01747174,
199,prison,probation,100%,696.0,0.01952724,
200,prison,probation,100%,708.0,0.01233299,
201,prison,probation,100%,720.0,0.01027749,
202,prison,probation,100%,732.0,0.01027749,
203,prison,probation,100%,744.0,0.00719424,
204,prison,probation,100%,756.0,0.00719424,
205,prison,probation,100%,768.0,0.01130524,
206,prison,probation,100%,780.0,0.0061665,
207,prison,probation,100%,792.0,0.00719424,
208,prison,probation,100%,804.0,0.00719424,
209,prison,probation,100%,816.0,0.00513875,
210,prison,probation,100%,828.0,0.0061665,
211,prison,probation,100%,840.0,0.0020555,
212,prison,probation,100%,852.0,0.00719424,
213,prison,probation,100%,864.0,0.00513875,
214,prison,probation,100%,876.0,0.00719424,
215,prison,probation,100%,888.0,0.00513875,
216,prison,probation,100%,900.0,0.00513875,
217,prison,probation,100%,912.0,0.004111,
218,prison,probation,100%,924.0,0.0061665,
219,prison,probation,100%,936.0,0.00513875,
220,prison,probation,100%,948.0,0.00308325,
221,prison,probation,100%,960.0,0.0020555,
0,probation,release,50%,36.0,0.584,
1,probation,release,85%,36.0,0.584,
2,probation,release,100%,36.0,0.584,
3,probation,prison,50%,12.0,0.244,
4,probation,prison,85%,12.0,0.244,
5,probation,prison,100%,12.0,0.244,
6,probation,prison,50%,24.0,0.11699999999999999,
7,probation,prison,85%,24.0,0.11699999999999999,
8,probation,prison,100%,24.0,0.11699999999999999,
9,probation,prison,50%,36.0,0.055,
10,probation,prison,85%,36.0,0.055,
11,probation,prison,100%,36.0,0.055,
0,release,release,50%,960.0,1.0,
1,release,release,85%,960.0,1.0,
2,release,release,100%,960.0,1.0,
0,pretrial,prison,50%,,9.583333333333334,0.0
1,pretrial,prison,50%,,9.583333333333334,1.0
2,pretrial,prison,50%,,9.583333333333334,2.0
3,pretrial,prison,50%,,9.583333333333334,3.0
4,pretrial,prison,50%,,9.583333333333334,4.0
5,pretrial,prison,50%,,9.583333333333334,5.0
6,pretrial,prison,50%,,9.583333333333334,6.0
7,pretrial,prison,50%,,9.583333333333334,7.0
8,pretrial,prison,50%,,9.583333333333334,8.0
9,pretrial,prison,50%,,9.583333333333334,9.0
10,pretrial,prison,50%,,9.583333333333334,10.0
11,pretrial,prison,50%,,9.583333333333334,11.0
12,pretrial,prison,85%,,6.416666666666667,0.0
13,pretrial,prison,85%,,6.416666666666667,1.0
14,pretrial,prison,85%,,6.416666666666667,2.0
15,pretrial,prison,85%,,6.416666666666667,3.0
16,pretrial,prison,85%,,6.416666666666667,4.0
17,pretrial,prison,85%,,6.416666666666667,5.0
18,pretrial,prison,85%,,6.416666666666667,6.0
19,pretrial,prison,85%,,6.416666666666667,7.0
20,pretrial,prison,85%,,6.416666666666667,8.0
21,pretrial,prison,85%,,6.416666666666667,9.0
22,pretrial,prison,85%,,6.416666666666667,10.0
23,pretrial,prison,85%,,6.416666666666667,11.0
24,pretrial,prison,100%,,12.916666666666666,0.0
25,pretrial,prison,100%,,12.916666666666666,1.0
26,pretrial,prison,100%,,12.916666666666666,2.0
27,pretrial,prison,100%,,12.916666666666666,3.0
28,pretrial,prison,100%,,12.916666666666666,4.0
29,pretrial,prison,100%,,12.916666666666666,5.0
30,pretrial,prison,100%,,12.916666666666666,6.0
31,pretrial,prison,100%,,12.916666666666666,7.0
32,pretrial,prison,100%,,12.916666666666666,8.0
33,pretrial,prison,100%,,12.916666666666666,9.0
34,pretrial,prison,100%,,12.916666666666666,10.0
35,pretrial,prison,100%,,12.916666666666666,11.0
0,pretrial,prison,50%,,10.833333333333334,12.0
1,pretrial,prison,50%,,10.833333333333334,13.0
2,pretrial,prison,50%,,10.833333333333334,14.0
3,pretrial,prison,50%,,10.833333333333334,15.0
4,pretrial,prison,50%,,10.833333333333334,16.0
5,pretrial,prison,50%,,10.833333333333334,17.0
6,pretrial,prison,50%,,10.833333333333334,18.0
7,pretrial,prison,50%,,10.833333333333334,19.0
8,pretrial,prison,50%,,10.833333333333334,20.0
9,pretrial,prison,50%,,10.833333333333334,21.0
10,pretrial,prison,50%,,10.833333333333334,22.0
11,pretrial,prison,50%,,10.833333333333334,23.0
12,pretrial,prison,85%,,10.083333333333334,12.0
13,pretrial,prison,85%,,10.083333333333334,13.0
14,pretrial,prison,85%,,10.083333333333334,14.0
15,pretrial,prison,85%,,10.083333333333334,15.0
16,pretrial,prison,85%,,10.083333333333334,16.0
17,pretrial,prison,85%,,10.083333333333334,17.0
18,pretrial,prison,85%,,10.083333333333334,18.0
19,pretrial,prison,85%,,10.083333333333334,19.0
20,pretrial,prison,85%,,10.083333333333334,20.0
21,pretrial,prison,85%,,10.083333333333334,21.0
22,pretrial,prison,85%,,10.083333333333334,22.0
23,pretrial,prison,85%,,10.083333333333334,23.0
24,pretrial,prison,100%,,13.666666666666666,12.0
25,pretrial,prison,100%,,13.666666666666666,13.0
26,pretrial,prison,100%,,13.666666666666666,14.0
27,pretrial,prison,100%,,13.666666666666666,15.0
28,pretrial,prison,100%,,13.666666666666666,16.0
29,pretrial,prison,100%,,13.666666666666666,17.0
30,pretrial,prison,100%,,13.666666666666666,18.0
31,pretrial,prison,100%,,13.666666666666666,19.0
32,pretrial,prison,100%,,13.666666666666666,20.0
33,pretrial,prison,100%,,13.666666666666666,21.0
34,pretrial,prison,100%,,13.666666666666666,22.0
35,pretrial,prison,100%,,13.666666666666666,23.0
0,pretrial,prison,50%,,0.16666666666666666,24.0
1,pretrial,prison,50%,,0.16666666666666666,25.0
2,pretrial,prison,50%,,0.16666666666666666,26.0
3,pretrial,prison,50%,,0.16666666666666666,27.0
4,pretrial,prison,50%,,0.16666666666666666,28.0
5,pretrial,prison,50%,,0.16666666666666666,29.0
6,pretrial,prison,50%,,0.16666666666666666,30.0
7,pretrial,prison,50%,,0.16666666666666666,31.0
8,pretrial,prison,50%,,0.16666666666666666,32.0
9,pretrial,prison,50%,,0.16666666666666666,33.0
10,pretrial,prison,50%,,0.16666666666666666,34.0
11,pretrial,prison,50%,,0.16666666666666666,35.0
12,pretrial,prison,85%,,6.916666666666667,24.0
13,pretrial,prison,85%,,6.916666666666667,25.0
14,pretrial,prison,85%,,6.916666666666667,26.0
15,pretrial,prison,85%,,6.916666666666667,27.0
16,pretrial,prison,85%,,6.916666666666667,28.0
17,pretrial,prison,85%,,6.916666666666667,29.0
18,pretrial,prison,85%,,6.916666666666667,30.0
19,pretrial,prison,85%,,6.916666666666667,31.0
20,pretrial,prison,85%,,6.916666666666667,32.0
21,pretrial,prison,85%,,6.916666666666667,33.0
22,pretrial,prison,85%,,6.916666666666667,34.0
23,pretrial,prison,85%,,6.916666666666667,35.0
24,pretrial,prison,100%,,11.333333333333334,24.0
25,pretrial,prison,100%,,11.333333333333334,25.0
26,pretrial,prison,100%,,11.333333333333334,26.0
27,pretrial,prison,100%,,11.333333333333334,27.0
28,pretrial,prison,100%,,11.333333333333334,28.0
29,pretrial,prison,100%,,11.333333333333334,29.0
30,pretrial,prison,100%,,11.333333333333334,30.0
31,pretrial,prison,100%,,11.333333333333334,31.0
32,pretrial,prison,100%,,11.333333333333334,32.0
33,pretrial,prison,100%,,11.333333333333334,33.0
34,pretrial,prison,100%,,11.333333333333334,34.0
35,pretrial,prison,100%,,11.333333333333334,35.0
0,pretrial,prison,50%,,6.25,36.0
1,pretrial,prison,50%,,6.25,37.0
2,pretrial,prison,50%,,6.25,38.0
3,pretrial,prison,50%,,6.25,39.0
4,pretrial,prison,50%,,6.25,40.0
5,pretrial,prison,50%,,6.25,41.0
6,pretrial,prison,50%,,6.25,42.0
7,pretrial,prison,50%,,6.25,43.0
8,pretrial,prison,50%,,6.25,44.0
9,pretrial,prison,50%,,6.25,45.0
10,pretrial,prison,50%,,6.25,46.0
11,pretrial,prison,50%,,6.25,47.0
12,pretrial,prison,85%,,5.5,36.0
13,pretrial,prison,85%,,5.5,37.0
14,pretrial,prison,85%,,5.5,38.0
15,pretrial,prison,85%,,5.5,39.0
16,pretrial,prison,85%,,5.5,40.0
17,pretrial,prison,85%,,5.5,41.0
18,pretrial,prison,85%,,5.5,42.0
19,pretrial,prison,85%,,5.5,43.0
20,pretrial,prison,85%,,5.5,44.0
21,pretrial,prison,85%,,5.5,45.0
22,pretrial,prison,85%,,5.5,46.0
23,pretrial,prison,85%,,5.5,47.0
24,pretrial,prison,100%,,10.666666666666666,36.0
25,pretrial,prison,100%,,10.666666666666666,37.0
26,pretrial,prison,100%,,10.666666666666666,38.0
27,pretrial,prison,100%,,10.666666666666666,39.0
28,pretrial,prison,100%,,10.666666666666666,40.0
29,pretrial,prison,100%,,10.666666666666666,41.0
30,pretrial,prison,100%,,10.666666666666666,42.0
31,pretrial,prison,100%,,10.666666666666666,43.0
32,pretrial,prison,100%,,10.666666666666666,44.0
33,pretrial,prison,100%,,10.666666666666666,45.0
34,pretrial,prison,100%,,10.666666666666666,46.0
35,pretrial,prison,100%,,10.666666666666666,47.0
0,pretrial,prison,50%,,4.75,48.0
1,pretrial,prison,50%,,4.75,49.0
2,pretrial,prison,50%,,4.75,50.0
3,pretrial,prison,50%,,4.75,51.0
4,pretrial,prison,50%,,4.75,52.0
5,pretrial,prison,50%,,4.75,53.0
6,pretrial,prison,50%,,4.75,54.0
7,pretrial,prison,50%,,4.75,55.0
8,pretrial,prison,50%,,4.75,56.0
9,pretrial,prison,50%,,4.75,57.0
10,pretrial,prison,50%,,4.75,58.0
11,pretrial,prison,50%,,4.75,59.0
12,pretrial,prison,85%,,6.833333333333333,48.0
13,pretrial,prison,85%,,6.833333333333333,49.0
14,pretrial,prison,85%,,6.833333333333333,50.0
15,pretrial,prison,85%,,6.833333333333333,51.0
16,pretrial,prison,85%,,6.833333333333333,52.0
17,pretrial,prison,85%,,6.833333333333333,53.0
18,pretrial,prison,85%,,6.833333333333333,54.0
19,pretrial,prison,85%,,6.833333333333333,55.0
