,compartment,outflow_to,crime_classification,race,compartment_duration,total_population,time_step
0,prison,probation,murder,white,12.0,0.0,
1,prison,probation,murder,white,24.0,0.0,
2,prison,probation,murder,white,36.0,0.0031348,
3,prison,probation,murder,white,48.0,0.0,
4,prison,probation,murder,white,60.0,0.0,
5,prison,probation,murder,white,72.0,0.0031348,
6,prison,probation,murder,white,84.0,0.0,
7,prison,probation,murder,white,96.0,0.0031348,
8,prison,probation,murder,white,108.0,0.0,
9,prison,probation,murder,white,120.0,0.00626959,
10,prison,probation,murder,white,132.0,0.00626959,
11,prison,probation,murder,white,144.0,0.0031348,
12,prison,probation,murder,white,156.0,0.0031348,
13,prison,probation,murder,white,168.0,0.0,
14,prison,probation,murder,white,180.0,0.01253918,
15,prison,probation,murder,white,192.0,0.00940439,
16,prison,probation,murder,white,204.0,0.02194357,
17,prison,probation,murder,white,216.0,0.01880878,
18,prison,probation,murder,white,228.0,0.03134796,
19,prison,probation,murder,white,240.0,0.01880878,
20,prison,probation,murder,white,252.0,0.02194357,
21,prison,probation,murder,white,264.0,0.00940439,
22,prison,probation,murder,white,276.0,0.02821317,
23,prison,probation,murder,white,288.0,0.03134796,
24,prison,probation,murder,white,300.0,0.03134796,
25,prison,probation,murder,white,312.0,0.02507837,
26,prison,probation,murder,white,324.0,0.05329154,
27,prison,probation,murder,white,336.0,0.01567398,
28,prison,probation,murder,white,348.0,0.03448276,
29,prison,probation,murder,white,360.0,0.02507837,
30,prison,probation,murder,white,372.0,0.01880878,
31,prison,probation,murder,white,384.0,0.01253918,
32,prison,probation,murder,white,396.0,0.01880878,
33,prison,probation,murder,white,408.0,0.01880878,
34,prison,probation,murder,white,420.0,0.02194357,
35,prison,probation,murder,white,432.0,0.02821317,
36,prison,probation,murder,white,444.0,0.02507837,
37,prison,probation,murder,white,456.0,0.01253918,
38,prison,probation,murder,white,468.0,0.01880878,
39,prison,probation,murder,white,480.0,0.01567398,
40,prison,probation,murder,white,492.0,0.00626959,
41,prison,probation,murder,white,504.0,0.02194357,
42,prison,probation,murder,white,516.0,0.01253918,
43,prison,probation,murder,white,528.0,0.03448276,
44,prison,probation,murder,white,540.0,0.01253918,
45,prison,probation,murder,white,552.0,0.01253918,
46,prison,probation,murder,white,564.0,0.02821317,
47,prison,probation,murder,white,576.0,0.02507837,
48,prison,probation,murder,white,588.0,0.01567398,
49,prison,probation,murder,white,600.0,0.01253918,
50,prison,probation,murder,white,612.0,0.00940439,
51,prison,probation,murder,white,624.0,0.01880878,
52,prison,probation,murder,white,636.0,0.00626959,
53,prison,probation,murder,white,648.0,0.01567398,
54,prison,probation,murder,white,660.0,0.00940439,
