,compartment,outflow_to,tis_percentage,race,compartment_duration,total_population,time_step
0,prison,probation,100%,white,0.0,0.0,
1,prison,probation,100%,white,12.0,0.0,
2,prison,probation,100%,white,24.0,0.0,
3,prison,probation,100%,white,36.0,0.0032786890000000004,
4,prison,probation,100%,white,48.0,0.0,
5,prison,probation,100%,white,60.0,0.0,
6,prison,probation,100%,white,72.0,0.0,
7,prison,probation,100%,white,84.0,0.0,
8,prison,probation,100%,white,96.0,0.0,
9,prison,probation,100%,white,108.0,0.0,
10,prison,probation,100%,white,120.0,0.0032786890000000004,
11,prison,probation,100%,white,132.0,0.0032786890000000004,
12,prison,probation,100%,white,144.0,0.0,
13,prison,probation,100%,white,156.0,0.0032786890000000004,
14,prison,probation,100%,white,168.0,0.0,
15,prison,probation,100%,white,180.0,0.006557377,
16,prison,probation,100%,white,192.0,0.009836066,
17,prison,probation,100%,white,204.0,0.019672131000000002,
18,prison,probation,100%,white,216.0,0.019672131000000002,
19,prison,probation,100%,white,228.0,0.032786885,
20,prison,probation,100%,white,240.0,0.016393443,
21,prison,probation,100%,white,252.0,0.02295082,
22,prison,probation,100%,white,264.0,0.009836066,
23,prison,probation,100%,white,276.0,0.029508197000000003,
24,prison,probation,100%,white,288.0,0.026229508,
25,prison,probation,100%,white,300.0,0.032786885,
26,prison,probation,100%,white,312.0,0.026229508,
27,prison,probation,100%,white,324.0,0.052459016,
28,prison,probation,100%,white,336.0,0.016393443,
29,prison,probation,100%,white,348.0,0.036065573999999996,
30,prison,probation,100%,white,360.0,0.026229508,
31,prison,probation,100%,white,372.0,0.019672131000000002,
32,prison,probation,100%,white,384.0,0.013114754,
33,prison,probation,100%,white,396.0,0.019672131000000002,
34,prison,probation,100%,white,408.0,0.019672131000000002,
35,prison,probation,100%,white,420.0,0.02295082,
36,prison,probation,100%,white,432.0,0.029508197000000003,
37,prison,probation,100%,white,444.0,0.026229508,
38,prison,probation,100%,white,456.0,0.013114754,
39,prison,probation,100%,white,468.0,0.019672131000000002,
40,prison,probation,100%,white,480.0,0.016393443,
41,prison,probation,100%,white,492.0,0.006557377,
42,prison,probation,100%,white,504.0,0.02295082,
43,prison,probation,100%,white,516.0,0.013114754,
44,prison,probation,100%,white,528.0,0.036065573999999996,
45,prison,probation,100%,white,540.0,0.013114754,
46,prison,probation,100%,white,552.0,0.013114754,
47,prison,probation,100%,white,564.0,0.029508197000000003,
48,prison,probation,100%,white,576.0,0.026229508,
49,prison,probation,100%,white,588.0,0.016393443,
50,prison,probation,100%,white,600.0,0.013114754,
51,prison,probation,100%,white,612.0,0.009836066,
52,prison,probation,100%,white,624.0,0.019672131000000002,
53,prison,probation,100%,white,636.0,0.006557377,
54,prison,probation,100%,white,648.0,0.016393443,
55,prison,probation,100%,white,660.0,0.009836066,
56,prison,probation,100%,white,672.0,0.016393443,
57,prison,probation,100%,white,684.0,0.006557377,
58,prison,probation,100%,white,696.0,0.016393443,
59,prison,probation,100%,white,708.0,0.013114754,
60,prison,probation,100%,white,720.0,0.0032786890000000004,
61,prison,probation,100%,white,732.0,0.009836066,
62,prison,probation,100%,white,744.0,0.0032786890000000004,
63,prison,probation,100%,white,756.0,0.006557377,
64,prison,probation,100%,white,768.0,0.006557377,
65,prison,probation,100%,white,780.0,0.0032786890000000004,
66,prison,probation,100%,white,792.0,0.0032786890000000004,
67,prison,probation,100%,white,804.0,0.0032786890000000004,
68,prison,probation,100%,white,816.0,0.013114754,
69,prison,probation,100%,white,828.0,0.006557377,
70,prison,probation,100%,white,840.0,0.0032786890000000004,
71,prison,probation,100%,white,852.0,0.006557377,
72,prison,probation,100%,white,864.0,0.0032786890000000004,
73,prison,probation,100%,white,876.0,0.0,
74,prison,probation,100%,white,888.0,0.006557377,
75,prison,probation,100%,white,900.0,0.0,
76,prison,probation,100%,white,912.0,0.0,
77,prison,probation,100%,white,924.0,0.0032786890000000004,
78,prison,probation,100%,white,936.0,0.009836066,
79,prison,probation,100%,white,948.0,0.0032786890000000004,
80,prison,probation,100%,white,960.0,0.0032786890000000004,
81,prison,probation,100%,non-white,0.0,0.0,
82,prison,probation,100%,non-white,12.0,0.000735835,
83,prison,probation,100%,non-white,24.0,0.0,
84,prison,probation,100%,non-white,36.0,0.00147167,
85,prison,probation,100%,non-white,48.0,0.000735835,
86,prison,probation,100%,non-white,60.0,0.000735835,
