,compartment,outflow_to,race,compartment_duration,total_population,time_step
0,prison,probation,white,12,0.01917808,
1,prison,probation,white,24,0.08219178,
2,prison,probation,white,36,0.13150685,
3,prison,probation,white,48,0.12602739999999998,
4,prison,probation,white,60,0.07671233,
5,prison,probation,white,72,0.05753425,
6,prison,probation,white,84,0.08219178,
7,prison,probation,white,96,0.05753425,
8,prison,probation,white,108,0.05479452,
9,prison,probation,white,120,0.04109589,
10,prison,probation,white,132,0.02465753,
11,prison,probation,white,144,0.02739726,
12,prison,probation,white,156,0.02465753,
13,prison,probation,white,168,0.02465753,
14,prison,probation,white,180,0.02739726,
15,prison,probation,white,192,0.0109589,
16,prison,probation,white,204,0.01643836,
17,prison,probation,white,216,0.00273973,
18,prison,probation,white,228,0.00821918,
19,prison,probation,white,240,0.02191781,
20,prison,probation,white,252,0.01643836,
21,prison,probation,white,264,0.0109589,
22,prison,probation,white,276,0.0,
23,prison,probation,white,288,0.00273973,
24,prison,probation,white,300,0.0109589,
25,prison,probation,white,312,0.0,
26,prison,probation,white,324,0.00547945,
27,prison,probation,white,336,0.0,
28,prison,probation,white,348,0.00547945,
29,prison,probation,white,360,0.0,
30,prison,probation,white,372,0.00273973,
31,prison,probation,white,384,0.0,
32,prison,probation,white,396,0.0,
33,prison,probation,white,408,0.0,
34,prison,probation,white,420,0.0,
35,prison,probation,white,432,0.00547945,
36,prison,probation,white,444,0.0,
37,prison,probation,white,456,0.00273973,
38,prison,probation,white,468,0.00273973,
39,prison,probation,white,480,0.0,
40,prison,probation,white,492,0.00273973,
41,prison,probation,white,504,0.00273973,
42,prison,probation,white,516,0.0,
43,prison,probation,white,528,0.0,
44,prison,probation,white,540,0.0,
45,prison,probation,white,552,0.0,
46,prison,probation,white,564,0.00273973,
47,prison,probation,white,576,0.0,
48,prison,probation,white,588,0.00273973,
49,prison,probation,white,600,0.00273973,
50,prison,probation,white,612,0.0,
51,prison,probation,white,624,0.0,
52,prison,probation,white,636,0.0,
53,prison,probation,white,648,0.0,
54,prison,probation,white,660,0.0,
55,prison,probation,white,672,0.0,
56,prison,probation,white,684,0.00273973,
57,prison,probation,white,696,0.0,
58,prison,probation,white,708,0.0,
59,prison,probation,white,720,0.0,
60,prison,probation,non-white,12,0.03991597,
61,prison,probation,non-white,24,0.10294118,
62,prison,probation,non-white,36,0.13445378,
63,prison,probation,non-white,48,0.12605042,
64,prison,probation,non-white,60,0.11659664,
65,prison,probation,non-white,72,0.07668067,
66,prison,probation,non-white,84,0.09243697,
67,prison,probation,non-white,96,0.04936975,
68,prison,probation,non-white,108,0.04516807,
69,prison,probation,non-white,120,0.03781513,
70,prison,probation,non-white,132,0.02521008,
71,prison,probation,non-white,144,0.01995798,
72,prison,probation,non-white,156,0.015756299999999997,
73,prison,probation,non-white,168,0.01470588,
74,prison,probation,non-white,180,0.01470588,
75,prison,probation,non-white,192,0.01785714,
76,prison,probation,non-white,204,0.00315126,
77,prison,probation,non-white,216,0.00630252,
78,prison,probation,non-white,228,0.00945378,
79,prison,probation,non-white,240,0.00420168,
80,prison,probation,non-white,252,0.00420168,
81,prison,probation,non-white,264,0.00735294,
82,prison,probation,non-white,276,0.00420168,
