,compartment,outflow_to,crime_classification,race,compartment_duration,total_population,time_step
340,prison,probation,class_2,white,12.0,0.38355111,
341,prison,probation,class_2,white,24.0,0.34588778,
342,prison,probation,class_2,white,36.0,0.15142198,
343,prison,probation,class_2,white,48.0,0.05918524,
344,prison,probation,class_2,white,60.0,0.02997694,
345,prison,probation,class_2,white,72.0,0.01306687,
346,prison,probation,class_2,white,84.0,0.00461184,
347,prison,probation,class_2,white,96.0,0.00538048,
348,prison,probation,class_2,white,108.0,0.00153728,
349,prison,probation,class_2,white,120.0,0.00076864,
350,prison,probation,class_2,white,132.0,0.00153728,
351,prison,probation,class_2,white,144.0,0.00076864,
352,prison,probation,class_2,white,156.0,0.0,
353,prison,probation,class_2,white,168.0,0.00153728,
354,prison,probation,class_2,white,180.0,0.00076864,
355,prison,probation,class_2,white,192.0,0.0,
356,prison,probation,class_2,white,204.0,0.0,
357,prison,probation,class_2,white,216.0,0.0,
358,prison,probation,class_2,white,228.0,0.0,
359,prison,probation,class_2,white,240.0,0.0,
360,prison,probation,class_2,white,252.0,0.0,
361,prison,probation,class_2,white,264.0,0.0,
362,prison,probation,class_2,white,276.0,0.0,
363,prison,probation,class_2,white,288.0,0.0,
364,prison,probation,class_2,white,300.0,0.0,
365,prison,probation,class_2,white,312.0,0.0,
366,prison,probation,class_2,white,324.0,0.0,
367,prison,probation,class_2,white,336.0,0.0,
368,prison,probation,class_2,white,348.0,0.0,
369,prison,probation,class_2,non-white,12.0,0.43471338,
370,prison,probation,class_2,non-white,24.0,0.32484076,
371,prison,probation,class_2,non-white,36.0,0.14543524,
372,prison,probation,class_2,non-white,48.0,0.04989384,
373,prison,probation,class_2,non-white,60.0,0.01804671,
374,prison,probation,class_2,non-white,72.0,0.00902335,
375,prison,probation,class_2,non-white,84.0,0.00636943,
376,prison,probation,class_2,non-white,96.0,0.00159236,
377,prison,probation,class_2,non-white,108.0,0.00424628,
378,prison,probation,class_2,non-white,120.0,0.00159236,
379,prison,probation,class_2,non-white,132.0,0.00106157,
380,prison,probation,class_2,non-white,144.0,0.00159236,
381,prison,probation,class_2,non-white,156.0,0.0,
382,prison,probation,class_2,non-white,168.0,0.00159236,
383,prison,probation,class_2,non-white,180.0,0.0,
384,prison,probation,class_2,non-white,192.0,0.0,
385,prison,probation,class_2,non-white,204.0,0.0,
386,prison,probation,class_2,non-white,216.0,0.0,
387,prison,probation,class_2,non-white,228.0,0.0,
388,prison,probation,class_2,non-white,240.0,0.0,
389,prison,probation,class_2,non-white,252.0,0.0,
390,prison,probation,class_2,non-white,264.0,0.0,
391,prison,probation,class_2,non-white,276.0,0.0,
392,prison,probation,class_2,non-white,288.0,0.0,
393,prison,probation,class_2,non-white,300.0,0.0,
394,prison,probation,class_2,non-white,312.0,0.0,
395,prison,probation,class_2,non-white,324.0,0.0,
396,prison,probation,class_2,non-white,336.0,0.0,
397,prison,probation,class_2,non-white,348.0,0.0,
