,compartment,compartment_duration,outflow_to,total_population,crime_type,time_step
0,probation,20.284283098136378,release,0.7341825559266042,felony,
1,probation,20.284283098136378,prison,0.11929063880211138,felony,
2,probation,20.284283098136378,prison_technicals,0.14652680527128442,felony,
0,prison_technicals,1.0,probation,1.0,felony,
1,release,12.0,release,1.0,felony,
2,prison,12.0,prison,1.0,felony,
0,prison_shell,,probation,2537.1666666666665,felony,-60.0
1,prison_shell,,probation,2537.1666666666665,felony,-59.0
2,prison_shell,,probation,2537.1666666666665,felony,-58.0
3,prison_shell,,probation,2537.1666666666665,felony,-57.0
4,prison_shell,,probation,2537.1666666666665,felony,-56.0
5,prison_shell,,probation,2537.1666666666665,felony,-55.0
6,prison_shell,,probation,2537.1666666666665,felony,-54.0
7,prison_shell,,probation,2537.1666666666665,felony,-53.0
8,prison_shell,,probation,2537.1666666666665,felony,-52.0
9,prison_shell,,probation,2537.1666666666665,felony,-51.0
10,prison_shell,,probation,2537.1666666666665,felony,-50.0
11,prison_shell,,probation,2537.1666666666665,felony,-49.0
0,prison_shell,,probation,2452.6666666666665,felony,-48.0
1,prison_shell,,probation,2452.6666666666665,felony,-47.0
2,prison_shell,,probation,2452.6666666666665,felony,-46.0
3,prison_shell,,probation,2452.6666666666665,felony,-45.0
4,prison_shell,,probation,2452.6666666666665,felony,-44.0
5,prison_shell,,probation,2452.6666666666665,felony,-43.0
6,prison_shell,,probation,2452.6666666666665,felony,-42.0
7,prison_shell,,probation,2452.6666666666665,felony,-41.0
8,prison_shell,,probation,2452.6666666666665,felony,-40.0
9,prison_shell,,probation,2452.6666666666665,felony,-39.0
10,prison_shell,,probation,2452.6666666666665,felony,-38.0
11,prison_shell,,probation,2452.6666666666665,felony,-37.0
0,prison_shell,,probation,2356.8333333333335,felony,-36.0
1,prison_shell,,probation,2356.8333333333335,felony,-35.0
2,prison_shell,,probation,2356.8333333333335,felony,-34.0
3,prison_shell,,probation,2356.8333333333335,felony,-33.0
4,prison_shell,,probation,2356.8333333333335,felony,-32.0
5,prison_shell,,probation,2356.8333333333335,felony,-31.0
6,prison_shell,,probation,2356.8333333333335,felony,-30.0
7,prison_shell,,probation,2356.8333333333335,felony,-29.0
8,prison_shell,,probation,2356.8333333333335,felony,-28.0
9,prison_shell,,probation,2356.8333333333335,felony,-27.0
10,prison_shell,,probation,2356.8333333333335,felony,-26.0
11,prison_shell,,probation,2356.8333333333335,felony,-25.0
0,prison_shell,,probation,2461.8333333333335,felony,-24.0
1,prison_shell,,probation,2461.8333333333335,felony,-23.0
2,prison_shell,,probation,2461.8333333333335,felony,-22.0
3,prison_shell,,probation,2461.8333333333335,felony,-21.0
4,prison_shell,,probation,2461.8333333333335,felony,-20.0
5,prison_shell,,probation,2461.8333333333335,felony,-19.0
6,prison_shell,,probation,2461.8333333333335,felony,-18.0
7,prison_shell,,probation,2461.8333333333335,felony,-17.0
8,prison_shell,,probation,2461.8333333333335,felony,-16.0
9,prison_shell,,probation,2461.8333333333335,felony,-15.0
10,prison_shell,,probation,2461.8333333333335,felony,-14.0
