,compartment_duration,offense_group,compartment,outflow_to,total_population,time_step
0,1.5,DRUG,prison,release,1881.0,
1,1.75,DRUG,prison,release,1484.0,
2,2.0,DRUG,prison,release,5930.0,
3,3.0,PROPERTY,prison,release,482.0,
4,3.5,PROPERTY,prison,release,2171.0,
0,100.0,DRUG,release,prison,1.0,
1,100.0,PROPERTY,release,prison,1.0,
9,,DRUG,pretrial,prison,1881.0,-5.0
8,,DRUG,pretrial,prison,1484.0,-4.0
7,,DRUG,pretrial,prison,998.0,-3.0
6,,DRUG,pretrial,prison,1081.0,-2.0
5,,DRUG,pretrial,prison,867.0,-1.0
4,,DRUG,pretrial,prison,744.0,0.0
3,,DRUG,pretrial,prison,764.0,1.0
2,,DRUG,pretrial,prison,722.0,2.0
1,,DRUG,pretrial,prison,754.0,3.0
9,,PROPERTY,pretrial,prison,482.0,-5.0
8,,PROPERTY,pretrial,prison,446.0,-4.0
7,,PROPERTY,pretrial,prison,368.0,-3.0
6,,PROPERTY,pretrial,prison,307.0,-2.0
5,,PROPERTY,pretrial,prison,262.0,-1.0
4,,PROPERTY,pretrial,prison,226.0,0.0
3,,PROPERTY,pretrial,prison,236.0,1.0
2,,PROPERTY,pretrial,prison,155.0,2.0
1,,PROPERTY,pretrial,prison,171.0,3.0
0,,PROPERTY,prison,,1836.0,-5.0
1,,PROPERTY,prison,,1706.0,-4.0
2,,PROPERTY,prison,,1665.0,-3.0
3,,PROPERTY,prison,,1557.0,-2.0
4,,PROPERTY,prison,,1419.0,-1.0
5,,PROPERTY,prison,,1276.0,0.0
6,,PROPERTY,prison,,1137.0,1.0
7,,PROPERTY,prison,,1048.0,2.0
8,,PROPERTY,prison,,904.0,3.0
9,,PROPERTY,prison,,817.0,4.0
10,,DRUG,prison,,3741.0,-5.0
11,,DRUG,prison,,3128.0,-4.0
12,,DRUG,prison,,2825.0,-3.0
13,,DRUG,prison,,2411.0,-2.0
14,,DRUG,prison,,2286.0,-1.0
15,,DRUG,prison,,2010.0,0.0
16,,DRUG,prison,,1749.0,1.0
17,,DRUG,prison,,1639.0,2.0
18,,DRUG,prison,,1541.0,3.0
19,,DRUG,prison,,1525.0,4.0
