compartment,outflow_to,placeholder_axis,time_step,total_population
pre-supervision,parole,x,0,2948
pre-supervision,parole,x,1,2948
pre-supervision,parole,x,2,2948
pre-supervision,parole,x,3,2948
pre-supervision,parole,x,4,2948
pre-supervision,parole,x,5,2948
pre-supervision,parole,x,6,2948
pre-supervision,parole,x,7,2948
pre-supervision,parole,x,8,2948
pre-supervision,parole,x,9,2948
pre-supervision,parole,x,10,2948
pre-supervision,parole,x,11,2948
pre-supervision,parole,x,12,2920
pre-supervision,parole,x,13,2920
pre-supervision,parole,x,14,2920
pre-supervision,parole,x,15,2920
pre-supervision,parole,x,16,2920
pre-supervision,parole,x,17,2920
pre-supervision,parole,x,18,2920
pre-supervision,parole,x,19,2920
pre-supervision,parole,x,20,2920
pre-supervision,parole,x,21,2920
pre-supervision,parole,x,22,2920
pre-supervision,parole,x,23,2920
pre-supervision,parole,x,24,3523
pre-supervision,parole,x,25,3523
pre-supervision,parole,x,26,3523
pre-supervision,parole,x,27,3523
pre-supervision,parole,x,28,3523
pre-supervision,parole,x,29,3523
pre-supervision,parole,x,30,3523
pre-supervision,parole,x,31,3523
pre-supervision,parole,x,32,3523
pre-supervision,parole,x,33,3523
pre-supervision,parole,x,34,3523
pre-supervision,parole,x,35,3523
pre-supervision,parole,x,36,3137
pre-supervision,parole,x,37,3137
pre-supervision,parole,x,38,3137
pre-supervision,parole,x,39,3137
pre-supervision,parole,x,40,3137
pre-supervision,parole,x,41,3137
pre-supervision,parole,x,42,3137
pre-supervision,parole,x,43,3137
pre-supervision,parole,x,44,3137
pre-supervision,parole,x,45,3137
pre-supervision,parole,x,46,3137
pre-supervision,parole,x,47,3137
pre-supervision,parole,x,48,3055
pre-supervision,parole,x,49,3055
pre-supervision,parole,x,50,3055
pre-supervision,parole,x,51,3055
pre-supervision,parole,x,52,3055
pre-supervision,parole,x,53,3055
pre-supervision,parole,x,54,3055
pre-supervision,parole,x,55,3055
pre-supervision,parole,x,56,3055
pre-supervision,parole,x,57,3055
pre-supervision,parole,x,58,3055
pre-supervision,parole,x,59,3055
pre-supervision,parole,x,60,3100
pre-supervision,parole,x,61,3100
pre-supervision,parole,x,62,3100
pre-supervision,parole,x,63,3100
pre-supervision,parole,x,64,3100
pre-supervision,parole,x,65,3100
pre-supervision,parole,x,66,3100
pre-supervision,parole,x,67,3100
pre-supervision,parole,x,68,3100
pre-supervision,parole,x,69,3100
pre-supervision,parole,x,70,3100
pre-supervision,parole,x,71,3100
pre-supervision,parole,x,72,3030
pre-supervision,parole,x,73,3030
pre-supervision,parole,x,74,3030
pre-supervision,parole,x,75,3030
pre-supervision,parole,x,76,3030
pre-supervision,parole,x,77,3030
pre-supervision,parole,x,78,3030
pre-supervision,parole,x,79,3030
pre-supervision,parole,x,80,3030
pre-supervision,parole,x,81,3030
pre-supervision,parole,x,82,3030
pre-supervision,parole,x,83,3030
pre-supervision,parole,x,84,2990
pre-supervision,parole,x,85,2990
pre-supervision,parole,x,86,2990
pre-supervision,parole,x,87,2990
pre-supervision,parole,x,88,2990
pre-supervision,parole,x,89,2990
pre-supervision,parole,x,90,2990
pre-supervision,parole,x,91,2990
pre-supervision,parole,x,92,2990
pre-supervision,parole,x,93,2990
pre-supervision,parole,x,94,2990
pre-supervision,parole,x,95,2990
pre-supervision,parole,x,96,2912
pre-supervision,parole,x,97,2912
pre-supervision,parole,x,98,2912
pre-supervision,parole,x,99,2912
pre-supervision,parole,x,100,2912
pre-supervision,parole,x,101,2912
pre-supervision,parole,x,102,2912
pre-supervision,parole,x,103,2912
pre-supervision,parole,x,104,2912
pre-supervision,parole,x,105,2912
pre-supervision,parole,x,106,2912
pre-supervision,parole,x,107,2912
pre-supervision,parole,x,108,3113
pre-supervision,parole,x,109,3113
pre-supervision,parole,x,110,3113
pre-supervision,parole,x,111,3113
pre-supervision,parole,x,112,3113
pre-supervision,parole,x,113,3113
pre-supervision,parole,x,114,3113
pre-supervision,parole,x,115,3113
pre-supervision,parole,x,116,3113
pre-supervision,parole,x,117,3113
pre-supervision,parole,x,118,3113
