compartment,placeholder_axis,time_step,total_population
parole,x,0,81101
parole,x,1,81101
parole,x,2,81101
parole,x,3,81101
parole,x,4,81101
parole,x,5,81101
parole,x,6,81101
parole,x,7,81101
parole,x,8,81101
parole,x,9,81101
parole,x,10,81101
parole,x,11,81101
parole,x,12,81547
parole,x,13,81547
parole,x,14,81547
parole,x,15,81547
parole,x,16,81547
parole,x,17,81547
parole,x,18,81547
parole,x,19,81547
parole,x,20,81547
parole,x,21,81547
parole,x,22,81547
parole,x,23,81547
parole,x,24,87131
parole,x,25,87131
parole,x,26,87131
parole,x,27,87131
parole,x,28,87131
parole,x,29,87131
parole,x,30,87131
parole,x,31,87131
parole,x,32,87131
parole,x,33,87131
parole,x,34,87131
parole,x,35,87131
parole,x,36,87829
parole,x,37,87829
parole,x,38,87829
parole,x,39,87829
parole,x,40,87829
parole,x,41,87829
parole,x,42,87829
parole,x,43,87829
parole,x,44,87829
parole,x,45,87829
parole,x,46,87829
parole,x,47,87829
parole,x,48,87455
parole,x,49,87455
parole,x,50,87455
parole,x,51,87455
parole,x,52,87455
parole,x,53,87455
parole,x,54,87455
parole,x,55,87455
parole,x,56,87455
parole,x,57,87455
parole,x,58,87455
parole,x,59,87455
parole,x,60,87986
parole,x,61,87986
parole,x,62,87986
parole,x,63,87986
parole,x,64,87986
parole,x,65,87986
parole,x,66,87986
parole,x,67,87986
parole,x,68,87986
parole,x,69,87986
parole,x,70,87986
parole,x,71,87986
parole,x,72,86616
parole,x,73,86616
parole,x,74,86616
parole,x,75,86616
parole,x,76,86616
parole,x,77,86616
parole,x,78,86616
parole,x,79,86616
parole,x,80,86616
parole,x,81,86616
parole,x,82,86616
parole,x,83,86616
parole,x,84,84838
parole,x,85,84838
parole,x,86,84838
parole,x,87,84838
parole,x,88,84838
parole,x,89,84838
parole,x,90,84838
parole,x,91,84838
parole,x,92,84838
parole,x,93,84838
parole,x,94,84838
parole,x,95,84838
parole,x,96,84495
parole,x,97,84495
parole,x,98,84495
parole,x,99,84495
parole,x,100,84495
parole,x,101,84495
parole,x,102,84495
parole,x,103,84495
parole,x,104,84495
parole,x,105,84495
parole,x,106,84495
parole,x,107,84495
parole,x,108,84246
parole,x,109,84246
parole,x,110,84246
parole,x,111,84246
parole,x,112,84246
parole,x,113,84246
parole,x,114,84246
parole,x,115,84246
parole,x,116,84246
parole,x,117,84246
parole,x,118,84246
parole,x,119,84246
probation,x,0,238951
probation,x,1,238951
probation,x,2,238951
probation,x,3,238951
probation,x,4,238951
probation,x,5,238951
probation,x,6,238951
probation,x,7,238951
probation,x,8,238951
probation,x,9,238951
probation,x,10,238951
probation,x,11,238951
probation,x,12,236478
probation,x,13,236478
probation,x,14,236478
probation,x,15,236478
probation,x,16,236478
probation,x,17,236478
probation,x,18,236478
probation,x,19,236478
probation,x,20,236478
probation,x,21,236478
probation,x,22,236478
probation,x,23,236478
probation,x,24,231376
probation,x,25,231376
probation,x,26,231376
probation,x,27,231376
probation,x,28,231376
probation,x,29,231376
probation,x,30,231376
probation,x,31,231376
probation,x,32,231376
probation,x,33,231376
probation,x,34,231376
probation,x,35,231376
probation,x,36,225843
probation,x,37,225843
probation,x,38,225843
probation,x,39,225843
probation,x,40,225843
probation,x,41,225843
probation,x,42,225843
probation,x,43,225843
probation,x,44,225843
probation,x,45,225843
probation,x,46,225843
probation,x,47,225843
probation,x,48,221600
probation,x,49,221600
probation,x,50,221600
probation,x,51,221600
probation,x,52,221600
probation,x,53,221600
probation,x,54,221600
probation,x,55,221600
probation,x,56,221600
probation,x,57,221600
probation,x,58,221600
probation,x,59,221600
probation,x,60,218052
probation,x,61,218052
probation,x,62,218052
probation,x,63,218052
probation,x,64,218052
probation,x,65,218052
probation,x,66,218052
probation,x,67,218052
probation,x,68,218052
probation,x,69,218052
probation,x,70,218052
probation,x,71,218052
probation,x,72,217958
probation,x,73,217958
probation,x,74,217958
probation,x,75,217958
probation,x,76,217958
probation,x,77,217958
probation,x,78,217958
probation,x,79,217958
probation,x,80,217958
probation,x,81,217958
probation,x,82,217958
probation,x,83,217958
probation,x,84,219407
probation,x,85,219407
probation,x,86,219407
probation,x,87,219407
probation,x,88,219407
probation,x,89,219407
probation,x,90,219407
probation,x,91,219407
probation,x,92,219407
probation,x,93,219407
probation,x,94,219407
probation,x,95,219407
probation,x,96,217862
probation,x,97,217862
probation,x,98,217862
probation,x,99,217862
probation,x,100,217862
probation,x,101,217862
probation,x,102,217862
probation,x,103,217862
probation,x,104,217862
probation,x,105,217862
probation,x,106,217862
probation,x,107,217862
probation,x,108,218836
probation,x,109,218836
probation,x,110,218836
probation,x,111,218836
probation,x,112,218836
probation,x,113,218836
probation,x,114,218836
probation,x,115,218836
probation,x,116,218836
probation,x,117,218836
probation,x,118,218836
probation,x,119,218836
prison_parole_revocations,x,0,10963
prison_parole_revocations,x,1,10963
prison_parole_revocations,x,2,10963
prison_parole_revocations,x,3,10963
prison_parole_revocations,x,4,10963
prison_parole_revocations,x,5,10963
prison_parole_revocations,x,6,10963
prison_parole_revocations,x,7,10963
prison_parole_revocations,x,8,10963
prison_parole_revocations,x,9,10963
prison_parole_revocations,x,10,10963
prison_parole_revocations,x,11,10963
prison_parole_revocations,x,12,10057
prison_parole_revocations,x,13,10057
prison_parole_revocations,x,14,10057
prison_parole_revocations,x,15,10057
prison_parole_revocations,x,16,10057
prison_parole_revocations,x,17,10057
prison_parole_revocations,x,18,10057
prison_parole_revocations,x,19,10057
prison_parole_revocations,x,20,10057
prison_parole_revocations,x,21,10057
prison_parole_revocations,x,22,10057
prison_parole_revocations,x,23,10057
prison_parole_revocations,x,24,8437
prison_parole_revocations,x,25,8437
prison_parole_revocations,x,26,8437
prison_parole_revocations,x,27,8437
prison_parole_revocations,x,28,8437
prison_parole_revocations,x,29,8437
prison_parole_revocations,x,30,8437
prison_parole_revocations,x,31,8437
prison_parole_revocations,x,32,8437
prison_parole_revocations,x,33,8437
prison_parole_revocations,x,34,8437
prison_parole_revocations,x,35,8437
prison_parole_revocations,x,36,7582
prison_parole_revocations,x,37,7582
prison_parole_revocations,x,38,7582
prison_parole_revocations,x,39,7582
prison_parole_revocations,x,40,7582
prison_parole_revocations,x,41,7582
prison_parole_revocations,x,42,7582
prison_parole_revocations,x,43,7582
prison_parole_revocations,x,44,7582
prison_parole_revocations,x,45,7582
prison_parole_revocations,x,46,7582
prison_parole_revocations,x,47,7582
prison_parole_revocations,x,48,7722
prison_parole_revocations,x,49,7722
prison_parole_revocations,x,50,7722
prison_parole_revocations,x,51,7722
prison_parole_revocations,x,52,7722
prison_parole_revocations,x,53,7722
prison_parole_revocations,x,54,7722
prison_parole_revocations,x,55,7722
prison_parole_revocations,x,56,7722
prison_parole_revocations,x,57,7722
prison_parole_revocations,x,58,7722
prison_parole_revocations,x,59,7722
prison_parole_revocations,x,60,7109
prison_parole_revocations,x,61,7109
prison_parole_revocations,x,62,7109
prison_parole_revocations,x,63,7109
prison_parole_revocations,x,64,7109
prison_parole_revocations,x,65,7109
prison_parole_revocations,x,66,7109
prison_parole_revocations,x,67,7109
prison_parole_revocations,x,68,7109
prison_parole_revocations,x,69,7109
prison_parole_revocations,x,70,7109
prison_parole_revocations,x,71,7109
prison_parole_revocations,x,72,7237
prison_parole_revocations,x,73,7237
prison_parole_revocations,x,74,7237
prison_parole_revocations,x,75,7237
prison_parole_revocations,x,76,7237
prison_parole_revocations,x,77,7237
prison_parole_revocations,x,78,7237
prison_parole_revocations,x,79,7237
prison_parole_revocations,x,80,7237
prison_parole_revocations,x,81,7237
prison_parole_revocations,x,82,7237
prison_parole_revocations,x,83,7237
prison_parole_revocations,x,84,7983
prison_parole_revocations,x,85,7983
prison_parole_revocations,x,86,7983
prison_parole_revocations,x,87,7983
prison_parole_revocations,x,88,7983
prison_parole_revocations,x,89,7983
prison_parole_revocations,x,90,7983
prison_parole_revocations,x,91,7983
prison_parole_revocations,x,92,7983
prison_parole_revocations,x,93,7983
prison_parole_revocations,x,94,7983
prison_parole_revocations,x,95,7983
prison_parole_revocations,x,96,8091
prison_parole_revocations,x,97,8091
prison_parole_revocations,x,98,8091
prison_parole_revocations,x,99,8091
prison_parole_revocations,x,100,8091
prison_parole_revocations,x,101,8091
prison_parole_revocations,x,102,8091
prison_parole_revocations,x,103,8091
prison_parole_revocations,x,104,8091
prison_parole_revocations,x,105,8091
prison_parole_revocations,x,106,8091
prison_parole_revocations,x,107,8091
prison_parole_revocations,x,108,7624
prison_parole_revocations,x,109,7624
prison_parole_revocations,x,110,7624
prison_parole_revocations,x,111,7624
prison_parole_revocations,x,112,7624
prison_parole_revocations,x,113,7624
prison_parole_revocations,x,114,7624
prison_parole_revocations,x,115,7624
prison_parole_revocations,x,116,7624
prison_parole_revocations,x,117,7624
prison_parole_revocations,x,118,7624
prison_parole_revocations,x,119,7624
