compartment,outflow_to,placeholder_axis,compartment_duration,total_population
parole,prison_parole_revocations,x,12,0.045
parole,prison_parole_revocations,x,24,0.086
parole,prison_parole_revocations,x,36,0.071
parole,release,x,28,0.798
probation,prison_probation_revocations,x,12,0.1
probation,prison_probation_revocations,x,24,0.111
probation,prison_probation_revocations,x,36,0.072
probation,release,x,49,0.717
prison_parole_revocations,parole,x,16,1
prison_probation_revocations,probation,x,16,1
release,release,x,960,1
