,offense_code,compartment,compartment_duration,total_population,outflow_to,offense_group,time_step
531,ASL1342,jail,0.027378507833333333,2,release,,
532,ASL1342,jail,0.08213552358333333,1,release,,
533,ASL1342,jail,0.08333333333333333,1,release,,
534,ASL1342,jail,0.16427104725,1,release,,
535,ASL1342,jail,0.16666666666666666,1,release,,
536,ASL1342,jail,0.1779603011666667,1,release,,
537,ASL1342,jail,0.3333333333333333,2,release,,
538,ASL1342,jail,0.4166666666666667,1,release,,
539,ASL1342,jail,0.5,241,release,,
540,ASL1342,prison,0.5,3,release,,
541,ASL1342,prison,0.50273785075,1,release,,
542,ASL1342,prison,0.5136892539166668,1,release,,
543,ASL1342,prison,0.5273785078333333,3,release,,
544,ASL1342,prison,0.55475701575,4,release,,
545,ASL1342,prison,0.5821355235833333,5,release,,
546,ASL1342,prison,0.5833333333333334,170,release,,
547,ASL1342,prison,0.5888090349166667,1,release,,
548,ASL1342,prison,0.59702258725,1,release,,
549,ASL1342,prison,0.6107118411666667,3,release,,
550,ASL1342,prison,0.61618754275,1,release,,
551,ASL1342,prison,0.6380903490833333,1,release,,
552,ASL1342,prison,0.6642710472500001,3,release,,
553,ASL1342,prison,0.6654688569166666,1,release,,
554,ASL1342,prison,0.6666666666666666,80,release,,
555,ASL1342,prison,0.7049965776666668,1,release,,
556,ASL1342,prison,0.75,54,release,,
557,ASL1342,prison,0.7773785078333333,1,release,,
558,ASL1342,prison,0.8285420944166666,1,release,,
559,ASL1342,prison,0.8309377139166667,1,release,,
560,ASL1342,prison,0.8333333333333334,57,release,,
561,ASL1342,prison,0.8607118408333333,1,release,,
562,ASL1342,prison,0.8744010950000001,1,release,,
563,ASL1342,prison,0.8868925391666668,1,release,,
564,ASL1342,prison,0.8880903491666667,1,release,,
565,ASL1342,prison,0.9106776183333332,1,release,,
566,ASL1342,prison,0.9166666666666666,21,release,,
567,ASL1342,prison,0.9714236825,1,release,,
568,ASL1342,prison,1.0,214,release,,
569,ASL1342,prison,1.0136892541666669,1,release,,
570,ASL1342,prison,1.0821355233333334,1,release,,
571,ASL1342,prison,1.0833333333333333,17,release,,
572,ASL1342,prison,1.1047227925,1,release,,
573,ASL1342,prison,1.1642710475,1,release,,
574,ASL1342,prison,1.1666666666666667,23,release,,
575,ASL1342,prison,1.194045174166667,1,release,,
576,ASL1342,prison,1.25,24,release,,
577,ASL1342,prison,1.273785078333333,1,release,,
578,ASL1342,prison,1.3333333333333333,14,release,,
579,ASL1342,prison,1.4166666666666667,8,release,,
580,ASL1342,prison,1.4291581108333336,1,release,,
581,ASL1342,prison,1.5,80,release,,
582,ASL1342,prison,1.5273785075,1,release,,
583,ASL1342,prison,1.5547570158333333,1,release,,
584,ASL1342,prison,1.5821355233333334,2,release,,
585,ASL1342,prison,1.5833333333333333,11,release,,
586,ASL1342,prison,1.6654688566666669,1,release,,
587,ASL1342,prison,1.6666666666666667,12,release,,
588,ASL1342,prison,1.694045174166667,1,release,,
589,ASL1342,prison,1.75,11,release,,
590,ASL1342,prison,1.8285420941666668,1,release,,
591,ASL1342,prison,1.8333333333333333,13,release,,
592,ASL1342,prison,1.9166666666666667,2,release,,
593,ASL1342,prison,2.0,87,release,,
594,ASL1342,prison,2.001026694166667,1,release,,
595,ASL1342,prison,2.0273785075,1,release,,
596,ASL1342,prison,2.0821355233333336,1,release,,
597,ASL1342,prison,2.083333333333333,1,release,,
598,ASL1342,prison,2.1642710475,1,release,,
599,ASL1342,prison,2.1666666666666665,5,release,,
600,ASL1342,prison,2.333333333333333,2,release,,
601,ASL1342,prison,2.495208760833333,1,release,,
602,ASL1342,prison,2.5,20,release,,
603,ASL1342,prison,2.583333333333333,4,release,,
604,ASL1342,prison,2.6666666666666665,2,release,,
605,ASL1342,prison,2.7773785075,1,release,,
606,ASL1342,prison,2.833333333333333,1,release,,
607,ASL1342,prison,2.9166666666666665,1,release,,
608,ASL1342,prison,3.0,31,release,,
609,ASL1342,prison,3.0547570158333333,1,release,,
610,ASL1342,prison,3.1380903491666667,1,release,,
611,ASL1342,prison,3.1666666666666665,2,release,,
612,ASL1342,prison,3.25,1,release,,
613,ASL1342,prison,3.333333333333333,2,release,,
614,ASL1342,prison,3.4166666666666665,2,release,,
615,ASL1342,prison,3.5,7,release,,
616,ASL1342,prison,3.6666666666666665,4,release,,
617,ASL1342,prison,3.75,1,release,,
618,ASL1342,prison,3.9166666666666665,1,release,,
619,ASL1342,prison,4.0,10,release,,
620,ASL1342,prison,4.25,3,release,,
621,ASL1342,prison,4.5,2,release,,
622,ASL1342,prison,4.75,1,release,,
623,ASL1342,prison,5.0,5,release,,
624,ASL1342,prison,5.5,1,release,,
625,ASL1342,prison,5.583333333333332,1,release,,
626,ASL1342,prison,6.0,3,release,,
627,ASL1342,prison,7.5,1,release,,
628,ASL1342,prison,10.0,1,release,,
1142,DWI5406,jail,0.2464065708333333,4,release,,
1143,DWI5406,jail,0.25,1,release,,
1144,DWI5406,jail,0.3333333333333333,1,release,,
1145,DWI5406,jail,0.4166666666666667,1,release,,
1146,DWI5406,jail,0.5,2,release,,
1147,DWI5406,prison,0.3333333333333333,1,release,,
1148,DWI5406,prison,1.0,55,release,,
1149,DWI5406,prison,1.0273785075,6,release,,
1150,DWI5406,prison,1.0833333333333333,5,release,,
1151,DWI5406,prison,1.1642710475,1,release,,
1152,DWI5406,prison,1.1666666666666667,7,release,,
1153,DWI5406,prison,1.25,5,release,,
1154,DWI5406,prison,1.3333333333333333,5,release,,
1155,DWI5406,prison,1.3607118408333332,1,release,,
1156,DWI5406,prison,1.4166666666666667,3,release,,
1157,DWI5406,prison,1.5,15,release,,
1158,DWI5406,prison,1.6107118408333332,1,release,,
1159,DWI5406,prison,1.6666666666666667,1,release,,
1160,DWI5406,prison,2.0,20,release,,
1161,DWI5406,prison,2.1666666666666665,2,release,,
1162,DWI5406,prison,2.25,2,release,,
1163,DWI5406,prison,2.333333333333333,1,release,,
1164,DWI5406,prison,2.5,8,release,,
1165,DWI5406,prison,3.0,8,release,,
1166,DWI5406,prison,3.25,1,release,,
1167,DWI5406,prison,3.5,1,release,,
1168,DWI5406,prison,4.0,1,release,,
1169,DWI5406,prison,6.0,1,release,,
1170,DWI5406,prison,9.0,1,release,,
1172,DWI5449,jail,0.027378507833333333,4,release,,
1173,DWI5449,jail,0.1095140315,1,release,,
1174,DWI5449,jail,0.22142368241666666,1,release,,
1175,DWI5449,jail,0.2464065708333333,227,release,,
1176,DWI5449,jail,0.25,84,release,,
1177,DWI5449,jail,0.26009582475000004,1,release,,
1178,DWI5449,jail,0.27378507875,10,release,,
1179,DWI5449,jail,0.2773785078333333,4,release,,
1180,DWI5449,jail,0.2910677618333333,2,release,,
1181,DWI5449,jail,0.29295003425000005,1,release,,
1182,DWI5449,jail,0.3011635865833333,4,release,,
1183,DWI5449,jail,0.30475701575,1,release,,
1184,DWI5449,jail,0.3148528405,1,release,,
1185,DWI5449,jail,0.32854209441666665,12,release,,
1186,DWI5449,jail,0.33213552358333337,1,release,,
1187,DWI5449,jail,0.3333333333333333,45,release,,
1188,DWI5449,jail,0.3559206023333334,2,release,,
1189,DWI5449,jail,0.3607118411666666,1,release,,
1190,DWI5449,jail,0.36960985625,2,release,,
1191,DWI5449,jail,0.3880903490833333,1,release,,
1192,DWI5449,jail,0.4106776180833333,4,release,,
1193,DWI5449,jail,0.4130732375,1,release,,
1194,DWI5449,jail,0.41427104725,1,release,,
1195,DWI5449,jail,0.4166666666666667,22,release,,
1196,DWI5449,jail,0.4577344285,1,release,,
1197,DWI5449,jail,0.4714236824166666,1,release,,
