,compartment,outflow_to,total_population,compartment_duration,crime_type,time_step
0,prison,release,1,1.7721518987341771,drug_possession,
1,release,prison,0.10666666666666667,1.0,drug_possession,
2,release,release,"year                 1.000000
drug_possession      0.893333
drug_distribution    0.766667
theft                0.946667
dtype: float64",80.0,drug_possession,
0,prison,release,1,4.578947368421052,drug_distribution,
1,release,prison,0.2333333333333333,1.0,drug_distribution,
2,release,release,"year                 1.000000
drug_possession      0.893333
drug_distribution    0.766667
theft                0.946667
dtype: float64",80.0,drug_distribution,
0,prison,release,1,2.011111111111111,theft,
1,release,prison,0.05333333333333334,1.0,theft,
2,release,release,"year                 1.000000
drug_possession      0.893333
drug_distribution    0.766667
theft                0.946667
dtype: float64",80.0,theft,
0,pre-trial,prison,55,,drug_possession,-2
1,pre-trial,prison,60,,drug_possession,-1
2,pre-trial,prison,60,,drug_possession,0
3,pre-trial,prison,62,,drug_possession,1
0,pre-trial,prison,4,,drug_distribution,-2
1,pre-trial,prison,5,,drug_distribution,-1
2,pre-trial,prison,5,,drug_distribution,0
3,pre-trial,prison,5,,drug_distribution,1
0,pre-trial,prison,21,,theft,-2
1,pre-trial,prison,22,,theft,-1
2,pre-trial,prison,23,,theft,0
3,pre-trial,prison,24,,theft,1
0,prison,,100,,drug_possession,-2
1,prison,,105,,drug_possession,-1
2,prison,,105,,drug_possession,0
3,prison,,110,,drug_possession,1
0,prison,,20,,drug_distribution,-2
1,prison,,22,,drug_distribution,-1
2,prison,,23,,drug_distribution,0
3,prison,,22,,drug_distribution,1
0,prison,,40,,theft,-2
1,prison,,44,,theft,-1
2,prison,,49,,theft,0
3,prison,,48,,theft,1
