statute_code,is_assaultive_misdemeanor,requires_so_registration,is_excluded_from_trs,is_excluded_from_parole_ed,is_excluded_from_probation_ed,is_owi_ouil
257.601D1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
257.625,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6251,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.62510,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.62510B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.62510C,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6251A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6251C,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6252A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6253A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6254,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6254A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6254B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6254B-A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6255,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6255A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6255B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6256,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6256A,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6256B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6256D,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6257A1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6257A2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6257B1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6257B2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6258,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6259(B),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6259B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.6259C,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.625B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.625M1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.625M4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.625M5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
257.626,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
257.6263,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
257.6264,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
257.6265B,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
257.626A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
257.626B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
257.626C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
257.9044,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
259.80F2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
28.422,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28.4229,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28.4229-A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28.422A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28.425B3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28.425J3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28.425K2A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.425K2B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.425O3B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.425O3C,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
28.43514C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.43614C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.729,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.7291A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.7291B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.7291C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.7292,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.7292B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.7292C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.7293,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28.7294,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
287.3233,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
287.3234,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
314.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
316.205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
324.401112,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
324.43513,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
324.73103,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
324.801761,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.801762,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.801763,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.801764,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.801765,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.801771B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.801771C,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.802081,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
324.802083A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
324.802083B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
324.81134,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.811342,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.811343,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.811345,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.811346,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.811347,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.811348,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
324.821273,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
