county_fips,geoid
01001,0500000US01001
01003,0500000US01003
01005,0500000US01005
01007,0500000US01007
01009,0500000US01009
01011,0500000US01011
01013,0500000US01013
01015,0500000US01015
01017,0500000US01017
01019,0500000US01019
01021,0500000US01021
01023,0500000US01023
01025,0500000US01025
01027,0500000US01027
01029,0500000US01029
01031,0500000US01031
01033,0500000US01033
01035,0500000US01035
01037,0500000US01037
01039,0500000US01039
01041,0500000US01041
01043,0500000US01043
01045,0500000US01045
01047,0500000US01047
01049,0500000US01049
01051,0500000US01051
01053,0500000US01053
01055,0500000US01055
01057,0500000US01057
01059,0500000US01059
01061,0500000US01061
01063,0500000US01063
01065,0500000US01065
01067,0500000US01067
01069,0500000US01069
01071,0500000US01071
01073,0500000US01073
01075,0500000US01075
01077,0500000US01077
01079,0500000US01079
01081,0500000US01081
01083,0500000US01083
01085,0500000US01085
01087,0500000US01087
01089,0500000US01089
01091,0500000US01091
01093,0500000US01093
01095,0500000US01095
01097,0500000US01097
01099,0500000US01099
01101,0500000US01101
01103,0500000US01103
01105,0500000US01105
01107,0500000US01107
01109,0500000US01109
01111,0500000US01111
01113,0500000US01113
01115,0500000US01115
01117,0500000US01117
01119,0500000US01119
01121,0500000US01121
01123,0500000US01123
01125,0500000US01125
01127,0500000US01127
01129,0500000US01129
01131,0500000US01131
01133,0500000US01133
02013,0500000US02013
02016,0500000US02016
02020,0500000US02020
02050,0500000US02050
02060,0500000US02060
02063,0500000US02063
02066,0500000US02066
02068,0500000US02068
02070,0500000US02070
02090,0500000US02090
02100,0500000US02100
02105,0500000US02105
02110,0500000US02110
02122,0500000US02122
02130,0500000US02130
02150,0500000US02150
02158,0500000US02158
02164,0500000US02164
02170,0500000US02170
02180,0500000US02180
02185,0500000US02185
02188,0500000US02188
02195,0500000US02195
02198,0500000US02198
02220,0500000US02220
02230,0500000US02230
02240,0500000US02240
02275,0500000US02275
02282,0500000US02282
02290,0500000US02290
04001,0500000US04001
04003,0500000US04003
04005,0500000US04005
04007,0500000US04007
04009,0500000US04009
04011,0500000US04011
04012,0500000US04012
04013,0500000US04013
04015,0500000US04015
04017,0500000US04017
04019,0500000US04019
04021,0500000US04021
04023,0500000US04023
04025,0500000US04025
04027,0500000US04027
05001,0500000US05001
05003,0500000US05003
05005,0500000US05005
05007,0500000US05007
05009,0500000US05009
05011,0500000US05011
05013,0500000US05013
05015,0500000US05015
05017,0500000US05017
05019,0500000US05019
05021,0500000US05021
05023,0500000US05023
05025,0500000US05025
05027,0500000US05027
05029,0500000US05029
05031,0500000US05031
05033,0500000US05033
05035,0500000US05035
05037,0500000US05037
05039,0500000US05039
05041,0500000US05041
05043,0500000US05043
05045,0500000US05045
05047,0500000US05047
05049,0500000US05049
05051,0500000US05051
05053,0500000US05053
05055,0500000US05055
05057,0500000US05057
05059,0500000US05059
05061,0500000US05061
05063,0500000US05063
05065,0500000US05065
05067,0500000US05067
05069,0500000US05069
05071,0500000US05071
05073,0500000US05073
05075,0500000US05075
05077,0500000US05077
05079,0500000US05079
05081,0500000US05081
05083,0500000US05083
05085,0500000US05085
05087,0500000US05087
05089,0500000US05089
05091,0500000US05091
05093,0500000US05093
05095,0500000US05095
05097,0500000US05097
05099,0500000US05099
05101,0500000US05101
05103,0500000US05103
05105,0500000US05105
05107,0500000US05107
05109,0500000US05109
05111,0500000US05111
05113,0500000US05113
05115,0500000US05115
05117,0500000US05117
05119,0500000US05119
05121,0500000US05121
05123,0500000US05123
05125,0500000US05125
05127,0500000US05127
05129,0500000US05129
05131,0500000US05131
05133,0500000US05133
05135,0500000US05135
05137,0500000US05137
05139,0500000US05139
05141,0500000US05141
05143,0500000US05143
05145,0500000US05145
05147,0500000US05147
05149,0500000US05149
06001,0500000US06001
06003,0500000US06003
06005,0500000US06005
06007,0500000US06007
06009,0500000US06009
06011,0500000US06011
06013,0500000US06013
06015,0500000US06015
06017,0500000US06017
06019,0500000US06019
06021,0500000US06021
06023,0500000US06023
06025,0500000US06025
06027,0500000US06027
06029,0500000US06029
06031,0500000US06031
06033,0500000US06033
06035,0500000US06035
06037,0500000US06037
06039,0500000US06039
06041,0500000US06041
06043,0500000US06043
06045,0500000US06045
06047,0500000US06047
06049,0500000US06049
06051,0500000US06051
06053,0500000US06053
06055,0500000US06055
06057,0500000US06057
06059,0500000US06059
06061,0500000US06061
06063,0500000US06063
06065,0500000US06065
06067,0500000US06067
06069,0500000US06069
06071,0500000US06071
06073,0500000US06073
06075,0500000US06075
06077,0500000US06077
06079,0500000US06079
06081,0500000US06081
06083,0500000US06083
06085,0500000US06085
06087,0500000US06087
06089,0500000US06089
06091,0500000US06091
06093,0500000US06093
06095,0500000US06095
06097,0500000US06097
06099,0500000US06099
06101,0500000US06101
06103,0500000US06103
06105,0500000US06105
06107,0500000US06107
06109,0500000US06109
06111,0500000US06111
06113,0500000US06113
06115,0500000US06115
08001,0500000US08001
08003,0500000US08003
08005,0500000US08005
08007,0500000US08007
08009,0500000US08009
08011,0500000US08011
08013,0500000US08013
08014,0500000US08014
08015,0500000US08015
08017,0500000US08017
08019,0500000US08019
08021,0500000US08021
08023,0500000US08023
08025,0500000US08025
08027,0500000US08027
08029,0500000US08029
08031,0500000US08031
08033,0500000US08033
08035,0500000US08035
08037,0500000US08037
08039,0500000US08039
08041,0500000US08041
08043,0500000US08043
08045,0500000US08045
08047,0500000US08047
08049,0500000US08049
08051,0500000US08051
08053,0500000US08053
08055,0500000US08055
08057,0500000US08057
08059,0500000US08059
08061,0500000US08061
08063,0500000US08063
08065,0500000US08065
08067,0500000US08067
08069,0500000US08069
08071,0500000US08071
08073,0500000US08073
08075,0500000US08075
08077,0500000US08077
08079,0500000US08079
08081,0500000US08081
08083,0500000US08083
08085,0500000US08085
08087,0500000US08087
08089,0500000US08089
08091,0500000US08091
08093,0500000US08093
08095,0500000US08095
08097,0500000US08097
08099,0500000US08099
08101,0500000US08101
08103,0500000US08103
08105,0500000US08105
08107,0500000US08107
08109,0500000US08109
08111,0500000US08111
08113,0500000US08113
08115,0500000US08115
08117,0500000US08117
08119,0500000US08119
08121,0500000US08121
08123,0500000US08123
08125,0500000US08125
09110,0500000US09110
09120,0500000US09120
09130,0500000US09130
09140,0500000US09140
09150,0500000US09150
09160,0500000US09160
09170,0500000US09170
09180,0500000US09180
09190,0500000US09190
10001,0500000US10001
10003,0500000US10003
10005,0500000US10005
11001,0500000US11001
12001,0500000US12001
12003,0500000US12003
12005,0500000US12005
12007,0500000US12007
12009,0500000US12009
12011,0500000US12011
12013,0500000US12013
12015,0500000US12015
12017,0500000US12017
12019,0500000US12019
12021,0500000US12021
12023,0500000US12023
12027,0500000US12027
12029,0500000US12029
12031,0500000US12031
12033,0500000US12033
12035,0500000US12035
12037,0500000US12037
12039,0500000US12039
12041,0500000US12041
12043,0500000US12043
12045,0500000US12045
12047,0500000US12047
12049,0500000US12049
12051,0500000US12051
12053,0500000US12053
12055,0500000US12055
12057,0500000US12057
12059,0500000US12059
12061,0500000US12061
12063,0500000US12063
12065,0500000US12065
12067,0500000US12067
12069,0500000US12069
12071,0500000US12071
12073,0500000US12073
12075,0500000US12075
12077,0500000US12077
12079,0500000US12079
12081,0500000US12081
12083,0500000US12083
12085,0500000US12085
12086,0500000US12086
12087,0500000US12087
12089,0500000US12089
12091,0500000US12091
12093,0500000US12093
12095,0500000US12095
12097,0500000US12097
12099,0500000US12099
12101,0500000US12101
12103,0500000US12103
12105,0500000US12105
12107,0500000US12107
12109,0500000US12109
12111,0500000US12111
12113,0500000US12113
12115,0500000US12115
12117,0500000US12117
12119,0500000US12119
12121,0500000US12121
12123,0500000US12123
12125,0500000US12125
12127,0500000US12127
12129,0500000US12129
12131,0500000US12131
12133,0500000US12133
13001,0500000US13001
13003,0500000US13003
13005,0500000US13005
13007,0500000US13007
13009,0500000US13009
13011,0500000US13011
13013,0500000US13013
13015,0500000US13015
13017,0500000US13017
13019,0500000US13019
13021,0500000US13021
13023,0500000US13023
13025,0500000US13025
13027,0500000US13027
13029,0500000US13029
13031,0500000US13031
13033,0500000US13033
13035,0500000US13035
13037,0500000US13037
13039,0500000US13039
13043,0500000US13043
13045,0500000US13045
13047,0500000US13047
13049,0500000US13049
13051,0500000US13051
13053,0500000US13053
13055,0500000US13055
13057,0500000US13057
13059,0500000US13059
13061,0500000US13061
13063,0500000US13063
13065,0500000US13065
13067,0500000US13067
13069,0500000US13069
13071,0500000US13071
13073,0500000US13073
13075,0500000US13075
13077,0500000US13077
13079,0500000US13079
13081,0500000US13081
13083,0500000US13083
13085,0500000US13085
13087,0500000US13087
13089,0500000US13089
13091,0500000US13091
13093,0500000US13093
13095,0500000US13095
13097,0500000US13097
13099,0500000US13099
13101,0500000US13101
13103,0500000US13103
13105,0500000US13105
13107,0500000US13107
13109,0500000US13109
13111,0500000US13111
13113,0500000US13113
13115,0500000US13115
13117,0500000US13117
13119,0500000US13119
13121,0500000US13121
13123,0500000US13123
13125,0500000US13125
13127,0500000US13127
13129,0500000US13129
13131,0500000US13131
13133,0500000US13133
13135,0500000US13135
13137,0500000US13137
13139,0500000US13139
13141,0500000US13141
13143,0500000US13143
13145,0500000US13145
13147,0500000US13147
13149,0500000US13149
13151,0500000US13151
13153,0500000US13153
13155,0500000US13155
13157,0500000US13157
13159,0500000US13159
13161,0500000US13161
13163,0500000US13163
13165,0500000US13165
13167,0500000US13167
13169,0500000US13169
13171,0500000US13171
13173,0500000US13173
13175,0500000US13175
13177,0500000US13177
13179,0500000US13179
13181,0500000US13181
13183,0500000US13183
13185,0500000US13185
13187,0500000US13187
13189,0500000US13189
13191,0500000US13191
13193,0500000US13193
13195,0500000US13195
13197,0500000US13197
13199,0500000US13199
13201,0500000US13201
13205,0500000US13205
13207,0500000US13207
13209,0500000US13209
13211,0500000US13211
13213,0500000US13213
13215,0500000US13215
13217,0500000US13217
13219,0500000US13219
13221,0500000US13221
13223,0500000US13223
13225,0500000US13225
13227,0500000US13227
13229,0500000US13229
13231,0500000US13231
13233,0500000US13233
13235,0500000US13235
13237,0500000US13237
13239,0500000US13239
13241,0500000US13241
13243,0500000US13243
13245,0500000US13245
13247,0500000US13247
13249,0500000US13249
13251,0500000US13251
13253,0500000US13253
13255,0500000US13255
13257,0500000US13257
13259,0500000US13259
13261,0500000US13261
13263,0500000US13263
13265,0500000US13265
13267,0500000US13267
13269,0500000US13269
13271,0500000US13271
13273,0500000US13273
13275,0500000US13275
13277,0500000US13277
13279,0500000US13279
13281,0500000US13281
13283,0500000US13283
13285,0500000US13285
13287,0500000US13287
13289,0500000US13289
13291,0500000US13291
13293,0500000US13293
13295,0500000US13295
13297,0500000US13297
13299,0500000US13299
13301,0500000US13301
13303,0500000US13303
13305,0500000US13305
13307,0500000US13307
13309,0500000US13309
13311,0500000US13311
13313,0500000US13313
13315,0500000US13315
13317,0500000US13317
13319,0500000US13319
13321,0500000US13321
15001,0500000US15001
15003,0500000US15003
15005,0500000US15005
15007,0500000US15007
15009,0500000US15009
16001,0500000US16001
16003,0500000US16003
16005,0500000US16005
16007,0500000US16007
16009,0500000US16009
16011,0500000US16011
16013,0500000US16013
16015,0500000US16015
16017,0500000US16017
16019,0500000US16019
16021,0500000US16021
16023,0500000US16023
16025,0500000US16025
16027,0500000US16027
16029,0500000US16029
16031,0500000US16031
16033,0500000US16033
16035,0500000US16035
16037,0500000US16037
16039,0500000US16039
16041,0500000US16041
16043,0500000US16043
16045,0500000US16045
16047,0500000US16047
16049,0500000US16049
16051,0500000US16051
16053,0500000US16053
16055,0500000US16055
16057,0500000US16057
16059,0500000US16059
16061,0500000US16061
16063,0500000US16063
16065,0500000US16065
16067,0500000US16067
16069,0500000US16069
16071,0500000US16071
16073,0500000US16073
16075,0500000US16075
16077,0500000US16077
16079,0500000US16079
16081,0500000US16081
16083,0500000US16083
16085,0500000US16085
16087,0500000US16087
17001,0500000US17001
17003,0500000US17003
17005,0500000US17005
17007,0500000US17007
17009,0500000US17009
17011,0500000US17011
17013,0500000US17013
17015,0500000US17015
17017,0500000US17017
17019,0500000US17019
17021,0500000US17021
17023,0500000US17023
17025,0500000US17025
17027,0500000US17027
17029,0500000US17029
17031,0500000US17031
17033,0500000US17033
17035,0500000US17035
17037,0500000US17037
17039,0500000US17039
17041,0500000US17041
17043,0500000US17043
17045,0500000US17045
17047,0500000US17047
17049,0500000US17049
17051,0500000US17051
17053,0500000US17053
17055,0500000US17055
17057,0500000US17057
17059,0500000US17059
17061,0500000US17061
17063,0500000US17063
17065,0500000US17065
17067,0500000US17067
17069,0500000US17069
17071,0500000US17071
17073,0500000US17073
17075,0500000US17075
17077,0500000US17077
17079,0500000US17079
17081,0500000US17081
17083,0500000US17083
17085,0500000US17085
17087,0500000US17087
17089,0500000US17089
17091,0500000US17091
17093,0500000US17093
17095,0500000US17095
17097,0500000US17097
17099,0500000US17099
17101,0500000US17101
17103,0500000US17103
17105,0500000US17105
17107,0500000US17107
17109,0500000US17109
17111,0500000US17111
17113,0500000US17113
17115,0500000US17115
17117,0500000US17117
17119,0500000US17119
17121,0500000US17121
17123,0500000US17123
17125,0500000US17125
17127,0500000US17127
17129,0500000US17129
17131,0500000US17131
17133,0500000US17133
17135,0500000US17135
17137,0500000US17137
17139,0500000US17139
17141,0500000US17141
17143,0500000US17143
17145,0500000US17145
17147,0500000US17147
17149,0500000US17149
17151,0500000US17151
17153,0500000US17153
17155,0500000US17155
17157,0500000US17157
17159,0500000US17159
17161,0500000US17161
17163,0500000US17163
17165,0500000US17165
17167,0500000US17167
17169,0500000US17169
17171,0500000US17171
17173,0500000US17173
17175,0500000US17175
17177,0500000US17177
17179,0500000US17179
17181,0500000US17181
17183,0500000US17183
17185,0500000US17185
17187,0500000US17187
17189,0500000US17189
17191,0500000US17191
17193,0500000US17193
17195,0500000US17195
17197,0500000US17197
17199,0500000US17199
17201,0500000US17201
17203,0500000US17203
18001,0500000US18001
18003,0500000US18003
18005,0500000US18005
18007,0500000US18007
18009,0500000US18009
18011,0500000US18011
18013,0500000US18013
18015,0500000US18015
18017,0500000US18017
18019,0500000US18019
18021,0500000US18021
18023,0500000US18023
18025,0500000US18025
18027,0500000US18027
18029,0500000US18029
18031,0500000US18031
18033,0500000US18033
18035,0500000US18035
18037,0500000US18037
18039,0500000US18039
18041,0500000US18041
18043,0500000US18043
18045,0500000US18045
18047,0500000US18047
18049,0500000US18049
18051,0500000US18051
18053,0500000US18053
18055,0500000US18055
18057,0500000US18057
18059,0500000US18059
18061,0500000US18061
18063,0500000US18063
18065,0500000US18065
18067,0500000US18067
18069,0500000US18069
18071,0500000US18071
18073,0500000US18073
18075,0500000US18075
18077,0500000US18077
18079,0500000US18079
18081,0500000US18081
18083,0500000US18083
18085,0500000US18085
18087,0500000US18087
18089,0500000US18089
18091,0500000US18091
18093,0500000US18093
18095,0500000US18095
18097,0500000US18097
18099,0500000US18099
18101,0500000US18101
18103,0500000US18103
18105,0500000US18105
18107,0500000US18107
18109,0500000US18109
18111,0500000US18111
18113,0500000US18113
18115,0500000US18115
18117,0500000US18117
18119,0500000US18119
18121,0500000US18121
18123,0500000US18123
18125,0500000US18125
18127,0500000US18127
18129,0500000US18129
18131,0500000US18131
18133,0500000US18133
18135,0500000US18135
18137,0500000US18137
18139,0500000US18139
18141,0500000US18141
18143,0500000US18143
18145,0500000US18145
18147,0500000US18147
18149,0500000US18149
18151,0500000US18151
18153,0500000US18153
18155,0500000US18155
18157,0500000US18157
18159,0500000US18159
18161,0500000US18161
18163,0500000US18163
18165,0500000US18165
18167,0500000US18167
18169,0500000US18169
18171,0500000US18171
18173,0500000US18173
18175,0500000US18175
18177,0500000US18177
18179,0500000US18179
18181,0500000US18181
18183,0500000US18183
19001,0500000US19001
19003,0500000US19003
19005,0500000US19005
19007,0500000US19007
19009,0500000US19009
19011,0500000US19011
19013,0500000US19013
19015,0500000US19015
19017,0500000US19017
19019,0500000US19019
19021,0500000US19021
19023,0500000US19023
19025,0500000US19025
19027,0500000US19027
19029,0500000US19029
19031,0500000US19031
19033,0500000US19033
19035,0500000US19035
19037,0500000US19037
19039,0500000US19039
19041,0500000US19041
19043,0500000US19043
19045,0500000US19045
19047,0500000US19047
19049,0500000US19049
19051,0500000US19051
19053,0500000US19053
19055,0500000US19055
19057,0500000US19057
19059,0500000US19059
19061,0500000US19061
19063,0500000US19063
19065,0500000US19065
19067,0500000US19067
19069,0500000US19069
19071,0500000US19071
19073,0500000US19073
19075,0500000US19075
19077,0500000US19077
19079,0500000US19079
19081,0500000US19081
19083,0500000US19083
19085,0500000US19085
19087,0500000US19087
19089,0500000US19089
19091,0500000US19091
19093,0500000US19093
19095,0500000US19095
19097,0500000US19097
19099,0500000US19099
19101,0500000US19101
19103,0500000US19103
19105,0500000US19105
19107,0500000US19107
19109,0500000US19109
19111,0500000US19111
19113,0500000US19113
19115,0500000US19115
19117,0500000US19117
19119,0500000US19119
19121,0500000US19121
19123,0500000US19123
19125,0500000US19125
19127,0500000US19127
19129,0500000US19129
19131,0500000US19131
19133,0500000US19133
19135,0500000US19135
19137,0500000US19137
19139,0500000US19139
19141,0500000US19141
19143,0500000US19143
