county_sub_fips,geoid
0100190171,0600000US0100190171
0100190315,0600000US0100190315
0100192106,0600000US0100192106
0100192628,0600000US0100192628
0100390207,0600000US0100390207
0100390846,0600000US0100390846
0100390963,0600000US0100390963
0100391053,0600000US0100391053
0100391152,0600000US0100391152
0100392754,0600000US0100392754
0100393024,0600000US0100393024
0100393042,0600000US0100393042
0100590189,0600000US0100590189
0100590630,0600000US0100590630
0100590648,0600000US0100590648
0100591017,0600000US0100591017
0100591989,0600000US0100591989
0100790531,0600000US0100790531
0100792601,0600000US0100792601
0100793438,0600000US0100793438
0100990333,0600000US0100990333
0100990414,0600000US0100990414
0100990612,0600000US0100990612
0100990639,0600000US0100990639
0100991557,0600000US0100991557
0100991953,0600000US0100991953
0100992439,0600000US0100992439
0101191098,0600000US0101191098
0101191701,0600000US0101191701
0101192133,0600000US0101192133
0101193249,0600000US0101193249
0101390540,0600000US0101390540
0101391170,0600000US0101391170
0101391314,0600000US0101391314
0101391422,0600000US0101391422
0101590066,0600000US0101590066
0101590099,0600000US0101590099
0101590585,0600000US0101590585
0101591746,0600000US0101591746
0101592430,0600000US0101592430
0101592556,0600000US0101592556
0101791107,0600000US0101791107
0101791818,0600000US0101791818
0101791827,0600000US0101791827
0101792169,0600000US0101792169
0101793272,0600000US0101793272
0101793393,0600000US0101793393
0101990513,0600000US0101990513
0101990522,0600000US0101990522
0101991854,0600000US0101991854
0101992983,0600000US0101992983
0102190603,0600000US0102190603
0102191710,0600000US0102191710
0102191764,0600000US0102191764
0102192097,0600000US0102192097
0102192178,0600000US0102192178
0102193285,0600000US0102193285
0102390441,0600000US0102390441
0102391332,0600000US0102391332
0102391908,0600000US0102391908
0102392925,0600000US0102392925
0102590675,0600000US0102590675
0102591260,0600000US0102591260
0102591440,0600000US0102591440
0102591726,0600000US0102591726
0102593132,0600000US0102593132
0102593362,0600000US0102593362
0102790126,0600000US0102790126
0102791899,0600000US0102791899
0102792142,0600000US0102792142
0102991251,0600000US0102991251
0102991593,0600000US0102991593
0102992682,0600000US0102992682
0103190954,0600000US0103190954
0103190999,0600000US0103190999
0103191341,0600000US0103191341
0103191719,0600000US0103191719
0103191800,0600000US0103191800
0103193303,0600000US0103193303
0103390567,0600000US0103390567
0103391863,0600000US0103391863
0103391926,0600000US0103391926
0103393186,0600000US0103393186
0103590504,0600000US0103590504
0103591044,0600000US0103591044
0103592016,0600000US0103592016
0103592718,0600000US0103592718
0103592916,0600000US0103592916
0103791350,0600000US0103791350
0103792763,0600000US0103792763
0103793429,0600000US0103793429
0103990090,0600000US0103990090
0103991062,0600000US0103991062
0103991134,0600000US0103991134
0103992448,0600000US0103992448
0103992781,0600000US0103992781
0104190360,0600000US0104190360
0104192007,0600000US0104192007
0104192529,0600000US0104192529
0104390180,0600000US0104390180
0104390369,0600000US0104390369
0104390774,0600000US0104390774
0104390810,0600000US0104390810
0104391521,0600000US0104391521
0104391647,0600000US0104391647
0104391773,0600000US0104391773
0104391962,0600000US0104391962
0104392934,0600000US0104392934
0104393330,0600000US0104393330
0104393420,0600000US0104393420
0104590828,0600000US0104590828
0104590936,0600000US0104590936
0104591215,0600000US0104591215
0104592376,0600000US0104592376
0104592466,0600000US0104592466
0104790486,0600000US0104790486
0104792457,0600000US0104792457
0104792808,0600000US0104792808
0104792844,0600000US0104792844
0104792880,0600000US0104792880
0104792883,0600000US0104792883
0104990693,0600000US0104990693
0104990792,0600000US0104990792
0104991206,0600000US0104991206
0104991269,0600000US0104991269
0104991323,0600000US0104991323
0104991611,0600000US0104991611
0104991692,0600000US0104991692
0104992655,0600000US0104992655
0104993276,0600000US0104993276
0105190855,0600000US0105190855
0105190945,0600000US0105190945
0105190972,0600000US0105190972
0105193087,0600000US0105193087
0105193141,0600000US0105193141
0105193456,0600000US0105193456
0105390153,0600000US0105390153
0105390378,0600000US0105390378
0105390927,0600000US0105390927
0105391125,0600000US0105391125
0105392034,0600000US0105392034
0105590081,0600000US0105590081
0105591278,0600000US0105591278
0105591638,0600000US0105591638
0105591980,0600000US0105591980
0105592268,0600000US0105592268
0105593213,0600000US0105593213
0105593465,0600000US0105593465
0105790279,0600000US0105790279
0105791089,0600000US0105791089
0105792380,0600000US0105792380
0105793495,0600000US0105793495
0105992547,0600000US0105992547
0105992691,0600000US0105992691
0105992799,0600000US0105992799
0105993312,0600000US0105993312
0106190252,0600000US0106190252
0106191305,0600000US0106191305
0106191530,0600000US0106191530
0106192835,0600000US0106192835
0106192952,0600000US0106192952
0106390342,0600000US0106390342
0106391026,0600000US0106391026
0106391179,0600000US0106391179
0106392088,0600000US0106392088
0106591413,0600000US0106591413
0106591414,0600000US0106591414
0106591415,0600000US0106591415
0106592259,0600000US0106592259
0106592345,0600000US0106592345
0106592853,0600000US0106592853
0106593015,0600000US0106593015
0106790009,0600000US0106790009
0106791485,0600000US0106791485
0106791584,0600000US0106791584
0106792907,0600000US0106792907
0106990702,0600000US0106990702
0106990747,0600000US0106990747
0106990900,0600000US0106990900
0106991368,0600000US0106991368
0106992070,0600000US0106992070
0107190387,0600000US0107190387
0107191971,0600000US0107191971
0107192475,0600000US0107192475
0107192610,0600000US0107192610
0107192637,0600000US0107192637
0107192862,0600000US0107192862
0107192871,0600000US0107192871
0107193006,0600000US0107193006
0107390324,0600000US0107390324
0107390405,0600000US0107390405
0107390621,0600000US0107390621
0107390722,0600000US0107390722
0107391296,0600000US0107391296
0107391404,0600000US0107391404
0107391431,0600000US0107391431
0107391656,0600000US0107391656
0107391791,0600000US0107391791
0107391845,0600000US0107391845
0107392124,0600000US0107392124
0107392385,0600000US0107392385
0107392484,0600000US0107392484
0107392745,0600000US0107392745
0107393204,0600000US0107393204
0107393366,0600000US0107393366
0107393447,0600000US0107393447
0107592151,0600000US0107592151
0107593033,0600000US0107593033
0107593294,0600000US0107593294
0107790657,0600000US0107790657
0107791143,0600000US0107791143
0107791782,0600000US0107791782
0107791872,0600000US0107791872
0107792412,0600000US0107792412
0107792772,0600000US0107792772
0107793384,0600000US0107793384
0107991548,0600000US0107991548
0107991629,0600000US0107991629
0107992241,0600000US0107992241
0107992250,0600000US0107992250
0107992286,0600000US0107992286
0107992979,0600000US0107992979
0107993159,0600000US0107993159
0108190162,0600000US0108190162
0108190243,0600000US0108190243
0108190288,0600000US0108190288
0108191944,0600000US0108191944
0108192962,0600000US0108192962
0108390144,0600000US0108390144
0108392232,0600000US0108392232
0108392817,0600000US0108392817
0108590270,0600000US0108590270
0108591197,0600000US0108591197
0108591566,0600000US0108591566
0108591998,0600000US0108591998
0108592245,0600000US0108592245
0108791188,0600000US0108791188
0108791917,0600000US0108791917
0108792403,0600000US0108792403
0108792898,0600000US0108792898
0108793230,0600000US0108793230
0108793376,0600000US0108793376
0108991467,0600000US0108991467
0108991575,0600000US0108991575
0108991674,0600000US0108991674
0108992052,0600000US0108992052
0108992061,0600000US0108992061
0108992349,0600000US0108992349
0108992358,0600000US0108992358
0108992695,0600000US0108992695
0108993176,0600000US0108993176
0109190873,0600000US0109190873
0109190882,0600000US0109190882
0109191080,0600000US0109191080
0109191890,0600000US0109191890
0109193051,0600000US0109193051
0109193123,0600000US0109193123
0109390225,0600000US0109390225
0109390297,0600000US0109390297
0109390396,0600000US0109390396
0109391449,0600000US0109391449
0109391476,0600000US0109391476
0109391512,0600000US0109391512
0109393492,0600000US0109393492
0109590054,0600000US0109590054
0109590108,0600000US0109590108
0109590918,0600000US0109590918
0109591395,0600000US0109591395
0109591458,0600000US0109591458
0109593150,0600000US0109593150
0109593240,0600000US0109593240
0109790216,0600000US0109790216
0109790594,0600000US0109790594
0109791386,0600000US0109791386
0109792187,0600000US0109792187
0109792304,0600000US0109792304
0109792889,0600000US0109792889
0109793105,0600000US0109793105
0109793114,0600000US0109793114
0109990234,0600000US0109990234
0109991233,0600000US0109991233
0109992196,0600000US0109992196
0109992520,0600000US0109992520
0109993267,0600000US0109993267
0109993339,0600000US0109993339
0110191665,0600000US0110191665
0110192214,0600000US0110192214
0110192295,0600000US0110192295
0110192565,0600000US0110192565
0110192592,0600000US0110192592
0110192673,0600000US0110192673
0110390837,0600000US0110390837
0110390864,0600000US0110390864
0110391035,0600000US0110391035
0110391071,0600000US0110391071
0110391539,0600000US0110391539
0110391809,0600000US0110391809
0110392970,0600000US0110392970
0110591503,0600000US0110591503
0110591602,0600000US0110591602
0110592115,0600000US0110592115
0110592997,0600000US0110592997
0110593258,0600000US0110593258
0110790072,0600000US0110790072
0110790495,0600000US0110790495
0110791008,0600000US0110791008
0110791359,0600000US0110791359
0110792700,0600000US0110792700
0110990198,0600000US0110990198
0110990432,0600000US0110990432
0110991377,0600000US0110991377
0110991620,0600000US0110991620
0110992340,0600000US0110992340
0110993195,0600000US0110993195
0111191161,0600000US0111191161
0111192736,0600000US0111192736
0111193348,0600000US0111193348
0111193411,0600000US0111193411
0111193501,0600000US0111193501
0111390738,0600000US0111390738
0111390783,0600000US0111390783
0111391683,0600000US0111391683
0111392538,0600000US0111392538
0111590135,0600000US0111590135
0111592223,0600000US0111592223
0111592511,0600000US0111592511
0111592646,0600000US0111592646
0111592988,0600000US0111592988
0111790036,0600000US0111790036
0111790450,0600000US0111790450
0111790558,0600000US0111790558
0111790711,0600000US0111790711
0111792205,0600000US0111792205
0111793321,0600000US0111793321
0111793474,0600000US0111793474
0111990261,0600000US0111990261
0111990801,0600000US0111990801
0111991287,0600000US0111991287
0111991935,0600000US0111991935
0111992493,0600000US0111992493
0111993510,0600000US0111993510
0112190576,0600000US0112190576
0112191879,0600000US0112191879
0112192322,0600000US0112192322
0112192709,0600000US0112192709
0112193060,0600000US0112193060
0112193069,0600000US0112193069
0112193078,0600000US0112193078
0112390063,0600000US0112390063
0112390468,0600000US0112390468
0112390819,0600000US0112390819
0112392367,0600000US0112392367
0112393096,0600000US0112393096
0112590018,0600000US0112590018
0112590306,0600000US0112590306
0112590423,0600000US0112590423
0112590666,0600000US0112590666
0112590684,0600000US0112590684
0112590981,0600000US0112590981
0112591224,0600000US0112591224
0112592389,0600000US0112592389
0112592826,0600000US0112592826
0112593222,0600000US0112593222
0112593483,0600000US0112593483
0112790477,0600000US0112790477
0112790729,0600000US0112790729
0112790891,0600000US0112790891
0112790990,0600000US0112790990
0112791755,0600000US0112791755
0112792079,0600000US0112792079
0112792331,0600000US0112792331
0112792421,0600000US0112792421
0112792502,0600000US0112792502
0112792642,0600000US0112792642
0112792943,0600000US0112792943
0112793168,0600000US0112793168
0112990549,0600000US0112990549
0112991242,0600000US0112991242
0112992043,0600000US0112992043
0112992160,0600000US0112992160
0112993357,0600000US0112993357
0113190045,0600000US0113190045
0113190459,0600000US0113190459
0113190756,0600000US0113190756
0113192574,0600000US0113192574
0113192583,0600000US0113192583
0113390027,0600000US0113390027
0113390909,0600000US0113390909
0113391494,0600000US0113391494
0113392025,0600000US0113392025
0201301598,0600000US0201301598
0201601615,0600000US0201601615
0202003050,0600000US0202003050
0205003580,0600000US0205003580
0205045510,0600000US0205045510
0206009050,0600000US0206009050
0206314420,0600000US0206314420
0206617350,0600000US0206617350
0206818765,0600000US0206818765
0207019000,0600000US0207019000
0209024450,0600000US0209024450
0210031160,0600000US0210031160
0210533390,0600000US0210533390
0210540560,0600000US0210540560
0211036450,0600000US0211036450
0212238460,0600000US0212238460
0212268610,0600000US0212268610
0213039010,0600000US0213039010
0215041200,0600000US0215041200
0215842185,0600000US0215842185
0216442780,0600000US0216442780
0217047440,0600000US0217047440
0218054970,0600000US0218054970
0218555970,0600000US0218555970
0218856270,0600000US0218856270
0219560360,0600000US0219560360
0219834575,0600000US0219834575
0219848873,0600000US0219848873
0219864310,0600000US0219864310
0222070590,0600000US0222070590
0223070810,0600000US0223070810
0224072030,0600000US0224072030
0227586420,0600000US0227586420
0228286498,0600000US0228286498
0229042080,0600000US0229042080
0229046060,0600000US0229046060
0229086690,0600000US0229086690
0400190612,0600000US0400190612
0400190918,0600000US0400190918
0400191071,0600000US0400191071
0400191275,0600000US0400191275
0400191326,0600000US0400191326
0400192805,0600000US0400192805
0400192958,0600000US0400192958
0400193315,0600000US0400193315
0400390255,0600000US0400390255
0400390306,0600000US0400390306
0400390408,0600000US0400390408
0400390969,0600000US0400390969
0400391122,0600000US0400391122
0400393182,0600000US0400393182
0400393825,0600000US0400393825
0400591198,0600000US0400591198
0400591530,0600000US0400591530
0400591581,0600000US0400591581
0400591683,0600000US0400591683
0400591838,0600000US0400591838
0400593519,0600000US0400593519
0400593876,0600000US0400593876
0400791277,0600000US0400791277
0400791495,0600000US0400791495
0400792570,0600000US0400792570
0400793109,0600000US0400793109
0400793470,0600000US0400793470
0400793927,0600000US0400793927
0400990357,0600000US0400990357
0400992652,0600000US0400992652
0400992907,0600000US0400992907
0400993111,0600000US0400993111
0401190663,0600000US0401190663
0401191020,0600000US0401191020
0401292480,0600000US0401292480
0401390459,0600000US0401390459
0401390561,0600000US0401390561
0401390867,0600000US0401390867
0401391377,0600000US0401391377
0401392601,0600000US0401392601
0401393009,0600000US0401393009
0401393060,0600000US0401393060
0401393472,0600000US0401393472
0401393774,0600000US0401393774
0401590470,0600000US0401590470
0401591885,0600000US0401591885
0401591964,0600000US0401591964
0401592340,0600000US0401592340
0401791279,0600000US0401791279
0401791632,0600000US0401791632
0401791785,0600000US0401791785
0401791860,0600000US0401791860
0401792703,0600000US0401792703
0401793213,0600000US0401793213
0401793952,0600000US0401793952
0401990051,0600000US0401990051
0401990153,0600000US0401990153
0401992040,0600000US0401992040
0401993375,0600000US0401993375
0401993570,0600000US0401993570
0402190510,0600000US0402190510
0402190816,0600000US0402190816
0402191173,0600000US0402191173
0402191224,0600000US0402191224
0402191428,0600000US0402191428
0402192091,0600000US0402192091
0402192346,0600000US0402192346
0402193162,0600000US0402193162
0402193377,0600000US0402193377
0402392295,0600000US0402392295
0402392550,0600000US0402392550
0402590204,0600000US0402590204
0402590484,0600000US0402590484
0402590765,0600000US0402590765
0402590840,0600000US0402590840
0402592193,0600000US0402592193
0402592754,0600000US0402592754
0402793264,0600000US0402793264
0402793672,0600000US0402793672
0402793978,0600000US0402793978
0500190060,0600000US0500190060
0500190138,0600000US0500190138
0500190168,0600000US0500190168
0500190462,0600000US0500190462
0500190774,0600000US0500190774
0500190963,0600000US0500190963
0500191425,0600000US0500191425
0500191563,0600000US0500191563
0500191668,0600000US0500191668
0500192010,0600000US0500192010
0500192085,0600000US0500192085
0500192307,0600000US0500192307
0500192466,0600000US0500192466
0500192574,0600000US0500192574
0500192937,0600000US0500192937
0500192973,0600000US0500192973
0500193483,0600000US0500193483
0500390102,0600000US0500390102
0500390162,0600000US0500390162
0500390183,0600000US0500390183
0500390210,0600000US0500390210
0500390687,0600000US0500390687
0500391044,0600000US0500391044
0500391212,0600000US0500391212
0500391239,0600000US0500391239
0500391263,0600000US0500391263
0500392277,0600000US0500392277
0500392365,0600000US0500392365
0500392469,0600000US0500392469
0500392541,0600000US0500392541
0500392964,0600000US0500392964
0500392976,0600000US0500392976
0500393666,0600000US0500393666
0500393987,0600000US0500393987
0500394077,0600000US0500394077
0500590165,0600000US0500590165
0500590288,0600000US0500590288
0500590525,0600000US0500590525
0500590540,0600000US0500590540
0500591524,0600000US0500591524
0500591548,0600000US0500591548
0500591818,0600000US0500591818
0500592247,0600000US0500592247
0500592265,0600000US0500592265
0500592424,0600000US0500592424
0500592460,0600000US0500592460
0500592616,0600000US0500592616
0500592709,0600000US0500592709
0500592877,0600000US0500592877
0500593669,0600000US0500593669
0500594035,0600000US0500594035
0500793622,0600000US0500793622
0500793625,0600000US0500793625
0500793628,0600000US0500793628
0500793631,0600000US0500793631
0500793634,0600000US0500793634
0500793636,0600000US0500793636
0500793638,0600000US0500793638
0500793640,0600000US0500793640
0500793642,0600000US0500793642
0500793644,0600000US0500793644
0500793645,0600000US0500793645
0500793646,0600000US0500793646
0500793647,0600000US0500793647
0500990144,0600000US0500990144
0500990219,0600000US0500990219
0500990375,0600000US0500990375
0500990507,0600000US0500990507
0500990678,0600000US0500990678
0500991224,0600000US0500991224
0500991260,0600000US0500991260
0500991404,0600000US0500991404
0500991848,0600000US0500991848
0500991914,0600000US0500991914
0500992133,0600000US0500992133
0500992268,0600000US0500992268
0500992715,0600000US0500992715
0500992757,0600000US0500992757
0500992760,0600000US0500992760
0500992979,0600000US0500992979
0500993435,0600000US0500993435
0500993522,0600000US0500993522
0500993552,0600000US0500993552
0500994134,0600000US0500994134
0501190819,0600000US0501190819
0501191185,0600000US0501191185
0501192379,0600000US0501192379
0501192568,0600000US0501192568
0501192778,0600000US0501192778
0501192817,0600000US0501192817
0501192844,0600000US0501192844
0501193186,0600000US0501193186
0501193558,0600000US0501193558
0501193903,0600000US0501193903
0501393623,0600000US0501393623
0501393626,0600000US0501393626
0501393629,0600000US0501393629
0501393632,0600000US0501393632
0501393635,0600000US0501393635
0501393637,0600000US0501393637
0501393639,0600000US0501393639
0501393641,0600000US0501393641
0501393643,0600000US0501393643
0501590754,0600000US0501590754
0501592708,0600000US0501592708
0501593428,0600000US0501593428
0501593976,0600000US0501593976
0501790432,0600000US0501790432
0501790666,0600000US0501790666
0501792913,0600000US0501792913
0501990591,0600000US0501990591
0502190232,0600000US0502190232
0502190448,0600000US0502190448
0502190496,0600000US0502190496
0502190589,0600000US0502190589
0502190757,0600000US0502190757
0502190801,0600000US0502190801
0502190874,0600000US0502190874
0502191201,0600000US0502191201
0502191474,0600000US0502191474
0502191971,0600000US0502191971
0502192058,0600000US0502192058
0502192667,0600000US0502192667
0502192719,0600000US0502192719
0502192836,0600000US0502192836
0502192952,0600000US0502192952
0502193439,0600000US0502193439
0502193971,0600000US0502193971
0502390597,0600000US0502390597
0502390615,0600000US0502390615
0502390750,0600000US0502390750
0502390828,0600000US0502390828
0502391329,0600000US0502391329
0502391458,0600000US0502391458
0502391493,0600000US0502391493
0502391653,0600000US0502391653
0502391656,0600000US0502391656
0502392319,0600000US0502392319
0502392556,0600000US0502392556
0502392583,0600000US0502392583
0502392853,0600000US0502392853
0502392874,0600000US0502392874
0502392886,0600000US0502392886
0502392901,0600000US0502392901
0502392931,0600000US0502392931
0502393294,0600000US0502393294
