vera_jid,facility_uid,facility_name,year,rated_capacity
01001001,01CNT00100106000,,1992,52.0
01001001,01CNT00100106100,Autauga Metro Jail,2013,136.0
01003001,01CNT00200206000,BALDWIN COUNTY,2004,510.0
01003001,01CNT00200206100,,2018,651.0
01005002,01CNT00300306000,,1987,35.0
01005002,01CNT00300306100,Barbour Co. Jail,2013,129.0
01007001,01CNT00400406000,,1987,30.0
01007001,01CNT00400406100,,2018,82.0
01009001,01CNT00500506100,Blount Co. Corr. Fac.,2013,101.0
01011001,01CNT00600606000,BULLOCK COUNTY,1998,26.0
01011001,01CNT00600606100,Bullock Co. Jail,2013,28.0
01013001,01CNT00700706000,,1987,50.0
01013001,01CNT00700706100,Butler County Jail,2013,92.0
01015002,01CNT00800806000,CALHOUN COUNTY JAIL,2006,355.0
01015002,01CNT00800806100,CALHOUN COUNTY JAIL,2010,400.0
01017002,01CNT00900906000,,1992,136.0
01017002,01CNT00900906100,Sheriff James C. Morgan Det. Fac.,2013,135.0
01019001,01CNT01001006000,CHEROKEE COUNTY DETENTION CENTER,2006,100.0
01019001,01CNT01001006100,CHEROKEE COUNTY DETENTION CENTER,2014,164.0
01021001,01CNT01101106000,CHILTON COUNTY JAIL,2006,177.0
01021001,01CNT01101106100,CHILTON COUNTY JAIL,2014,184.0
01023001,01CNT01201206100,Choctaw Co. Jail,2013,30.0
01025001,01CNT01301306000,CLARKE COUNTY JAIL,2006,144.0
01025001,01CNT01301306100,CLARKE COUNTY JAIL,2014,199.0
01027001,01CNT01401406000,CLAY COUNTY,1998,24.0
01027001,01CNT01401406100,Clay Co. Jail,2013,148.0
01029001,01CNT01501506100,,2018,90.0
01031002,01CNT01601606000,COFFEE COUNTY JAIL,2006,126.0
01031002,01CNT01601606100,COFFEE COUNTY JAIL,2014,126.0
01033001,01CNT01701706100,Colbert Co. Jail,2013,86.0
01035001,01CNT01801806100,Conecuh Co. Jail,2013,210.0
01037001,01CNT01901906000,COOSA COUNTY JAIL,2006,72.0
01037001,01CNT01901906100,COOSA COUNTY JAIL,2014,72.0
01039001,01CNT02002006000,COVINGTON COUNTY JAIL,2006,132.0
01039001,01CNT02002006100,COVINGTON COUNTY JAIL,2014,204.0
01041001,01CNT02102106000,CRENSHAW COUNTY JAIL,2006,57.0
01041001,01CNT02102106100,CRENSHAW COUNTY JAIL,2014,72.0
01043001,01CNT02202206100,,2018,326.0
01045002,01CNT02302306100,Dale Co. Jail,2013,120.0
01047001,01CNT02402406000,,1987,196.0
01047001,01CNT02402406100,Dallas Co. Jail,2013,350.0
01049001,01CNT02502506000,,1987,44.0
01049001,01CNT02502506100,DeKalb County Detention Center,2013,334.0
01051001,01CNT02602606000,ELMORE COUNTY JAIL,2006,234.0
01051001,01CNT02602606100,ELMORE COUNTY JAIL,2014,260.0
01053001,01CNT02702706100,Escambia Co. Det. Ctr.,2013,194.0
01055001,01CNT02802806000,ETOWAH COUNTY DETENTION CENTER,2006,850.0
01055001,01CNT02802806100,,2018,879.0
01057001,01CNT02902906000,FAYETTE COUNTY JAIL,2006,62.0
01057001,01CNT02902906100,,2018,68.0
01059001,01CNT03003006000,FRANKLIN COUNTY,1998,54.0
01059001,01CNT03003006100,Franklin Co. Jail,2013,220.0
01061001,01CNT03103106000,,1987,42.0
01061001,01CNT03103106100,Geneva Co. Jail,2013,94.0
01063001,01CNT03203206000,GREEN COUNTY,2004,56.0
01063001,01CNT03203206100,Greene Co. Jail,2013,5.0
01065001,01CNT03303306000,HALE COUNTY JAIL,2006,71.0
01065001,01CNT03303306100,HALE COUNTY JAIL,2014,71.0
01067001,01CNT03403406000,HENRY COUNTY,1998,43.0
01067001,01CNT03403406100,HENRY COUNTY JAIL,2006,
01069002,01CNT03503506000,HOUSTON COUNTY JAIL,2006,368.0
01069002,01CNT03503506100,,2018,306.0
01071001,01CNT03603606100,Jackson Co. Jail,2013,208.0
01073007,01CNT03703706000,,2018,
01073007,01CNT03703706100,JEFFERSON COUNTY JAIL,1993,885.0
01073007,01CNT03703706200,JEFFERSON COUNTY JAIL,1993,187.0
01073007,01CNT03703709000,JEFFERSON COUNTY,1993,
01075001,01CNT03803806100,Lamar Co. Jail,2013,84.0
01077001,01CNT03903906000,Lauderdale County Jail,2013,204.0
01077001,01CNT03903906100,LAUDERDALE COUNTY JAIL,1993,43.0
01077001,01CNT03903906300,Lauderdale County Work Release,2013,120.0
01079001,01CNT04004006100,,2018,130.0
