state_abbrev,state_code,county_code,county_name,fips
AL,01,001,Autauga County,01001
AL,01,003,Baldwin County,01003
AL,01,005,Barbour County,01005
AL,01,007,Bibb County,01007
AL,01,009,Blount County,01009
AL,01,011,Bullock County,01011
AL,01,013,Butler County,01013
AL,01,015,Calhoun County,01015
AL,01,017,Chambers County,01017
AL,01,019,Cherokee County,01019
AL,01,021,Chilton County,01021
AL,01,023,Choctaw County,01023
AL,01,025,Clarke County,01025
AL,01,027,Clay County,01027
AL,01,029,Cleburne County,01029
AL,01,031,Coffee County,01031
AL,01,033,Colbert County,01033
AL,01,035,Conecuh County,01035
AL,01,037,Coosa County,01037
AL,01,039,Covington County,01039
AL,01,041,Crenshaw County,01041
AL,01,043,Cullman County,01043
AL,01,045,Dale County,01045
AL,01,047,Dallas County,01047
AL,01,049,DeKalb County,01049
AL,01,051,Elmore County,01051
AL,01,053,Escambia County,01053
AL,01,055,Etowah County,01055
AL,01,057,Fayette County,01057
AL,01,059,Franklin County,01059
AL,01,061,Geneva County,01061
AL,01,063,Greene County,01063
AL,01,065,Hale County,01065
AL,01,067,Henry County,01067
AL,01,069,Houston County,01069
AL,01,071,Jackson County,01071
AL,01,073,Jefferson County,01073
AL,01,075,Lamar County,01075
AL,01,077,Lauderdale County,01077
AL,01,079,Lawrence County,01079
AL,01,081,Lee County,01081
AL,01,083,Limestone County,01083
AL,01,085,Lowndes County,01085
AL,01,087,Macon County,01087
AL,01,089,Madison County,01089
AL,01,091,Marengo County,01091
AL,01,093,Marion County,01093
AL,01,095,Marshall County,01095
AL,01,097,Mobile County,01097
AL,01,099,Monroe County,01099
AL,01,101,Montgomery County,01101
AL,01,103,Morgan County,01103
AL,01,105,Perry County,01105
AL,01,107,Pickens County,01107
AL,01,109,Pike County,01109
AL,01,111,Randolph County,01111
AL,01,113,Russell County,01113
AL,01,115,St. Clair County,01115
AL,01,117,Shelby County,01117
AL,01,119,Sumter County,01119
AL,01,121,Talladega County,01121
AL,01,123,Tallapoosa County,01123
AL,01,125,Tuscaloosa County,01125
AL,01,127,Walker County,01127
AL,01,129,Washington County,01129
AL,01,131,Wilcox County,01131
AL,01,133,Winston County,01133
AK,02,013,Aleutians East Borough,02013
AK,02,016,Aleutians West Census Area,02016
AK,02,020,Anchorage Municipality,02020
AK,02,050,Bethel Census Area,02050
AK,02,060,Bristol Bay Borough,02060
AK,02,068,Denali Borough,02068
AK,02,070,Dillingham Census Area,02070
AK,02,090,Fairbanks North Star Borough,02090
AK,02,100,Haines Borough,02100
AK,02,105,Hoonah-Angoon Census Area,02105
AK,02,110,Juneau City and Borough,02110
AK,02,122,Kenai Peninsula Borough,02122
AK,02,130,Ketchikan Gateway Borough,02130
AK,02,150,Kodiak Island Borough,02150
AK,02,158,Kusilvak Census Area,02158
AK,02,164,Lake and Peninsula Borough,02164
AK,02,170,Matanuska-Susitna Borough,02170
AK,02,180,Nome Census Area,02180
AK,02,185,North Slope Borough,02185
AK,02,188,Northwest Arctic Borough,02188
AK,02,195,Petersburg Borough,02195
AK,02,198,Prince of Wales-Hyder Census Area,02198
AK,02,220,Sitka City and Borough,02220
AK,02,230,Skagway Municipality,02230
AK,02,240,Southeast Fairbanks Census Area,02240
AK,02,261,Valdez-Cordova Census Area,02261
AK,02,270,Wade Hampton Census Area,02270
AK,02,275,Wrangell City and Borough,02275
AK,02,282,Yakutat City and Borough,02282
AK,02,290,Yukon-Koyukuk Census Area,02290
AZ,04,001,Apache County,04001
AZ,04,003,Cochise County,04003
AZ,04,005,Coconino County,04005
AZ,04,007,Gila County,04007
AZ,04,009,Graham County,04009
AZ,04,011,Greenlee County,04011
AZ,04,012,La Paz County,04012
AZ,04,013,Maricopa County,04013
AZ,04,015,Mohave County,04015
AZ,04,017,Navajo County,04017
AZ,04,019,Pima County,04019
AZ,04,021,Pinal County,04021
AZ,04,023,Santa Cruz County,04023
AZ,04,025,Yavapai County,04025
AZ,04,027,Yuma County,04027
AR,05,001,Arkansas County,05001
AR,05,003,Ashley County,05003
AR,05,005,Baxter County,05005
AR,05,007,Benton County,05007
AR,05,009,Boone County,05009
AR,05,011,Bradley County,05011
AR,05,013,Calhoun County,05013
AR,05,015,Carroll County,05015
AR,05,017,Chicot County,05017
AR,05,019,Clark County,05019
AR,05,021,Clay County,05021
AR,05,023,Cleburne County,05023
AR,05,025,Cleveland County,05025
AR,05,027,Columbia County,05027
AR,05,029,Conway County,05029
AR,05,031,Craighead County,05031
AR,05,033,Crawford County,05033
AR,05,035,Crittenden County,05035
AR,05,037,Cross County,05037
