jid,name,fips,county_name,gov_type
01001001,AUTAUGA METRO JAIL,01001,Autauga,county
01001002,PRATTVILLE CITY JAIL,01001,Autauga,municipal
01003001,BALDWIN COUNTY SHERIFF'S OFFICE,01003,Baldwin,county
01003002,CITY OF FOLEY POLICE DEPARTMENT,01003,Baldwin,municipal
01003003,FAIRHOPE CITY JAIL,01003,Baldwin,municipal
01003004,DAPHNE CITY JAIL,01003,Baldwin,municipal
01003005,ORANGE BEACH CITY JAIL,01003,Baldwin,municipal
01005001,,01005,Barbour,municipal
01005002,BARBOUR COUNTY JAIL,01005,Barbour,county
01007001,BIBB COUNTY SHERIFFS DEPARTMENT,01007,Bibb,county
01009001,BLOUNT COUNTY CORR. FAC.,01009,Blount,county
01009002,BLOUNTSVILLE CITY JAIL,01009,Blount,municipal
01011001,BULLOCK COUNTY JAIL,01011,Bullock,county
01013001,BUTLER COUNTY JAIL,01013,Butler,county
01015001,ANNISTON CITY JAIL,01015,Calhoun,municipal
01015002,CALHOUN COUNTY JAIL,01015,Calhoun,county
01015003,JACKSONVILLE CITY JAIL,01015,Calhoun,municipal
01015004,OXFORD CITY JAIL,01015,Calhoun,municipal
01015005,PIEDMONT POLICE DEPARTMENT,01015,Calhoun,municipal
01017001,,01017,Chambers,municipal
01017002,SHERIFF JAMES C. MORGAN DET. FAC.,01017,Chambers,county
01019001,CHEROKEE COUNTY DETENTION CENTER,01019,Cherokee,county
01021001,CHILTON COUNTY JAIL,01021,Chilton,county
01021002,,01021,Chilton,municipal
01023001,CHOCTAW COUNTY JAIL,01023,Choctaw,county
01025001,CLARKE COUNTY JAIL,01025,Clarke,county
01025002,JACKSON CITY JAIL,01025,Clarke,municipal
01027001,CLAY COUNTY JAIL,01027,Clay,county
01029001,CLEBURNE COUNTY SHERIFFS OFFICE,01029,Cleburne,county
01031001,CITY JAIL,01031,Coffee,municipal
01031002,COFFEE COUNTY JAIL,01031,Coffee,county
01033001,COLBERT COUNTY JAIL,01033,Colbert,county
01033002,SHEFFIELD CITY JAIL,01033,Colbert,municipal
01035001,CONECUH COUNTY JAIL,01035,Conecuh,county
01037001,COOSA COUNTY JAIL,01037,Coosa,county
01037002,GOODWATER CITY JAIL,01037,Coosa,municipal
01039001,COVINGTON COUNTY JAIL,01039,Covington,county
01039002,OPP CITY JAIL,01039,Covington,municipal
01041001,CRENSHAW COUNTY JAIL,01041,Crenshaw,county
01041002,LUVERNE CITY JAIL,01041,Crenshaw,municipal
01043001,CULLMAN COUNTY SHERIFFS OFFICE,01043,Cullman,county
01043002,CULLMAN CITY,01043,Cullman,municipal
01043003,HANCEVILLE CITY JAIL,01043,Cullman,municipal
01045001,CITY JAIL,01045,Dale,municipal
01045002,DALE COUNTY JAIL,01045,Dale,county
01047001,DALLAS COUNTY JAIL,01047,Dallas,county
01047002,SELMA CITY JAIL,01047,Dallas,municipal
01049001,DEKALB COUNTY DETENTION CENTER,01049,DeKalb,county
01049002,FORT PAYNE CITY JAIL,01049,DeKalb,municipal
01049003,RAINSVILLE CITY JAIL,01049,DeKalb,municipal
01049004,COLLINSVILLE CITY JAIL,01049,DeKalb,municipal
01049005,CROSSVILLE CITY JAIL,01049,DeKalb,municipal
01049006,HENAGAR CITY JAIL,01049,DeKalb,municipal
01051001,ELMORE COUNTY JAIL,01051,Elmore,county
01051002,TALLASSEE CITY JAIL,01051,Elmore,municipal
01053001,ESCAMBIA COUNTY DET. CTR.,01053,Escambia,county
01053002,BREWTON CITY JAIL,01053,Escambia,municipal
01055001,ETOWAH COUNTY SHERIFFS OFFICE,01055,Etowah,county
01055002,GADSDEN CITY JAIL,01055,Etowah,municipal
01055003,ATTALLA CITY JAIL,01055,Etowah,municipal
01057001,FAYETTE COUNTY SHERIFFS OFFICE,01057,Fayette,county
01059001,FRANKLIN COUNTY JAIL,01059,Franklin,county
01059002,RUSSELLVILLE CITY JAIL,01059,Franklin,municipal
01059003,CITY JAIL,01059,Franklin,municipal
01061001,GENEVA COUNTY JAIL,01061,Geneva,county
01063001,GREENE COUNTY JAIL,01063,Greene,county
01063002,EUTAW CITY JAIL,01063,Greene,municipal
01065001,HALE COUNTY JAIL,01065,Hale,county
01067001,HENRY COUNTY JAIL,01067,Henry,county
01069001,DOTHAN CITY JAIL,01069,Houston,municipal
01069002,HOUSTON COUNTY SHERIFFS OFFICE,01069,Houston,county
01071001,JACKSON COUNTY JAIL,01071,Jackson,county
01071002,STEVENSON CITY JAIL,01071,Jackson,municipal
01071003,SCOTTSBORO CITY JAIL,01071,Jackson,municipal
01073001,BESSEMER CITY JAIL,01073,Jefferson,municipal
01073002,BIRMINGHAM CITY JAIL,01073,Jefferson,municipal
01073003,FAIRFIELD CITY JAIL,01073,Jefferson,municipal
01073004,GRAYSVILLE CITY JAIL,01073,Jefferson,municipal
01073005,HOMEWOOD CITY JAIL,01073,Jefferson,municipal
01073006,IRONDALE CITY JAIL,01073,Jefferson,municipal
01073007,JEFFERSON COUNTY SHERIFF'S OFFICE,01073,Jefferson,county
01073008,LEEDS CITY JAIL,01073,Jefferson,municipal
01073009,PLEASANT GROVE CITY JAIL,01073,Jefferson,municipal
01073010,WARRIOR CITY JAIL,01073,Jefferson,municipal
01073011,MOUNTAIN BROOK CITY JAIL,01073,Jefferson,municipal
01073012,TARRANT CITY JAIL,01073,Jefferson,municipal
01073013,FULTONDALE POLICE DEPARTMENT,01073,Jefferson,municipal
01073014,HOOVER CITY JAIL,01073,Jefferson,municipal
01073015,HUEYTOWN CITY JAIL,01073,Jefferson,municipal
01073016,LIPSCOMB MUNICIPAL JAIL,01073,Jefferson,municipal
01073017,TRUSSVILLE CITY JAIL,01073,Jefferson,municipal
01073018,BRIGHTON CITY JAIL,01073,Jefferson,municipal
01073019,BROOKSIDE CITY JAIL,01073,Jefferson,municipal
01073020,CITY OF ADAMSVILLE JAIL,01073,Jefferson,municipal
01073021,GARDENDALE CITY JAIL,01073,Jefferson,municipal
01073022,KIMBERLY CITY JAIL,01073,Jefferson,municipal
01073023,MIDFIELD CITY JAIL,01073,Jefferson,municipal
01075001,LAMAR COUNTY JAIL,01075,Lamar,county
01077001,LAUDERDALE COUNTY JAIL,01077,Lauderdale,county
01077002,FLORENCE CITY JAIL,01077,Lauderdale,municipal
01077003,LAUDERDALE CO WORK RELEASE,01077,Lauderdale,private
01079001,LAWRENCE COUNTY SHERIFFS OFFICE,01079,Lawrence,county
01081001,AUBURN CITY JAIL,01081,Lee,municipal
01081002,LEE COUNTY SHERIFFS OFFICE,01081,Lee,county
01081003,OPELIKA CITY JAIL,01081,Lee,municipal
01083001,ATHENS CITY JAIL,01083,Limestone,municipal
01083002,LIMESTONE COUNTY JAIL,01083,Limestone,county
01085001,LOWNDES COUNTY SHERIFFS OFFICE,01085,Lowndes,county
01087001,MACON COUNTY LAW ENFORCEMENT CENTER,01087,Macon,county
