ncic_code,category_code,category,description,is_drug,is_violent,
0101,01,SOVEREIGNTY,TREASON,N,N,
0102,01,SOVEREIGNTY,TREASON MISPRISON,N,N,
0103,01,SOVEREIGNTY,ESPIONAGE,N,N,
0104,01,SOVEREIGNTY,SABOTAGE,N,N,
0105,01,SOVEREIGNTY,SEDITION,N,N,
0106,01,SOVEREIGNTY,SELECTIVE SERVICE,N,N,
0199,01,SOVEREIGNTY,SOVEREIGNTY,N,N,x
0201,02,MILITARY,MILITARY DESERTION,N,N,
0299,02,MILITARY,MILITARY,N,N,
0301,03,IMMIGRATION,ILLEGAL ENTRY,N,N,
0302,03,IMMIGRATION,FALSE CITIZENSHIP,N,N,
0303,03,IMMIGRATION,SMUGGLING ALIENS,N,N,
0399,03,IMMIGRATION,IMMIGRATION,N,N,
0901,09,HOMICIDE,HOMICIDE - WILLFUL KILL-FAMILY-GUN,N,Y,
0902,09,HOMICIDE,HOMICIDE - WILLFUL KILL-FAMILY-WEAPON,N,Y,
0903,09,HOMICIDE,HOMICIDE - WILLFUL KILL-NONFAMILY-GUN,N,Y,
0904,09,HOMICIDE,HOMICIDE - WILLFUL KILL-NONFAMILY-WEAPON,N,Y,
0905,09,HOMICIDE,HOMICIDE - WILLFUL KILL-PUB OFF-GUN,N,Y,
0906,09,HOMICIDE,HOMICIDE - WILLFUL KILL-PUB OFF-WEAPON,N,Y,
0907,09,HOMICIDE,HOMICIDE - WILLFUL KILL-POL OFF-GUN,N,Y,
0908,09,HOMICIDE,HOMICIDE - WILLFUL KILL-POL OFF-WEAPON,N,Y,
0909,09,HOMICIDE,HOMICIDE - NEGLIG MANSL-VEH,N,Y,
0910,09,HOMICIDE,HOMICIDE - NEGLIG MANSL-WEAPON,N,Y,
0911,09,HOMICIDE,HOMICIDE - WILLFUL KILL-GUN,N,Y,
0912,09,HOMICIDE,HOMICIDE - WILLFUL KILL-WEAPON,N,Y,
0913,09,HOMICIDE,HOMICIDE - JOHN/JANE DOE-NO WARR,N,Y,
0999,09,HOMICIDE,HOMICIDE,N,Y,
1001,10,KIDNAPPING,KIDNAP MINOR FOR RANSOM,N,Y,
1002,10,KIDNAPPING,KIDNAP ADULT FOR RANSOM,N,Y,
1003,10,KIDNAPPING,KIDNAP MINOR TO SEXUALLY ASSLT,N,Y,
1004,10,KIDNAPPING,KIDNAP ADULT TO SEXUALLY ASSLT,N,Y,
1005,10,KIDNAPPING,KIDNAP MINOR,N,Y,
1006,10,KIDNAPPING,KIDNAP ADULT,N,Y,
1007,10,KIDNAPPING,KIDNAP HOSTAGE FOR ESCAPE,N,Y,
1008,10,KIDNAPPING,ABDUCT - NO RANSOM OR ASSLT,N,Y,
1009,10,KIDNAPPING,KIDNAP - HIJACK AIRCRAFT,N,Y,
1010,10,KIDNAPPING,KIDNAP MINOR-PARENTAL,N,Y,
1011,10,KIDNAPPING,KIDNAP MINOR-NONPARENTAL,N,Y,
1020,10,KIDNAPPING,FALSE IMPRISONMENT-MINOR-NON PARENTAL,N,Y,
1021,10,KIDNAPPING,FALSE IMPRISONMENT-MINOR-PARENTAL,N,Y,
1099,10,KIDNAPPING,KIDNAPPING,N,Y,
1101,11,SEXUAL ASSUALT,RAPE-GUN,N,Y,
1102,11,SEXUAL ASSUALT,RAPE WITH WEAPON,N,Y,
1103,11,SEXUAL ASSUALT,RAPE - STRONGARM,N,Y,
1104,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-BOY-GUN,N,Y,
1105,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-MAN-GUN,N,Y,
1106,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-GIRL-GUN,N,Y,
1107,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-WOMAN-GUN,N,Y,
1108,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-BOY-WEAPON,N,Y,
1109,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-MAN-WEAPON,N,Y,
1110,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-GIRL-WEAPON,N,Y,
1111,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-WOMAN-WEAPON,N,Y,
1112,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-BOY-STGARM,N,Y,
1113,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-MAN-STGARM,N,Y,
1114,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-GIRL-STGARM,N,Y,
