state_fips,geoid
01,0400000US01
02,0400000US02
04,0400000US04
05,0400000US05
06,0400000US06
08,0400000US08
09,0400000US09
10,0400000US10
11,0400000US11
12,0400000US12
13,0400000US13
15,0400000US15
16,0400000US16
17,0400000US17
18,0400000US18
19,0400000US19
20,0400000US20
21,0400000US21
22,0400000US22
23,0400000US23
24,0400000US24
25,0400000US25
26,0400000US26
27,0400000US27
28,0400000US28
29,0400000US29
30,0400000US30
31,0400000US31
32,0400000US32
33,0400000US33
34,0400000US34
35,0400000US35
36,0400000US36
37,0400000US37
38,0400000US38
39,0400000US39
40,0400000US40
41,0400000US41
42,0400000US42
44,0400000US44
45,0400000US45
46,0400000US46
47,0400000US47
48,0400000US48
49,0400000US49
50,0400000US50
51,0400000US51
53,0400000US53
54,0400000US54
55,0400000US55
56,0400000US56
60,0400000US60
66,0400000US66
69,0400000US69
72,0400000US72
78,0400000US78
