state_code,county,district
US_IX,Ada,DISTRICT 4
US_IX,Adams,DISTRICT 3
US_IX,Bannock,DISTRICT 6
US_IX,Bear Lake,DISTRICT 6
US_IX,Benewah,DISTRICT 1
US_IX,Bingham,DISTRICT 7
US_IX,Blaine,DISTRICT 5
US_IX,Boise,DISTRICT 4
US_IX,Bonner,DISTRICT 1
US_IX,Bonneville,DISTRICT 7
US_IX,Boundary,DISTRICT 1
US_IX,Butte,DISTRICT 7
US_IX,Camas,DISTRICT 5
US_IX,Canyon,DISTRICT 3
US_IX,Caribou,DISTRICT 6
US_IX,Cassia,DISTRICT 5
US_IX,Clark,DISTRICT 7
US_IX,Clearwater,DISTRICT 2
US_IX,Custer,DISTRICT 7
US_IX,Elmore,DISTRICT 4
US_IX,Franklin,DISTRICT 6
US_IX,Fremont,DISTRICT 7
US_IX,Gem,DISTRICT 3
US_IX,Gooding,DISTRICT 5
US_IX,Idaho,DISTRICT 2
US_IX,Jefferson,DISTRICT 7
US_IX,Jerome,DISTRICT 5
US_IX,Kootenai,DISTRICT 1
US_IX,Latah,DISTRICT 2
US_IX,Lemhi,DISTRICT 7
US_IX,Lewis,DISTRICT 2
US_IX,Lincoln,DISTRICT 5
US_IX,Madison,DISTRICT 7
US_IX,Minidoka,DISTRICT 5
US_IX,Nez Perce,DISTRICT 2
US_IX,Oneida,DISTRICT 6
US_IX,Owyhee,DISTRICT 3
US_IX,Payette,DISTRICT 3
US_IX,Power,DISTRICT 6
US_IX,Shoshone,DISTRICT 1
US_IX,Teton,DISTRICT 7
US_IX,Twin Falls,DISTRICT 8
US_IX,Valley,DISTRICT 4
US_IX,Washington,DISTRICT 3
US_ND,Adams,Southwest
US_ND,Barnes,Southeast
US_ND,Benson,Northeast
US_ND,Billings,Southwest
US_ND,Bottineau,Northeast
US_ND,Bowman,Southwest
US_ND,Burke,North Central
US_ND,Burleigh,South Central
US_ND,Cass,East Central
US_ND,Cavalier,Northeast
US_ND,Dickey,Southeast
US_ND,Divide,Northwest
US_ND,Dunn,Southwest
US_ND,Eddy,Southeast
US_ND,Emmons,South Central
US_ND,Foster,Southeast
US_ND,Golden Valley,Southwest
US_ND,Grand Forks,Northeast Central
US_ND,Grant,South Central
US_ND,Griggs,Southeast
US_ND,Hettinger,Southwest
US_ND,Kidder,Southeast
US_ND,LaMoure,Southeast
US_ND,Logan,Southeast
US_ND,McHenry,Northeast
US_ND,McIntosh,Southeast
US_ND,McKenzie,Northwest
US_ND,McLean,South Central
US_ND,Mercer,South Central
US_ND,Morton,South Central
US_ND,Mountrail,North Central
US_ND,Nelson,Northeast Central
US_ND,Oliver,South Central
US_ND,Pembina,Northeast
US_ND,Pierce,Northeast
US_ND,Ramsey,Northeast
US_ND,Ransom,Southeast
US_ND,Renville,Northeast
US_ND,Richland,Southeast
US_ND,Rolette,Northeast
US_ND,Sargent,Southeast
US_ND,Sheridan,South Central
US_ND,Sioux,South Central
US_ND,Slope,Southwest
US_ND,Stark,Southwest
US_ND,Steele,East Central
US_ND,Stutsman,Southeast
US_ND,Towner,Northeast
US_ND,Traill,East Central
US_ND,Walsh,Northeast
US_ND,Ward,North Central
US_ND,Wells,Southeast
US_ND,Williams,Northwest
