fips,state_code,county_code,county_name
01001,US_AL,US_AL_AUTAUGA,Autauga County
01003,US_AL,US_AL_BALDWIN,Baldwin County
01005,US_AL,US_AL_BARBOUR,Barbour County
01007,US_AL,US_AL_BIBB,Bibb County
01009,US_AL,US_AL_BLOUNT,Blount County
01011,US_AL,US_AL_BULLOCK,Bullock County
01013,US_AL,US_AL_BUTLER,Butler County
01015,US_AL,US_AL_CALHOUN,Calhoun County
01017,US_AL,US_AL_CHAMBERS,Chambers County
01019,US_AL,US_AL_CHEROKEE,Cherokee County
01021,US_AL,US_AL_CHILTON,Chilton County
01023,US_AL,US_AL_CHOCTAW,Choctaw County
01025,US_AL,US_AL_CLARKE,Clarke County
01027,US_AL,US_AL_CLAY,Clay County
01029,US_AL,US_AL_CLEBURNE,Cleburne County
01031,US_AL,US_AL_COFFEE,Coffee County
01033,US_AL,US_AL_COLBERT,Colbert County
01035,US_AL,US_AL_CONECUH,Conecuh County
01037,US_AL,US_AL_COOSA,Coosa County
01039,US_AL,US_AL_COVINGTON,Covington County
01041,US_AL,US_AL_CRENSHAW,Crenshaw County
01043,US_AL,US_AL_CULLMAN,Cullman County
01045,US_AL,US_AL_DALE,Dale County
01047,US_AL,US_AL_DALLAS,Dallas County
01049,US_AL,US_AL_DEKALB,DeKalb County
01051,US_AL,US_AL_ELMORE,Elmore County
01053,US_AL,US_AL_ESCAMBIA,Escambia County
01055,US_AL,US_AL_ETOWAH,Etowah County
01057,US_AL,US_AL_FAYETTE,Fayette County
01059,US_AL,US_AL_FRANKLIN,Franklin County
01061,US_AL,US_AL_GENEVA,Geneva County
01063,US_AL,US_AL_GREENE,Greene County
01065,US_AL,US_AL_HALE,Hale County
01067,US_AL,US_AL_HENRY,Henry County
01069,US_AL,US_AL_HOUSTON,Houston County
01071,US_AL,US_AL_JACKSON,Jackson County
01073,US_AL,US_AL_JEFFERSON,Jefferson County
01075,US_AL,US_AL_LAMAR,Lamar County
01077,US_AL,US_AL_LAUDERDALE,Lauderdale County
01079,US_AL,US_AL_LAWRENCE,Lawrence County
01081,US_AL,US_AL_LEE,Lee County
01083,US_AL,US_AL_LIMESTONE,Limestone County
01085,US_AL,US_AL_LOWNDES,Lowndes County
01087,US_AL,US_AL_MACON,Macon County
01089,US_AL,US_AL_MADISON,Madison County
01091,US_AL,US_AL_MARENGO,Marengo County
01093,US_AL,US_AL_MARION,Marion County
01095,US_AL,US_AL_MARSHALL,Marshall County
01097,US_AL,US_AL_MOBILE,Mobile County
01099,US_AL,US_AL_MONROE,Monroe County
01101,US_AL,US_AL_MONTGOMERY,Montgomery County
01103,US_AL,US_AL_MORGAN,Morgan County
01105,US_AL,US_AL_PERRY,Perry County
01107,US_AL,US_AL_PICKENS,Pickens County
01109,US_AL,US_AL_PIKE,Pike County
01111,US_AL,US_AL_RANDOLPH,Randolph County
01113,US_AL,US_AL_RUSSELL,Russell County
01115,US_AL,US_AL_ST_CLAIR,St. Clair County
01117,US_AL,US_AL_SHELBY,Shelby County
01119,US_AL,US_AL_SUMTER,Sumter County
01121,US_AL,US_AL_TALLADEGA,Talladega County
01123,US_AL,US_AL_TALLAPOOSA,Tallapoosa County
01125,US_AL,US_AL_TUSCALOOSA,Tuscaloosa County
01127,US_AL,US_AL_WALKER,Walker County
01129,US_AL,US_AL_WASHINGTON,Washington County
01131,US_AL,US_AL_WILCOX,Wilcox County
01133,US_AL,US_AL_WINSTON,Winston County
02013,US_AK,US_AK_ALEUTIANS_EAST,Aleutians East Borough
02016,US_AK,US_AK_ALEUTIANS_WEST,Aleutians West Census Area
02020,US_AK,US_AK_ANCHORAGE,Anchorage Municipality
02050,US_AK,US_AK_BETHEL,Bethel Census Area
02060,US_AK,US_AK_BRISTOL_BAY,Bristol Bay Borough
02068,US_AK,US_AK_DENALI,Denali Borough
02070,US_AK,US_AK_DILLINGHAM,Dillingham Census Area
02090,US_AK,US_AK_FAIRBANKS_NORTH_STAR,Fairbanks North Star Borough
02100,US_AK,US_AK_HAINES,Haines Borough
02105,US_AK,US_AK_HOONAH_ANGOON,Hoonah-Angoon Census Area
02110,US_AK,US_AK_JUNEAU_CITY_AND,Juneau City and Borough
02122,US_AK,US_AK_KENAI_PENINSULA,Kenai Peninsula Borough
02130,US_AK,US_AK_KETCHIKAN_GATEWAY,Ketchikan Gateway Borough
02150,US_AK,US_AK_KODIAK_ISLAND,Kodiak Island Borough
02158,US_AK,US_AK_KUSILVAK,Kusilvak Census Area
02164,US_AK,US_AK_LAKE_AND_PENINSULA,Lake and Peninsula Borough
02170,US_AK,US_AK_MATANUSKA_SUSITNA,Matanuska-Susitna Borough
02180,US_AK,US_AK_NOME,Nome Census Area
02185,US_AK,US_AK_NORTH_SLOPE,North Slope Borough
02188,US_AK,US_AK_NORTHWEST_ARCTIC,Northwest Arctic Borough
02195,US_AK,US_AK_PETERSBURG,Petersburg Borough
02198,US_AK,US_AK_PRINCE_OF_WALES_HYDER,Prince of Wales-Hyder Census Area
02220,US_AK,US_AK_SITKA_CITY_AND,Sitka City and Borough
02230,US_AK,US_AK_SKAGWAY,Skagway Municipality
02240,US_AK,US_AK_SOUTHEAST_FAIRBANKS,Southeast Fairbanks Census Area
02261,US_AK,US_AK_VALDEZ_CORDOVA,Valdez-Cordova Census Area
02270,US_AK,US_AK_WADE_HAMPTON,Wade Hampton Census Area
02275,US_AK,US_AK_WRANGELL_CITY_AND,Wrangell City and Borough
