fips,year,population
01001,2010,36343
01003,2010,117547
01005,2010,18514
01007,2010,15748
01009,2010,37329
01011,2010,7432
01013,2010,13257
01015,2010,79002
01017,2010,22214
01019,2010,16777
01021,2010,28635
01023,2010,8769
01025,2010,16513
01027,2010,8892
01029,2010,9735
01031,2010,32945
01033,2010,35169
01035,2010,8410
01037,2010,7899
01039,2010,23825
01041,2010,8973
01043,2010,52258
01045,2010,33083
01047,2010,28143
01049,2010,45981
01051,2010,54700
01053,2010,25342
01055,2010,68406
01057,2010,11022
01059,2010,20366
01061,2010,17210
01063,2010,5771
01065,2010,10221
01067,2010,11086
01069,2010,66277
01071,2010,34559
01073,2010,443632
01075,2010,9104
01077,2010,60841
01079,2010,22893
01081,2010,101795
01083,2010,56410
01085,2010,7411
01087,2010,14992
01089,2010,229912
01091,2010,13432
01093,2010,19677
01095,2010,60008
01097,2010,274878
01099,2010,14734
01101,2010,155492
01103,2010,79073
01105,2010,6721
01107,2010,12628
01109,2010,23201
01111,2010,14600
01113,2010,35412
01115,2010,56144
01117,2010,133379
01119,2010,9300
01121,2010,54844
01123,2010,26844
01125,2010,139136
01127,2010,43650
01129,2010,11422
01131,2010,7297
01133,2010,15755
02013,2010,2687
02016,2010,4709
02020,2010,208633
02050,2010,10780
02060,2010,740
02068,2010,1344
02070,2010,3175
02090,2010,70464
02100,2010,1747
02105,2010,1481
02110,2010,22747
02122,2010,38541
02130,2010,9554
02150,2010,9459
02158,2010,4466
02164,2010,1111
02170,2010,61271
02180,2010,6152
02185,2010,7121
02188,2010,4809
02195,2010,2223
02198,2010,4255
02220,2010,6149
02230,2010,760
02240,2010,4853
02261,2010,6929
02275,2010,1580
02282,2010,471
02290,2010,3743
04001,2010,45112
04003,2010,84008
04005,2010,96313
04007,2010,31785
04009,2010,24007
04011,2010,5342
04012,2010,10731
04013,2010,2517563
04015,2010,119558
04017,2010,67066
04019,2010,643262
04021,2010,240532
04023,2010,29331
04025,2010,126879
04027,2010,120949
05001,2010,12257
05003,2010,13938
05005,2010,23631
05007,2010,142704
05009,2010,23173
05011,2010,7226
05013,2010,3574
05015,2010,17217
05017,2010,7377
05019,2010,15849
05021,2010,9920
05023,2010,15595
05025,2010,5481
05027,2010,16308
05029,2010,13443
05031,2010,64570
05033,2010,40145
05035,2010,33286
05037,2010,11482
05039,2010,5043
05041,2010,8175
05043,2010,12351
05045,2010,79232
05047,2010,11482
05049,2010,7403
05051,2010,59545
05053,2010,11740
05055,2010,27291
05057,2010,14211
05059,2010,21826
05061,2010,8666
05063,2010,23690
05065,2010,8324
05067,2010,12113
05069,2010,51891
05071,2010,16523
05073,2010,4729
05075,2010,11061
05077,2010,7033
05079,2010,10101
05081,2010,8316
05083,2010,14102
05085,2010,45295
05087,2010,10147
05089,2010,10289
05091,2010,28670
05093,2010,29896
05095,2010,5135
05097,2010,5740
05099,2010,5644
05101,2010,5185
05103,2010,16592
05105,2010,6765
05107,2010,13514
05109,2010,7086
05111,2010,15712
05113,2010,12557
05115,2010,42151
05117,2010,5495
05119,2010,259911
05121,2010,11218
05123,2010,19216
05125,2010,69722
05127,2010,6979
05129,2010,5061
05131,2010,82631
05133,2010,10725
05135,2010,10126
05137,2010,7431
05139,2010,26854
05141,2010,10488
05143,2010,140236
05145,2010,51080
05147,2010,4587
05149,2010,13907
06001,2010,1060875
06003,2010,777
06005,2010,25034
06007,2010,148368
06009,2010,28916
06011,2010,13690
06013,2010,707213
06015,2010,19675
06017,2010,121425
06019,2010,608633
06021,2010,17877
06023,2010,94909
06025,2010,114535
06027,2010,11795
06029,2010,554981
06031,2010,104617
06033,2010,42172
06035,2010,26320
06037,2010,6800289
06039,2010,98154
06041,2010,166628
06043,2010,11863
06045,2010,58207
06047,2010,166085
06049,2010,6072
06051,2010,10393
06053,2010,279305
06055,2010,90292
06057,2010,64418
06059,2010,2063871
06061,2010,226522
06063,2010,12887
06065,2010,1433549
06067,2010,963107
06069,2010,36969
06071,2010,1373943
06073,2010,2153501
06075,2010,605007
06077,2010,450337
06079,2010,187207
06081,2010,489196
06083,2010,289249
06085,2010,1227048
06087,2010,188255
06089,2010,115071
06091,2010,2113
06093,2010,28537
06095,2010,284228
06097,2010,329758
06099,2010,339200
06101,2010,61162
06103,2010,40305
06105,2010,8996
06107,2010,281011
06109,2010,36120
06111,2010,555521
06113,2010,143727
06115,2010,47429
08001,2010,298559
08003,2010,10529
08005,2010,394154
08007,2010,7978
08009,2010,2220
08011,2010,4715
08013,2010,212949
08014,2010,38264
08015,2010,11875
08017,2010,1145
08019,2010,6670
08021,2010,5090
08023,2010,2137
08025,2010,4592
08027,2010,2738
08029,2010,19080
08031,2010,429085
08033,2010,1288
08035,2010,192657
08037,2010,38128
08039,2010,16278
08041,2010,428051
08043,2010,31922
08045,2010,38554
08047,2010,4141
08049,2010,10748
08051,2010,11598
08053,2010,544
08055,2010,4063
08057,2010,914
08059,2010,370355
08061,2010,863
08063,2010,5446
08065,2010,5097
08067,2010,36716
08069,2010,211453
08071,2010,10063
08073,2010,3670
08075,2010,15694
08077,2010,95797
08079,2010,463
08081,2010,9170
08083,2010,16347
08085,2010,25456
08087,2010,17699
08089,2010,11603
08091,2010,3027
08093,2010,11833
08095,2010,2627
08097,2010,12700
08099,2010,7857
08101,2010,102732
08103,2010,4445
08105,2010,7561
08107,2010,17445
08109,2010,4053
08111,2010,514
08113,2010,5576
08115,2010,1428
08117,2010,21747
08119,2010,16570
08121,2010,2996
08123,2010,170101
08125,2010,6226
09001,2010,608510
09003,2010,599333
09005,2010,126754
09007,2010,111658
09009,2010,582811
09011,2010,186717
09013,2010,109936
09015,2010,82006
10001,2010,107179
10003,2010,370046
10005,2010,123093
11001,2010,451752
12001,2010,184198
12003,2010,18225
12005,2010,113886
12007,2010,19666
12009,2010,346432
12011,2010,1182806
12013,2010,9756
12015,2010,86679
12017,2010,78229
12019,2010,128410
12021,2010,185286
12023,2010,44522
12027,2010,22237
12029,2010,10601
12031,2010,599054
12033,2010,201918
12035,2010,56927
12037,2010,7835
12039,2010,32108
12041,2010,11154
12043,2010,8078
12045,2010,11117
12047,2010,10379
12049,2010,17713
12051,2010,25538
12053,2010,100547
12055,2010,52030
12057,2010,844465
12059,2010,12992
12061,2010,79647
12063,2010,33753
12065,2010,10000
12067,2010,6224
12069,2010,174641
12071,2010,373893
12073,2010,204804
12075,2010,25770
12077,2010,5990
12079,2010,12795
12081,2010,193018
12083,2010,193314
12085,2010,85835
12086,2010,1704670
