fips,year,population
02013,2010,3166
02016,2010,5559
02020,2010,293321
02050,2010,17084
02060,2010,1002
02068,2010,1835
02070,2010,4850
02090,2010,98264
02100,2010,2501
02105,2010,2107
02110,2010,31387
02122,2010,55554
02130,2010,13573
02150,2010,13646
02158,2010,7467
02164,2010,1639
02170,2010,89732
02180,2010,9543
02185,2010,9478
02188,2010,7560
02195,2010,3219
02198,2010,6211
02220,2010,8881
02230,2010,968
02240,2010,7061
02261,2010,9657
02275,2010,2371
02282,2010,662
02290,2010,5612
01001,2010,54773
01003,2010,183112
01005,2010,27327
01007,2010,22870
01009,2010,57376
01011,2010,10876
01013,2010,20932
01015,2010,118408
01017,2010,34122
01019,2010,25963
01021,2010,43653
01023,2010,13849
01025,2010,25766
01027,2010,13898
01029,2010,15004
01031,2010,50208
01033,2010,54524
01035,2010,13236
01037,2010,11780
01039,2010,37809
01041,2010,13869
01043,2010,80456
01045,2010,50394
01047,2010,43854
01049,2010,71163
01051,2010,79552
01053,2010,38345
01055,2010,104459
01057,2010,17229
01059,2010,31746
01061,2010,26777
01063,2010,8991
01065,2010,15745
01067,2010,17296
01069,2010,101798
01071,2010,53184
01073,2010,658215
01075,2010,14496
01077,2010,92737
01079,2010,34342
01081,2010,140794
01083,2010,83181
01085,2010,11289
01087,2010,21505
01089,2010,336095
01091,2010,20956
01093,2010,30816
01095,2010,93122
01097,2010,413315
01099,2010,23005
01101,2010,229505
01103,2010,119608
01105,2010,10563
01107,2010,19749
01109,2010,32970
01111,2010,22937
01113,2010,53321
01115,2010,83571
01117,2010,196032
01119,2010,13730
01121,2010,82172
01123,2010,41476
01125,2010,194996
01127,2010,66997
01129,2010,17626
01131,2010,11560
01133,2010,24412
05001,2010,19009
05003,2010,21829
05005,2010,41510
05007,2010,222593
05009,2010,36893
05011,2010,11470
05013,2010,5362
05015,2010,27553
05017,2010,11799
05019,2010,22925
05021,2010,16050
05023,2010,25986
05025,2010,8677
05027,2010,24723
05029,2010,21219
05031,2010,96748
05033,2010,61956
05035,2010,50958
05037,2010,17862
05039,2010,8066
05041,2010,12954
05043,2010,18666
05045,2010,114026
05047,2010,18142
05049,2010,12215
05051,2010,96067
05053,2010,17886
05055,2010,42201
05057,2010,22596
05059,2010,33231
05061,2010,13796
05063,2010,36809
05065,2010,13726
05067,2010,18057
05069,2010,77341
05071,2010,25556
05073,2010,7647
05075,2010,17518
05077,2010,10395
05079,2010,14089
05081,2010,13132
05083,2010,22308
05085,2010,68744
05087,2010,15684
05089,2010,16665
05091,2010,43562
05093,2010,46399
05095,2010,8138
05097,2010,9510
05099,2010,8997
05101,2010,8304
05103,2010,26046
05105,2010,10444
05107,2010,21676
05109,2010,11264
05111,2010,24515
05113,2010,20667
05115,2010,62109
05117,2010,8722
05119,2010,383538
05121,2010,17955
05123,2010,28194
05125,2010,107656
05127,2010,11275
05129,2010,8182
05131,2010,125737
05133,2010,17151
05135,2010,17250
05137,2010,12389
05139,2010,41573
05141,2010,17310
05143,2010,204024
05145,2010,77356
05147,2010,7236
05149,2010,22146
04001,2010,71829
04003,2010,131822
04005,2010,134612
04007,2010,53561
04009,2010,37152
04011,2010,8339
04012,2010,20497
04013,2010,3825110
04015,2010,200314
04017,2010,107697
04019,2010,981620
04021,2010,379094
04023,2010,47415
04025,2010,210983
04027,2010,197127
06001,2010,1512986
06003,2010,1161
06005,2010,37886
06007,2010,219949
06009,2010,45468
06011,2010,21437
06013,2010,1052540
06015,2010,28566
06017,2010,181136
06019,2010,932039
06021,2010,28127
06023,2010,135009
06025,2010,174716
06027,2010,18511
06029,2010,840996
06031,2010,152370
06033,2010,64735
06035,2010,34831
06037,2010,9823246
06039,2010,150986
06041,2010,252904
06043,2010,18277
06045,2010,87799
06047,2010,256721
06049,2010,9694
06051,2010,14257
06053,2010,416373
06055,2010,136759
06057,2010,98790
06059,2010,3015171
06061,2010,350021
06063,2010,19914
06065,2010,2201576
06067,2010,1421383
06069,2010,55516
06071,2010,2040848
06073,2010,3103212
06075,2010,805505
06077,2010,687127
06079,2010,269802
06081,2010,719699
06083,2010,424231
06085,2010,1786040
06087,2010,263147
06089,2010,177274
06091,2010,3220
06093,2010,44938
06095,2010,413967
06097,2010,484755
06099,2010,515145
06101,2010,94751
06103,2010,63559
06105,2010,13755
06107,2010,442969
06109,2010,55190
06111,2010,825097
06113,2010,201073
06115,2010,72348
08001,2010,443691
08003,2010,15515
08005,2010,574747
08007,2010,12046
08009,2010,3807
08011,2010,6500
08013,2010,295037
08014,2010,56226
08015,2010,17808
08017,2010,1833
08019,2010,9083
08021,2010,8312
08023,2010,3529
08025,2010,5861
08027,2010,4279
08029,2010,30860
08031,2010,603359
08033,2010,2069
08035,2010,286977
08037,2010,52099
08039,2010,23142
08041,2010,627031
08043,2010,46837
08045,2010,56072
08047,2010,5471
08049,2010,14796
08051,2010,15291
08053,2010,844
08055,2010,6681
08057,2010,1389
08059,2010,535548
08061,2010,1404
08063,2010,8263
08065,2010,7264
08067,2010,51411
08069,2010,300441
08071,2010,15422
08073,2010,5471
08075,2010,22750
08077,2010,146259
08079,2010,704
08081,2010,13794
08083,2010,25576
08085,2010,41186
08087,2010,28241
08089,2010,18859
08091,2010,4456
08093,2010,16279
08095,2010,4469
08097,2010,17154
08099,2010,12545
08101,2010,159390
08103,2010,6623
08105,2010,12023
08107,2010,23434
08109,2010,6136
08111,2010,708
08113,2010,7357
08115,2010,2371
08117,2010,28073
08119,2010,23469
08121,2010,4821
08123,2010,254207
08125,2010,10049
09001,2010,919355
09003,2010,895236
09005,2010,189763
09007,2010,165616
09009,2010,863357
09011,2010,274004
09013,2010,153239
09015,2010,118544
11001,2010,605226
10001,2010,162956
10003,2010,538752
10005,2010,197885
12001,2010,247614
12003,2010,27066
12005,2010,169206
12007,2010,28536
12009,2010,543965
12011,2010,1752803
12013,2010,14647
12015,2010,159875
12017,2010,141173
12019,2010,191451
12021,2010,322581
12023,2010,67553
12027,2010,34934
12029,2010,16400
12031,2010,865628
12033,2010,298038
12035,2010,96066
12037,2010,11522
12039,2010,47794
12041,2010,17000
12043,2010,12869
12045,2010,15825
12047,2010,14683
12049,2010,27730
12051,2010,39009
12053,2010,172969
12055,2010,98635
12057,2010,1233498
12059,2010,19843
12061,2010,138270
12063,2010,49648
12065,2010,14755
12067,2010,8808
12069,2010,297709
12071,2010,620449
12073,2010,275971
12075,2010,40720
12077,2010,8349
12079,2010,19248
12081,2010,323424
12083,2010,331331
12085,2010,146909
12086,2010,2506972
12087,2010,73220
12089,2010,73513
12091,2010,180715
12093,2010,40025
12095,2010,1148564
12097,2010,269837
12099,2010,1323619
12101,2010,465487
12103,2010,916412
12105,2010,603102
12107,2010,74220
12109,2010,191249
12111,2010,278264
12113,2010,152908
12115,2010,379930
12117,2010,423051
12119,2010,94278
12121,2010,42328
12123,2010,22595
12125,2010,15542
12127,2010,494440
12129,2010,30825
12131,2010,55217
12133,2010,24720
13001,2010,18334
13003,2010,8364
13005,2010,11062
13007,2010,3431
13009,2010,45704
13011,2010,18410
13013,2010,69676
13015,2010,100050
13017,2010,17645
13019,2010,19361
13021,2010,155814
13023,2010,13036
13025,2010,18479
13027,2010,16246
13029,2010,30377
13031,2010,70559
13033,2010,23336
13035,2010,23786
13037,2010,6697
13039,2010,50661
13043,2010,11025
13045,2010,110655
13047,2010,64069
13049,2010,12853
13051,2010,265799
13053,2010,11182
13055,2010,25959
13057,2010,215197
13059,2010,117403
13061,2010,3177
13063,2010,259877
13065,2010,6764
13067,2010,689495
13069,2010,42728
13071,2010,45634
13073,2010,124955
13075,2010,17185
13077,2010,127937
13079,2010,12587
13081,2010,23433
13083,2010,16630
13085,2010,22328
13087,2010,27817
13089,2010,692443
13091,2010,21761
13093,2010,14854
13095,2010,94513
13097,2010,132573
13099,2010,10983
13101,2010,4015
13103,2010,52464
13105,2010,20100
13107,2010,22607
13109,2010,11021
13111,2010,23685
13113,2010,106938
13115,2010,96431
13117,2010,176723
13119,2010,22074
13121,2010,925632
13123,2010,28339
13125,2010,3079
13127,2010,79744
13129,2010,55257
13131,2010,25021
13133,2010,15976
13135,2010,808007
13137,2010,43061
13139,2010,180033
13141,2010,9433
13143,2010,28758
13145,2010,32149
13147,2010,25240
13149,2010,11841
13151,2010,205039
13153,2010,140651
13155,2010,9577
13157,2010,60696
13159,2010,13889
13161,2010,15111
13163,2010,16869
13165,2010,8320
13167,2010,9986
13169,2010,28646
13171,2010,18265
13173,2010,10104
13175,2010,48384
13177,2010,28414
13179,2010,62765
13181,2010,7970
13183,2010,14574
13185,2010,109689
13187,2010,30282
13189,2010,21803
13191,2010,14311
13193,2010,14645
13195,2010,28212
13197,2010,8741
13199,2010,21818
13201,2010,6133
13205,2010,23502
13207,2010,26179
13209,2010,9144
13211,2010,17901
13213,2010,39533
13215,2010,191101
13217,2010,100133
13219,2010,32925
13221,2010,14899
13223,2010,142837
13225,2010,27857
13227,2010,29436
13229,2010,18815
13231,2010,17922
13233,2010,41547
13235,2010,11969
13237,2010,21191
13239,2010,2512
13241,2010,16277
13243,2010,7668
13245,2010,201115
13247,2010,85354
13249,2010,5020
13251,2010,14501
13253,2010,8727
13255,2010,64096
13257,2010,26117
13259,2010,6102
13261,2010,32684
13263,2010,6880
13265,2010,1703
13267,2010,25475
13269,2010,8777
13271,2010,16518
13273,2010,9526
13275,2010,44747
13277,2010,40251
13279,2010,27244
13281,2010,10535
13283,2010,6894
13285,2010,67054
13287,2010,8910
13289,2010,8973
13291,2010,21370
13293,2010,27054
13295,2010,68870
13297,2010,83992
13299,2010,36308
13301,2010,5782
13303,2010,21093
13305,2010,30074
