facility_code,facility_name
CAPP,CORRECTIONAL ALTERNATIVE PLACEMENT PROGRAM
IMSI,IDAHO MAXIMUM SECURITY INSTITUTION
ISCC,IDAHO STATE CORRECTIONAL CENTER
ISCI,IDAHO STATE CORRECTIONAL INSTITUTION
SBWCC,SOUTH BOISE WOMEN'S CORRECTIONAL CENTER
SICI,SOUTH IDAHO CORRECTIONAL INSTITUTION
NICI,NORTH IDAHO CORRECTIONAL INSTITUTION
ICIO,IDAHO CORRECTIONAL INSTITUTION-OROFINO
PWCC,POCATELLO WOMEN'S CORRECTIONAL CENTER
SCC,SAGUARO CORRECTIONAL CENTER
SAWC,ST. ANTHONY WORK CAMP
CJ,COUNTY JAIL
OOS,OUT OF STATE
WC,WORK CAMPS
OTHER,OTHER
