level_1_incarceration_location_external_id,level_2_incarceration_location_external_id
001,CJ
002,CJ
003,CJ
004,CJ
005,CJ
006,CJ
007,CJ
008,CJ
009,CJ
010,CJ
011,CJ
012,CJ
013,CJ
014,CJ
015,CJ
016,CJ
017,CJ
018,CJ
020,CJ
021,CJ
022,CJ
023,CJ
024,CJ
025,CJ
026,CJ
027,CJ
028,CJ
029,CJ
030,CJ
031,CJ
032,CJ
034,CJ
035,CJ
036,CJ
037,CJ
038,CJ
039,CJ
040,CJ
041,CJ
042,CJ
043,CJ
044,CJ
045,CJ
048,CJ
049,CJ
050,CJ
051,CJ
052,CJ
053,CJ
055,CJ
056,CJ
058,CJ
059,CJ
060,CJ
061,CJ
062,CJ
063,CJ
064,CJ
065,CJ
066,CJ
067,CJ
068,CJ
06A,CJ
070,CJ
071,CJ
072,CJ
073,CJ
074,CJ
076,CJ
077,CJ
078,CJ
080,CJ
081,CJ
083,CJ
084,CJ
085,CJ
086,CJ
087,CJ
088,CJ
089,CJ
090,CJ
091,CJ
092,CJ
093,CJ
094,CJ
095,CJ
19A,CJ
19C,CJ
19D,CJ
33A,CJ
33B,CJ
46A,CJ
47A,CJ
47C,CJ
54A,CJ
57A,CJ
57B,CJ
75A,CJ
75B,CJ
79A,CJ
79B,CJ
82B,CJ
BCCX,BCCX
BMSP,BMSP
DBCI,DBCI
DJRC,DJRC
FPAF,FPAF
HCCF,HCCF
JCCJ,JCCJ
KCSC,KCSC
LCRC,LCRC
MCCX,MCCX
MCRC,MCRC
MLRC,MLRC
MTRC,MTRC
NCSC,NCSC
NECX,NECX
NWCX,NWCX
RMSI,RMSI
SCCC,SCCC
SCCF,SCCF
SPND,SPND
STSR,STSR
TCIP,TCIP
TCIX,TCIX
TPFW,TPFW
TSPR,TSPR
TTCC,TTCC
WCFA,WCFA
WTSP,WTSP
