facility_code,facility_name
001,"ANDERSON COUNTY JAIL"
002,"BEDFORD COUNTY JAIL"
02B,"TEMP"
003,"BENTON COUNTY JAIL"
004,"BLEDSOE COUNTY JAIL"
005,"BLOUNT COUNTY JAIL"
006,"BRADLEY COUNTY JAIL"
007,"CAMPBELL COUNTY JAIL"
008,"CANNON COUNTY JAIL"
009,"CARROLL COUNTY JAIL"
010,"CARTER COUNTY JAIL"
011,"CHEATHAM COUNTY JAIL"
012,"CHESTER COUNTY JAIL"
013,"CLAIBORNE COUNTY JAIL"
014,"CLAY COUNTY JAIL"
015,"COCKE COUNTY JAIL"
016,"COFFEE COUNTY JAIL"
017,"CROCKETT COUNTY JAIL"
018,"CUMBERLAND COUNTY JAIL"
020,"DECATUR COUNTY JAIL"
021,"DEKALB COUNTY JAIL"
022,"DICKSON COUNTY JAIL"
023,"DYER COUNTY JAIL"
024,"FAYETTE COUNTY JAIL"
025,"FENTRESS COUNTY JAIL"
026,"FRANKLIN COUNTY JAIL"
027,"GIBSON COUNTY JAIL"
028,"GILES COUNTY JAIL"
029,"GRAINGER COUNTY JAIL"
030,"GREENE COUNTY JAIL"
031,"GRUNDY COUNTY JAIL"
032,"HAMBLEN COUNTY JAIL"
034,"HANCOCK COUNTY JAIL"
035,"HARDEMAN COUNTY JAIL"
036,"HARDIN COUNTY JAIL"
037,"HAWKINS COUNTY JAIL"
038,"HAYWOOD COUNTY JAIL"
039,"HENDERSON COUNTY JAIL"
040,"HENRY COUNTY JAIL"
041,"HICKMAN COUNTY JAIL"
042,"HOUSTON COUNTY JAIL"
043,"HUMPHREYS COUNTY JAIL"
044,"JACKSON COUNTY JAIL"
045,"JEFFERSON COUNTY JAIL"
048,"LAKE COUNTY JAIL"
049,"LAUDERDALE COUNTY JAIL"
050,"LAWRENCE COUNTY JAIL"
051,"LEWIS COUNTY JAIL"
052,"LINCOLN COUNTY JAIL"
053,"LOUDON COUNTY JAIL"
055,"MCNAIRY COUNTY JAIL"
056,"MACON COUNTY JAIL"
058,"MARION COUNTY JAIL"
059,"MARSHALL COUNTY JAIL"
060,"MAURY COUNTY JAIL"
061,"MEIGS COUNTY JAIL"
062,"MONROE COUNTY JAIL"
063,"MONTGOMERY COUNTY JAIL"
064,"MOORE COUNTY JAIL"
065,"MORGAN COUNTY JAIL"
066,"OBION COUNTY JAIL"
067,"OVERTON COUNTY JAIL"
068,"PERRY COUNTY JAIL"
069,"TEMP"
06A,"BRADLEY COUNTY WORKHOUSE"
070,"POLK COUNTY JAIL"
071,"PUTNAM COUNTY JAIL"
072,"RHEA COUNTY JAIL"
073,"ROANE COUNTY JAIL"
074,"ROBERTSON COUNTY JAIL"
076,"SCOTT COUNTY JAIL"
077,"SEQUATCHIE COUNTY JAIL"
078,"SEVIER COUNTY JAIL"
080,"SMITH COUNTY JAIL"
081,"STEWART COUNTY JAIL"
083,"SUMNER COUNTY JAIL"
084,"TIPTON COUNTY JAIL"
085,"TROUSDALE COUNTY JAIL"
086,"UNICOI COUNTY JAIL"
087,"UNION COUNTY JAIL"
088,"VAN BUREN COUNTY JAIL"
089,"WARREN COUNTY JAIL"
090,"WASHINGTON COUNTY JAIL"
091,"WAYNE COUNTY JAIL"
092,"WEAKLEY COUNTY JAIL"
093,"WHITE COUNTY JAIL"
094,"WILLIAMSON COUNTY JAIL"
095,"WILSON COUNTY JAIL"
19A,"DAVIDSON COUNTY CJ2"
19C,"DAVIDSON COUNTY DETENTION CENTER/CORECIVIC"
19D,"METROPOLITAN CORRECTIONAL WORK CENTER/METRO"
33A,"HAMILTON COUNTY JAIL"
33B,"HAMILTON COUNTY WORKHOUSE SILVERDALE/"
46A,"JOHNSON COUNTY JAIL"
47A,"KNOX COUNTY JAIL"
47C,"KNOX COUNTY PENAL FARM"
54A,"MCMINN COUNTY JAIL"
57A,"MADISON COUNTY JAIL"
57B,"MADISON COUNTY WORK HOUSE"
63B,"TEMP"
75A,"RUTHERFORD COUNTY WORKHOUSE"
75B,"RUTHERFORD COUNTY JAIL"
78A,"TEMP"
79A,"SHELBY COUNTY CRIMINAL JUSTICE CENTER"
79B,"SHELBY EAST"
82B,"SULLIVAN COUNTY SHERIFF OFFICE"
BCCX,"BCCX"
BMSP,"BMSP"
DBCI,"DBCI"
DJRC,"DJRC"
FPAF,"FPAF"
HCCF,"HCCF"
JCCJ,"JCCJ"
KCSC,"KCSC"
LCRC,"LCRC"
MCCX,"MCCX"
MCRC,"MCRC"
MLRC,"MLRC"
MTRC,"MTRC"
NCSC,"NCSC"
NECX,"NECX"
NWCX,"NWCX"
RMSI,"RMSI"
SCCC,"SCCC"
SCCF,"SCCF"
SPND,"SPND"
STSR,"STSR"
TCIP,"TCIP"
TCIX,"TCIX"
TPFW,"TPFW"
TSPR,"TSPR"
TTCC,"TTCC"
WCFA,"WCFA"
WTSP,"WTSP"
CJ,"COUNTY JAIL"
