fips,state_abbrev,state_code,county_code,county_name
1001,AL,1,1,Autauga County
1003,AL,1,3,Baldwin County
1005,AL,1,5,Barbour County
1007,AL,1,7,Bibb County
1009,AL,1,9,Blount County
1011,AL,1,11,Bullock County
1013,AL,1,13,Butler County
1015,AL,1,15,Calhoun County
1017,AL,1,17,Chambers County
1019,AL,1,19,Cherokee County
1021,AL,1,21,Chilton County
1023,AL,1,23,Choctaw County
1025,AL,1,25,Clarke County
1027,AL,1,27,Clay County
1029,AL,1,29,Cleburne County
1031,AL,1,31,Coffee County
1033,AL,1,33,Colbert County
1035,AL,1,35,Conecuh County
1037,AL,1,37,Coosa County
1039,AL,1,39,Covington County
1041,AL,1,41,Crenshaw County
1043,AL,1,43,Cullman County
1045,AL,1,45,Dale County
1047,AL,1,47,Dallas County
1049,AL,1,49,DeKalb County
1051,AL,1,51,Elmore County
1053,AL,1,53,Escambia County
1055,AL,1,55,Etowah County
1057,AL,1,57,Fayette County
1059,AL,1,59,Franklin County
1061,AL,1,61,Geneva County
1063,AL,1,63,Greene County
1065,AL,1,65,Hale County
1067,AL,1,67,Henry County
1069,AL,1,69,Houston County
1071,AL,1,71,Jackson County
1073,AL,1,73,Jefferson County
1075,AL,1,75,Lamar County
1077,AL,1,77,Lauderdale County
1079,AL,1,79,Lawrence County
1081,AL,1,81,Lee County
1083,AL,1,83,Limestone County
1085,AL,1,85,Lowndes County
1087,AL,1,87,Macon County
1089,AL,1,89,Madison County
1091,AL,1,91,Marengo County
1093,AL,1,93,Marion County
1095,AL,1,95,Marshall County
1097,AL,1,97,Mobile County
1099,AL,1,99,Monroe County
1101,AL,1,101,Montgomery County
1103,AL,1,103,Morgan County
1105,AL,1,105,Perry County
1107,AL,1,107,Pickens County
1109,AL,1,109,Pike County
1111,AL,1,111,Randolph County
1113,AL,1,113,Russell County
1115,AL,1,115,St. Clair County
1117,AL,1,117,Shelby County
1119,AL,1,119,Sumter County
1121,AL,1,121,Talladega County
1123,AL,1,123,Tallapoosa County
1125,AL,1,125,Tuscaloosa County
1127,AL,1,127,Walker County
1129,AL,1,129,Washington County
1131,AL,1,131,Wilcox County
1133,AL,1,133,Winston County
1999,AL,1,999,AL Unknown
2013,AK,2,13,Aleutians East Borough
2016,AK,2,16,Aleutians West Census Area
2020,AK,2,20,Anchorage Municipality
2050,AK,2,50,Bethel Census Area
2060,AK,2,60,Bristol Bay Borough
2068,AK,2,68,Denali Borough
2070,AK,2,70,Dillingham Census Area
2090,AK,2,90,Fairbanks North Star Borough
2100,AK,2,100,Haines Borough
2105,AK,2,105,Hoonah-Angoon Census Area
2110,AK,2,110,Juneau City and Borough
2122,AK,2,122,Kenai Peninsula Borough
2130,AK,2,130,Ketchikan Gateway Borough
2150,AK,2,150,Kodiak Island Borough
2158,AK,2,158,Kusilvak Census Area
2164,AK,2,164,Lake and Peninsula Borough
2170,AK,2,170,Matanuska-Susitna Borough
2180,AK,2,180,Nome Census Area
2185,AK,2,185,North Slope Borough
2188,AK,2,188,Northwest Arctic Borough
2195,AK,2,195,Petersburg Census Area
2198,AK,2,198,Prince of Wales-Hyder Census Area
2220,AK,2,220,Sitka City and Borough
2230,AK,2,230,Skagway Municipality
2240,AK,2,240,Southeast Fairbanks Census Area
2261,AK,2,261,Valdez-Cordova Census Area
2270,AK,2,270,Wade Hampton Census Area
2275,AK,2,275,Wrangell City and Borough
2282,AK,2,282,Yakutat City and Borough
2290,AK,2,290,Yukon-Koyukuk Census Area
2999,AK,2,999,AK Unknown
4001,AZ,4,1,Apache County
4003,AZ,4,3,Cochise County
4005,AZ,4,5,Coconino County
4007,AZ,4,7,Gila County
4009,AZ,4,9,Graham County
4011,AZ,4,11,Greenlee County
4012,AZ,4,12,La Paz County
4013,AZ,4,13,Maricopa County
4015,AZ,4,15,Mohave County
4017,AZ,4,17,Navajo County
4019,AZ,4,19,Pima County
4021,AZ,4,21,Pinal County
4023,AZ,4,23,Santa Cruz County
4025,AZ,4,25,Yavapai County
4027,AZ,4,27,Yuma County
4999,AZ,4,999,AZ Unknown
5001,AR,5,1,Arkansas County
5003,AR,5,3,Ashley County
5005,AR,5,5,Baxter County
5007,AR,5,7,Benton County
5009,AR,5,9,Boone County
5011,AR,5,11,Bradley County
5013,AR,5,13,Calhoun County
5015,AR,5,15,Carroll County
5017,AR,5,17,Chicot County
5019,AR,5,19,Clark County
5021,AR,5,21,Clay County
5023,AR,5,23,Cleburne County
5025,AR,5,25,Cleveland County
5027,AR,5,27,Columbia County
5029,AR,5,29,Conway County
5031,AR,5,31,Craighead County
5033,AR,5,33,Crawford County
5035,AR,5,35,Crittenden County
5037,AR,5,37,Cross County
5039,AR,5,39,Dallas County
5041,AR,5,41,Desha County
5043,AR,5,43,Drew County
5045,AR,5,45,Faulkner County
5047,AR,5,47,Franklin County
5049,AR,5,49,Fulton County
5051,AR,5,51,Garland County
5053,AR,5,53,Grant County
5055,AR,5,55,Greene County
5057,AR,5,57,Hempstead County
5059,AR,5,59,Hot Spring County
5061,AR,5,61,Howard County
5063,AR,5,63,Independence County
5065,AR,5,65,Izard County
5067,AR,5,67,Jackson County
5069,AR,5,69,Jefferson County
5071,AR,5,71,Johnson County
5073,AR,5,73,Lafayette County
5075,AR,5,75,Lawrence County
5077,AR,5,77,Lee County
5079,AR,5,79,Lincoln County
5081,AR,5,81,Little River County
5083,AR,5,83,Logan County
5085,AR,5,85,Lonoke County
5087,AR,5,87,Madison County
5089,AR,5,89,Marion County
5091,AR,5,91,Miller County
5093,AR,5,93,Mississippi County
5095,AR,5,95,Monroe County
5097,AR,5,97,Montgomery County
5099,AR,5,99,Nevada County
5101,AR,5,101,Newton County
5103,AR,5,103,Ouachita County
5105,AR,5,105,Perry County
5107,AR,5,107,Phillips County
5109,AR,5,109,Pike County
5111,AR,5,111,Poinsett County
5113,AR,5,113,Polk County
5115,AR,5,115,Pope County
5117,AR,5,117,Prairie County
5119,AR,5,119,Pulaski County
5121,AR,5,121,Randolph County
5123,AR,5,123,St. Francis County
5125,AR,5,125,Saline County
5127,AR,5,127,Scott County
5129,AR,5,129,Searcy County
5131,AR,5,131,Sebastian County
5133,AR,5,133,Sevier County
5135,AR,5,135,Sharp County
5137,AR,5,137,Stone County
5139,AR,5,139,Union County
5141,AR,5,141,Van Buren County
5143,AR,5,143,Washington County
5145,AR,5,145,White County
5147,AR,5,147,Woodruff County
5149,AR,5,149,Yell County
5999,AR,5,999,AR Unknown
6001,CA,6,1,Alameda County
6003,CA,6,3,Alpine County
6005,CA,6,5,Amador County
6007,CA,6,7,Butte County
6009,CA,6,9,Calaveras County
6011,CA,6,11,Colusa County
6013,CA,6,13,Contra Costa County
6015,CA,6,15,Del Norte County
6017,CA,6,17,El Dorado County
6019,CA,6,19,Fresno County
6021,CA,6,21,Glenn County
6023,CA,6,23,Humboldt County
6025,CA,6,25,Imperial County
6027,CA,6,27,Inyo County
6029,CA,6,29,Kern County
6031,CA,6,31,Kings County
6033,CA,6,33,Lake County
6035,CA,6,35,Lassen County
6037,CA,6,37,Los Angeles County
6039,CA,6,39,Madera County
6041,CA,6,41,Marin County
6043,CA,6,43,Mariposa County
6045,CA,6,45,Mendocino County
6047,CA,6,47,Merced County
6049,CA,6,49,Modoc County
6051,CA,6,51,Mono County
6053,CA,6,53,Monterey County
6055,CA,6,55,Napa County
6057,CA,6,57,Nevada County
6059,CA,6,59,Orange County
6061,CA,6,61,Placer County
6063,CA,6,63,Plumas County
6065,CA,6,65,Riverside County
6067,CA,6,67,Sacramento County
6069,CA,6,69,San Benito County
6071,CA,6,71,San Bernardino County
6073,CA,6,73,San Diego County
6075,CA,6,75,San Francisco County
6077,CA,6,77,San Joaquin County
6079,CA,6,79,San Luis Obispo County
6081,CA,6,81,San Mateo County
6083,CA,6,83,Santa Barbara County
