year,state_name,state_abbr,state_fips,race_eth,n,geoid
2000,Alabama,AL,01,American Indian or Alaska Native,15813,0400000US01
2001,Alabama,AL,01,American Indian or Alaska Native,16041,0400000US01
2002,Alabama,AL,01,American Indian or Alaska Native,16326,0400000US01
2003,Alabama,AL,01,American Indian or Alaska Native,16625,0400000US01
2004,Alabama,AL,01,American Indian or Alaska Native,16886,0400000US01
2005,Alabama,AL,01,American Indian or Alaska Native,17162,0400000US01
2006,Alabama,AL,01,American Indian or Alaska Native,17486,0400000US01
2007,Alabama,AL,01,American Indian or Alaska Native,17745,0400000US01
2008,Alabama,AL,01,American Indian or Alaska Native,17994,0400000US01
2009,Alabama,AL,01,American Indian or Alaska Native,18205,0400000US01
2010,Alabama,AL,01,American Indian or Alaska Native,19788,0400000US01
2011,Alabama,AL,01,American Indian or Alaska Native,20158,0400000US01
2012,Alabama,AL,01,American Indian or Alaska Native,20498,0400000US01
2013,Alabama,AL,01,American Indian or Alaska Native,20860,0400000US01
2014,Alabama,AL,01,American Indian or Alaska Native,21268,0400000US01
2015,Alabama,AL,01,American Indian or Alaska Native,21643,0400000US01
2016,Alabama,AL,01,American Indian or Alaska Native,21955,0400000US01
2017,Alabama,AL,01,American Indian or Alaska Native,22269,0400000US01
2018,Alabama,AL,01,American Indian or Alaska Native,22578,0400000US01
2019,Alabama,AL,01,American Indian or Alaska Native,22897,0400000US01
2020,Alabama,AL,01,American Indian or Alaska Native,23296,0400000US01
2021,Alabama,AL,01,American Indian or Alaska Native,23591,0400000US01
2022,Alabama,AL,01,American Indian or Alaska Native,23902,0400000US01
2023,Alabama,AL,01,American Indian or Alaska Native,24270,0400000US01
2000,Alabama,AL,01,Asian,24101,0400000US01
2001,Alabama,AL,01,Asian,24813,0400000US01
2002,Alabama,AL,01,Asian,25928,0400000US01
2003,Alabama,AL,01,Asian,27211,0400000US01
2004,Alabama,AL,01,Asian,28809,0400000US01
2005,Alabama,AL,01,Asian,30390,0400000US01
2006,Alabama,AL,01,Asian,31777,0400000US01
2007,Alabama,AL,01,Asian,32943,0400000US01
2008,Alabama,AL,01,Asian,34239,0400000US01
2009,Alabama,AL,01,Asian,35760,0400000US01
2010,Alabama,AL,01,Asian,41123,0400000US01
2011,Alabama,AL,01,Asian,42653,0400000US01
2012,Alabama,AL,01,Asian,45388,0400000US01
2013,Alabama,AL,01,Asian,47135,0400000US01
2014,Alabama,AL,01,Asian,48712,0400000US01
2015,Alabama,AL,01,Asian,50424,0400000US01
2016,Alabama,AL,01,Asian,52335,0400000US01
2017,Alabama,AL,01,Asian,53903,0400000US01
2018,Alabama,AL,01,Asian,55050,0400000US01
2019,Alabama,AL,01,Asian,56413,0400000US01
2020,Alabama,AL,01,Asian,58168,0400000US01
2021,Alabama,AL,01,Asian,59868,0400000US01
2022,Alabama,AL,01,Asian,61430,0400000US01
2023,Alabama,AL,01,Asian,62998,0400000US01
2000,Alabama,AL,01,Black,796081,0400000US01
2001,Alabama,AL,01,Black,804616,0400000US01
2002,Alabama,AL,01,Black,811064,0400000US01
2003,Alabama,AL,01,Black,820834,0400000US01
2004,Alabama,AL,01,Black,829052,0400000US01
2005,Alabama,AL,01,Black,840192,0400000US01
2006,Alabama,AL,01,Black,856023,0400000US01
2007,Alabama,AL,01,Black,867877,0400000US01
2008,Alabama,AL,01,Black,882553,0400000US01
2009,Alabama,AL,01,Black,892872,0400000US01
2010,Alabama,AL,01,Black,906519,0400000US01
2011,Alabama,AL,01,Black,917253,0400000US01
2012,Alabama,AL,01,Black,929611,0400000US01
2013,Alabama,AL,01,Black,941892,0400000US01
2014,Alabama,AL,01,Black,950707,0400000US01
2015,Alabama,AL,01,Black,959584,0400000US01
2016,Alabama,AL,01,Black,966327,0400000US01
2017,Alabama,AL,01,Black,972489,0400000US01
2018,Alabama,AL,01,Black,978787,0400000US01
2019,Alabama,AL,01,Black,984210,0400000US01
2020,Alabama,AL,01,Black,1006299,0400000US01
2021,Alabama,AL,01,Black,1009218,0400000US01
2022,Alabama,AL,01,Black,1013689,0400000US01
2023,Alabama,AL,01,Black,1019581,0400000US01
2000,Alabama,AL,01,Hispanic or Latino,51434,0400000US01
2001,Alabama,AL,01,Hispanic or Latino,55087,0400000US01
2002,Alabama,AL,01,Hispanic or Latino,58403,0400000US01
2003,Alabama,AL,01,Hispanic or Latino,61817,0400000US01
2004,Alabama,AL,01,Hispanic or Latino,65491,0400000US01
2005,Alabama,AL,01,Hispanic or Latino,69598,0400000US01
2006,Alabama,AL,01,Hispanic or Latino,74334,0400000US01
2007,Alabama,AL,01,Hispanic or Latino,78636,0400000US01
2008,Alabama,AL,01,Hispanic or Latino,83223,0400000US01
2009,Alabama,AL,01,Hispanic or Latino,88087,0400000US01
2010,Alabama,AL,01,Hispanic or Latino,118345,0400000US01
2011,Alabama,AL,01,Hispanic or Latino,119022,0400000US01
2012,Alabama,AL,01,Hispanic or Latino,119019,0400000US01
2013,Alabama,AL,01,Hispanic or Latino,119441,0400000US01
2014,Alabama,AL,01,Hispanic or Latino,120000,0400000US01
2015,Alabama,AL,01,Hispanic or Latino,121356,0400000US01
2016,Alabama,AL,01,Hispanic or Latino,123867,0400000US01
2017,Alabama,AL,01,Hispanic or Latino,126509,0400000US01
2018,Alabama,AL,01,Hispanic or Latino,130410,0400000US01
2019,Alabama,AL,01,Hispanic or Latino,134040,0400000US01
2020,Alabama,AL,01,Hispanic or Latino,160109,0400000US01
2021,Alabama,AL,01,Hispanic or Latino,165379,0400000US01
2022,Alabama,AL,01,Hispanic or Latino,171385,0400000US01
2023,Alabama,AL,01,Hispanic or Latino,178683,0400000US01
2000,Alabama,AL,01,More than one race,21319,0400000US01
2001,Alabama,AL,01,More than one race,21890,0400000US01
2002,Alabama,AL,01,More than one race,22383,0400000US01
2003,Alabama,AL,01,More than one race,23041,0400000US01
2004,Alabama,AL,01,More than one race,23519,0400000US01
2005,Alabama,AL,01,More than one race,24101,0400000US01
2006,Alabama,AL,01,More than one race,24784,0400000US01
2007,Alabama,AL,01,More than one race,25334,0400000US01
2008,Alabama,AL,01,More than one race,26148,0400000US01
2009,Alabama,AL,01,More than one race,26885,0400000US01
2010,Alabama,AL,01,More than one race,31601,0400000US01
2011,Alabama,AL,01,More than one race,32616,0400000US01
2012,Alabama,AL,01,More than one race,33831,0400000US01
2013,Alabama,AL,01,More than one race,34927,0400000US01
2014,Alabama,AL,01,More than one race,35911,0400000US01
2015,Alabama,AL,01,More than one race,37060,0400000US01
2016,Alabama,AL,01,More than one race,38127,0400000US01
2017,Alabama,AL,01,More than one race,39330,0400000US01
2018,Alabama,AL,01,More than one race,40576,0400000US01
2019,Alabama,AL,01,More than one race,41919,0400000US01
2020,Alabama,AL,01,More than one race,43446,0400000US01
2021,Alabama,AL,01,More than one race,45281,0400000US01
2022,Alabama,AL,01,More than one race,47074,0400000US01
2023,Alabama,AL,01,More than one race,49116,0400000US01
2000,Alabama,AL,01,Native Hawaiian or Pacific Islander,815,0400000US01
2001,Alabama,AL,01,Native Hawaiian or Pacific Islander,853,0400000US01
2002,Alabama,AL,01,Native Hawaiian or Pacific Islander,872,0400000US01
2003,Alabama,AL,01,Native Hawaiian or Pacific Islander,886,0400000US01
2004,Alabama,AL,01,Native Hawaiian or Pacific Islander,914,0400000US01
2005,Alabama,AL,01,Native Hawaiian or Pacific Islander,923,0400000US01
2006,Alabama,AL,01,Native Hawaiian or Pacific Islander,958,0400000US01
2007,Alabama,AL,01,Native Hawaiian or Pacific Islander,983,0400000US01
2008,Alabama,AL,01,Native Hawaiian or Pacific Islander,1024,0400000US01
2009,Alabama,AL,01,Native Hawaiian or Pacific Islander,1054,0400000US01
2010,Alabama,AL,01,Native Hawaiian or Pacific Islander,1449,0400000US01
2011,Alabama,AL,01,Native Hawaiian or Pacific Islander,1461,0400000US01
2012,Alabama,AL,01,Native Hawaiian or Pacific Islander,1540,0400000US01
2013,Alabama,AL,01,Native Hawaiian or Pacific Islander,1610,0400000US01
2014,Alabama,AL,01,Native Hawaiian or Pacific Islander,1646,0400000US01
2015,Alabama,AL,01,Native Hawaiian or Pacific Islander,1703,0400000US01
