region_code,status_timestamp,flashing_in_progress
US_AR,2022-12-14T19:05:00.000000+00,false
US_CA,2022-07-13T16:21:34.821877+00,false
US_CA,2022-07-14T16:21:34.821877+00,true
US_CA,2022-07-15T16:21:34.821877+00,false
US_CO,2022-06-13T16:21:34.821877+00,false
US_IA,2022-11-08T16:21:34.821877+00,false
US_ID,2022-06-15T16:21:34.821877+00,false
US_IX,2022-11-21T23:23:34.821877+00,false
US_ME,2022-06-17T16:21:34.821877+00,false
US_ME,2022-06-18T16:21:34.821877+00,false
US_ME,2022-06-19T16:21:34.821877+00,true
US_MI,2022-06-19T16:21:34.821877+00,false
US_ND,2022-06-23T16:21:34.821877+00,false
US_OR,2022-09-07T16:21:34.821877+00,false
US_OZ,2022-08-24T16:21:34.821877+00,false
US_PA,2022-06-25T16:21:34.821877+00,false
US_TN,2022-06-27T16:21:34.821877+00,false
US_NC,2023-03-30T16:21:34.821877+00,false
US_MO,2022-08-31 20:44:50.926154+00,false
US_AZ,2023-03-20 12:59:16.392675+00,false
US_MA,2024-07-29 00:00:00.000000+00,false
US_NE,2024-07-30 00:00:00.000000+00,true
US_TX,2024-08-26 00:00:00.000000+00,false
US_UT,2024-09-19 11:22:58.299840+00,false
US_NY,2025-08-13 00:00:00.000000+00,false
