import_run_id,dag_run_id,import_run_start,import_run_end,region_code,raw_data_instance
1,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_CO,PRIMARY
2,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_AZ,PRIMARY
3,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_AR,PRIMARY
4,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_IA,PRIMARY
5,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_IX,PRIMARY
6,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_MA,PRIMARY
7,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_ME,PRIMARY
8,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_MO,PRIMARY
9,manual__2024-05-22T18:03:12.913850+00:00,2022-05-02T14:56:11.907873,2022-05-02T15:56:11.907873,US_CA,PRIMARY
10,manual__2024-05-23T18:03:12.913850+00:00,2022-05-03T14:56:11.907873,2022-05-03T15:56:11.907873,US_CO,PRIMARY
11,manual__2024-05-24T18:03:12.913850+00:00,2022-05-04T14:56:11.907873,2022-05-04T15:56:11.907873,US_CO,PRIMARY
12,manual__2024-05-25T18:03:12.913850+00:00,2022-05-05T14:56:11.907873,2022-05-05T15:56:11.907873,US_CO,PRIMARY
13,manual__2024-05-26T18:03:12.913850+00:00,2022-05-06T14:56:11.907873,,US_CO,PRIMARY
14,manual__2024-05-25T18:03:12.913850+00:00,2022-05-05T14:56:11.907873,2022-05-05T15:56:11.907873,US_MI,PRIMARY
15,manual__2024-05-26T18:03:12.913850+00:00,2022-05-25T14:56:11.907873,2022-05-25T15:56:11.907873,US_MI,SECONDARY
16,manual__2024-05-27T18:03:12.913850+00:00,2022-05-26T14:56:11.907873,2022-05-26T15:56:11.907873,US_MI,SECONDARY
