file_id,region_code,file_tag,normalized_file_name,discovery_time,processed_time,update_datetime,datetimes_contained_upper_bound_inclusive,raw_data_instance,is_invalidated,file_processed_time,file_discovery_time
90731,US_CO,Base_Curr_Off_Pop,unprocessed_2022-04-26T16:37:33:781474_raw_Base_Curr_Off_Pop.csv,2022-04-27T21:58:51.992436,2022-04-27T21:59:14.364985,2022-04-26T16:37:33.781474,2022-04-26T16:37:33.781474,PRIMARY,False,2022-04-27T21:59:14.364985,2022-04-27T21:58:51.992436
90743,US_CO,Base_Curr_Off_Pop,unprocessed_2022-04-27T14:26:50:834783_raw_Base_Curr_Off_Pop.csv,2022-04-27T22:12:24.234349,2022-04-27T22:12:48.581480,2022-04-27T14:26:50.834783,2022-04-27T14:26:50.834783,PRIMARY,False,2022-04-27T22:12:48.581480,2022-04-27T22:12:24.234349
92239,US_CO,Base_Curr_Off_Pop,unprocessed_2022-04-29T14:52:56:254568_raw_Base_Curr_Off_Pop.csv,2022-04-29T20:49:46.586737,2022-04-29T20:50:30.631857,2022-04-29T14:52:56.254568,2022-04-29T14:52:56.254568,PRIMARY,False,2022-04-29T20:50:30.631857,2022-04-29T20:49:46.586737
92890,US_CO,Base_Curr_Off_Pop,unprocessed_2022-05-02T05:30:56:759683_raw_Base_Curr_Off_Pop.csv,2022-05-02T14:56:11.907873,2022-05-02T14:56:32.091614,2022-05-02T05:30:56.759683,2022-05-02T05:30:56.759683,PRIMARY,False,2022-05-02T14:56:32.091614,2022-05-02T14:56:11.907873
93586,US_CO,Base_Curr_Off_Pop,unprocessed_2022-05-03T05:30:27:725484_raw_Base_Curr_Off_Pop.csv,2022-05-03T14:25:10.993613,2022-05-03T14:25:31.680082,2022-05-03T05:30:27.725484,2022-05-03T05:30:27.725484,PRIMARY,False,2022-05-03T14:25:31.680082,2022-05-03T14:25:10.993613
93888,US_CO,Base_Curr_Off_Pop,unprocessed_2022-05-04T05:31:02:226123_raw_Base_Curr_Off_Pop.csv,2022-05-04T14:45:40.880296,2022-05-04T14:45:53.859961,2022-05-04T05:31:02.226123,2022-05-04T05:31:02.226123,PRIMARY,False,2022-05-04T14:45:53.859961,2022-05-04T14:45:40.880296
115495,US_CO,Base_Curr_Off_Pop,unprocessed_2022-05-10T05:44:57:612239_raw_Base_Curr_Off_Pop.csv,2022-05-10T18:42:36.957789,2022-05-10T18:42:50.730425,2022-05-10T05:44:57.612239,2022-05-10T05:44:57.612239,PRIMARY,False,2022-05-10T18:42:50.730425,2022-05-10T18:42:36.957789
116296,US_CO,Base_Curr_Off_Pop,unprocessed_2022-05-13T05:32:35:215894_raw_Base_Curr_Off_Pop.csv,2022-05-13T17:54:06.612949,2022-05-13T17:55:00.620491,2022-05-13T05:32:35.215894,2022-05-13T05:32:35.215894,PRIMARY,False,2022-05-13T17:55:00.620491,2022-05-13T17:54:06.612949
119168,US_CO,Base_Curr_Off_Pop,unprocessed_2022-05-18T05:41:20:573306_raw_Base_Curr_Off_Pop.csv,2022-05-18T19:29:07.147693,2022-05-18T19:29:27.752685,2022-05-18T05:41:20.573306,2022-05-18T05:41:20.573306,PRIMARY,False,2022-05-18T19:29:27.752685,2022-05-18T19:29:07.147693
119406,US_CO,Base_Curr_Off_Pop,unprocessed_2022-05-19T05:50:28:926693_raw_Base_Curr_Off_Pop.csv,2022-05-19T15:07:48.803062,2022-05-19T15:08:06.953657,2022-05-19T05:50:28.926693,2022-05-19T05:50:28.926693,PRIMARY,False,2022-05-19T15:08:06.953657,2022-05-19T15:07:48.803062
