OFFC_REGION,OFFC_DISTRICT,OFFC_TYPE,OFFC_NAME
47,1,D,TYLER HEARING
46,1,D,ARLINGTON HEARING OFFICE
47,2,D,WACO HEARING
44,8,D,SAN ANGELO HEARING
45,1,D,HOUSTON HEARING OFFICE
47,3,D,HUNTSVILLE HEARING
45,2,D,ANGLETON HEARING
45,3,D,PORT ARTHUR HEARINGS OFFICE
43,1,D,SAN ANTONIO (3) HEARING
43,3,D,CORPUS CHRISTI HEARING
43,4,D,HARLINGEN HEARING
44,4,D,LUBBOCK HEARING
44,2,D,ABILENE HEARING
44,5,D,ODESSA HEARING
44,1,D,EL PASO HEARING
3,1D,D,REGION III ARD - HOUSTON 3
3,6,D,HOUSTON DPO 6
1,MV,D,BRADSHAW ISF
1,GG,D,GOODMAN ISF
3,18,D,HENLEY ISF OFFICE
42,1,D,DALLAS (1) HEARING
2,ED,D,REGION II ARD - DALLAS 5 DPO
1,UK,D,REGION I ARD - CONROE DPO
4,7,D,SAN ANTONIO DPO 2
4,8,D,SAN ANTONIO DPO 3
4,6,D,SAN ANTONIO DPO 1
4,12,D,AUSTIN DPO 1
5,14,D,BATEN ISF OFFICE
5,8,D,ODESSA DPO
5,15,D,EL PASO DPO 2
2,16,D,NORTH TEXAS ISF OFFICE
5,3,D,BIG SPRING DPO
5,3,D,BIG SPRINGS DPO
2,15,D,DALLAS DISTRICT REENTRY CENTER
3,BT,D,KEGANS ISF OFFICE
1,8,D,GREENVILLE DPO
1,12,D,MT. PLEASANT DPO
1,14,D,PARIS DPO
1,9,D,HUNTSVILLE DPO
3,15,D,WEBSTER DPO
4,14,D,GEORGETOWN DPO
1,1,D,ATHENS DPO
2,8,D,FORT WORTH DPO 2
4,19,D,WACO DPO
5,10,D,SAN ANGELO DPO
1,6,D,CONROE DPO
1,2,D,BEAUMONT DPO
4,10,D,SEGUIN DPO
4,1D,D,REGION IV ARD - SAN ANTONIO 1 DPO
5,4,D,EL PASO DPO
3,12,D,GALVESTON DPO
1,4,D,ORANGE DPO
5,9,D,PLAINVIEW DPO
1,1H,D,REGION I ARD-TYLER DPO
4,11,D,VICTORIA DPO
5,6,D,MIDLAND DPO
2,11,D,SHERMAN DPO
2,5,D,DALLAS DPO 5
3,7,D,HOUSTON DPO 7
3,16,D,ROSENBERG DPO
3,10,D,ANGLETON DPO
4,1,D,CORPUS CHRISTI DPO
4,13,D,AUSTIN DPO 2
5,5,D,LUBBOCK DPO
5,98,D,LUBBOCK REGION V OFFICE
5,1,D,ABILENE DPO
1,20,D,EAST TEXAS ISF OFFICE
2,10,D,MINERAL WELLS DPO
3,13,D,DAYTON DPO
5,RF,D,REGION V ARD - MIDLAND DPO
2,2,D,DALLAS DPO 2
4,18,D,TEMPLE DPO
2,1H,D,REGION II ARD - DALLAS 2 DPO
46,3,D,WAXAHACHIE HEARING
2,12,D,WAXAHACHIE DPO
2,1E,D,REGION II ARD - DALLAS 1 DPO
2,1C,D,DALLAS REGION II OFFICE
2,1,D,DALLAS DPO 1
2,3,D,DALLAS DPO 3
42,2,D,PARIS HEARING
1,16,D,TEXARKANA DPO
1,10,D,LONGVIEW DPO
1,11,D,MARSHALL DPO
1,17,D,TYLER DPO
1,13,D,NACOGDOCHES DPO
2,1F,D,REGION II ARD - FORTH WORTH 1 DPO
2,7,D,FORT WORTH DPO 1
2,9,D,FORT WORTH DPO 3
2,6,D,DENTON DPO
5,11,D,WICHITA FALLS DPO
46,4,D,GATESVILLE HEARING
5,12,D,BROWNWOOD DPO
3,4,D,HOUSTON DPO 4
3,3,D,HOUSTON DPO 3
3,1,D,HOUSTON DPO 1
3,1C,D,REGION III ARD - HOUSTON 2
3,2,D,HOUSTON DPO 2
3,5,D,HOUSTON DPO 5
4,4,D,LAREDO DPO
4,9,D,SAN ANTONIO RESOURCE CNTR
4,3,D,HARLINGEN DPO
4,1B,D,REGION IV ARD - AUSTIN 1 DPO
0,90,D,DEPUTY DIRECTOR FIELD OPERATIONS
0,91,D,DEPUTY DIRECTOR SUPPORT OPERATIONS
4,2,D,DEL RIO DPO
5,2,D,AMARILLO DPO
44,3,D,AMARILLO HEARING
44,6,D,MIDLAND HEARING
5,7,D,MONAHANS DPO
1,5,D,BRYAN/COLLEGE STATION DPO
1,1E,D,TYLER REGION I OFFICE
4,5,D,MCALLEN DPO
3,BV,D,HOUSTON VII PAROLE OFFICE (DRC)
3,BU,D,HOUSTON I PAROLE OFFICE (DRC)
4,1C,D,REGION IV ARD - CORPUS CHRISTI DPO
2,4,D,DALLAS DPO 4
46,7,D,WICHITA FALLS HEARING
