state_code,metric_id,metric_value,period,end_date,officer_id,value_type
US_XX,incarceration_starts_and_inferred,10,YEAR,2023-04-01,02,COUNT
US_XX,incarceration_starts_and_inferred,8,YEAR,2023-04-01,03,COUNT
US_XX,incarceration_starts_and_inferred,0,YEAR,2023-04-01,04,COUNT
US_XX,incarceration_starts_and_inferred,4,YEAR,2023-04-01,05,COUNT
US_XX,incarceration_starts_and_inferred,12,YEAR,2023-04-01,06,COUNT
US_XX,incarceration_starts_and_inferred,3,YEAR,2023-04-01,07,COUNT
US_XX,incarceration_starts_and_inferred,16,YEAR,2023-05-01,01,COUNT
US_XX,incarceration_starts_and_inferred,9,YEAR,2023-05-01,02,COUNT
US_XX,incarceration_starts_and_inferred,10,YEAR,2023-05-01,03,COUNT
US_XX,incarceration_starts_and_inferred,0,YEAR,2023-05-01,04,COUNT
US_XX,incarceration_starts_and_inferred,2,YEAR,2023-05-01,05,COUNT
US_XX,incarceration_starts_and_inferred,10,YEAR,2023-05-01,06,COUNT
US_XX,incarceration_starts_and_inferred,4,YEAR,2023-05-01,07,COUNT
US_XX,incarceration_starts_and_inferred,1,YEAR,2023-05-01,08,COUNT
US_XX,avg_daily_population,62.62,YEAR,2023-04-01,01,AVERAGE
US_XX,avg_daily_population,77.77,YEAR,2023-04-01,02,AVERAGE
US_XX,avg_daily_population,43.23,YEAR,2023-04-01,03,AVERAGE
US_XX,avg_daily_population,3.21,YEAR,2023-04-01,04,AVERAGE
US_XX,avg_daily_population,52.52,YEAR,2023-04-01,05,AVERAGE
US_XX,avg_daily_population,99.99,YEAR,2023-04-01,06,AVERAGE
US_XX,avg_daily_population,22.22,YEAR,2023-04-01,07,AVERAGE
US_XX,avg_daily_population,59.95,YEAR,2023-05-01,01,AVERAGE
US_XX,avg_daily_population,71.17,YEAR,2023-05-01,02,AVERAGE
US_XX,avg_daily_population,54.321,YEAR,2023-05-01,03,AVERAGE
US_XX,avg_daily_population,3.45,YEAR,2023-05-01,04,AVERAGE
US_XX,avg_daily_population,50.05,YEAR,2023-05-01,05,AVERAGE
US_XX,avg_daily_population,90.09,YEAR,2023-05-01,06,AVERAGE
US_XX,avg_daily_population,23.456,YEAR,2023-05-01,07,AVERAGE
US_XX,avg_daily_population,3,YEAR,2023-05-01,08,AVERAGE
US_XX,task_completions_transfer_to_limited_supervision,20,YEAR,2023-04-01,01,COUNT
US_XX,task_completions_transfer_to_limited_supervision,10,YEAR,2023-04-01,02,COUNT
US_XX,task_completions_transfer_to_limited_supervision,8,YEAR,2023-04-01,03,COUNT
US_XX,task_completions_transfer_to_limited_supervision,0,YEAR,2023-04-01,04,COUNT
US_XX,task_completions_transfer_to_limited_supervision,4,YEAR,2023-04-01,05,COUNT
US_XX,task_completions_transfer_to_limited_supervision,12,YEAR,2023-04-01,06,COUNT
US_XX,task_completions_transfer_to_limited_supervision,3,YEAR,2023-04-01,07,COUNT
US_XX,task_completions_transfer_to_limited_supervision,16,YEAR,2023-05-01,01,COUNT
US_XX,task_completions_transfer_to_limited_supervision,9,YEAR,2023-05-01,02,COUNT
US_XX,task_completions_transfer_to_limited_supervision,10,YEAR,2023-05-01,03,COUNT
US_XX,task_completions_transfer_to_limited_supervision,0,YEAR,2023-05-01,04,COUNT
US_XX,task_completions_transfer_to_limited_supervision,2,YEAR,2023-05-01,05,COUNT
US_XX,task_completions_transfer_to_limited_supervision,10,YEAR,2023-05-01,06,COUNT
US_XX,task_completions_transfer_to_limited_supervision,4,YEAR,2023-05-01,07,COUNT
US_XX,task_completions_transfer_to_limited_supervision,1,YEAR,2023-05-01,08,COUNT
US_XX,task_completions_transfer_to_limited_supervision,0.32,YEAR,2023-04-01,01,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.10,YEAR,2023-04-01,02,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.8,YEAR,2023-04-01,03,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.0,YEAR,2023-04-01,04,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.4,YEAR,2023-04-01,05,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.12,YEAR,2023-04-01,06,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.3,YEAR,2023-04-01,07,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.27,YEAR,2023-05-01,01,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.11,YEAR,2023-05-01,02,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.039,YEAR,2023-05-01,03,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.0,YEAR,2023-05-01,04,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.184,YEAR,2023-05-01,05,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.126,YEAR,2023-05-01,06,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.171,YEAR,2023-05-01,07,RATE
US_XX,task_completions_transfer_to_limited_supervision,0.333,YEAR,2023-05-01,08,RATE
US_XX,incarceration_starts_and_inferred,0.319,YEAR,2023-04-01,01,RATE
US_XX,incarceration_starts_and_inferred,0.10,YEAR,2023-04-01,02,RATE
US_XX,incarceration_starts_and_inferred,0.8,YEAR,2023-04-01,03,RATE
US_XX,incarceration_starts_and_inferred,0.0,YEAR,2023-04-01,04,RATE
US_XX,incarceration_starts_and_inferred,0.4,YEAR,2023-04-01,05,RATE
