state_code,officer_id,metric_id,period,end_date,metric_rate,caseload_type,target,threshold,status,top_x_pct,top_x_pct_percentile_value,is_top_x_pct
US_PA,01,incarceration_starts_and_inferred,YEAR,2023-04-01,0.32,ALL,0.14,0.21,NEAR,,,
US_PA,02,incarceration_starts_and_inferred,YEAR,2023-04-01,0.1,ALL,0.14,0.21,MET,,,
US_PA,03,incarceration_starts_and_inferred,YEAR,2023-04-01,0.8,ALL,0.14,0.21,MET,,,
US_PA,04,incarceration_starts_and_inferred,YEAR,2023-04-01,0.0,ALL,0.14,0.21,MET,,,
US_PA,05,incarceration_starts_and_inferred,YEAR,2023-04-01,0.4,ALL,0.14,0.21,FAR,,,
US_PA,06,incarceration_starts_and_inferred,YEAR,2023-04-01,0.12,ALL,0.14,0.21,MET,,,
US_PA,07,incarceration_starts_and_inferred,YEAR,2023-04-01,0.3,ALL,0.14,0.21,NEAR,,,
US_PA,01,incarceration_starts_and_inferred,YEAR,2023-05-01,0.26,ALL,0.13,0.2,FAR,,,
US_PA,02,incarceration_starts_and_inferred,YEAR,2023-05-01,0.11,ALL,0.13,0.2,MET,,,
US_PA,03,incarceration_starts_and_inferred,YEAR,2023-05-01,0.04,ALL,0.13,0.2,MET,10,0.05,True
US_PA,04,incarceration_starts_and_inferred,YEAR,2023-05-01,0.0,ALL,0.13,0.2,MET,,,
US_PA,05,incarceration_starts_and_inferred,YEAR,2023-05-01,0.184,ALL,0.13,0.2,NEAR,,,
US_PA,06,incarceration_starts_and_inferred,YEAR,2023-05-01,0.12,ALL,0.13,0.2,MET,,,
US_PA,07,incarceration_starts_and_inferred,YEAR,2023-05-01,0.17,ALL,0.13,0.2,NEAR,,,
US_PA,08,incarceration_starts_and_inferred,YEAR,2023-05-01,0.333,ALL,0.13,0.2,FAR,,,
US_PA,01,task_completions_transfer_to_limited_supervision,YEAR,2023-04-01,0.32,ALL,0.008,0.1,MET,,,
US_PA,02,task_completions_transfer_to_limited_supervision,YEAR,2023-04-01,0.1,ALL,0.008,0.1,MET,,,
US_PA,03,task_completions_transfer_to_limited_supervision,YEAR,2023-04-01,0.8,ALL,0.008,0.1,MET,,,
US_PA,04,task_completions_transfer_to_limited_supervision,YEAR,2023-04-01,0.0,ALL,0.008,0.1,FAR,,,
US_PA,05,task_completions_transfer_to_limited_supervision,YEAR,2023-04-01,0.4,ALL,0.008,0.1,MET,,,
US_PA,06,task_completions_transfer_to_limited_supervision,YEAR,2023-04-01,0.12,ALL,0.008,0.1,MET,,,
US_PA,07,task_completions_transfer_to_limited_supervision,YEAR,2023-04-01,0.3,ALL,0.008,0.1,MET,10,0.2,True
US_PA,01,task_completions_transfer_to_limited_supervision,YEAR,2023-05-01,0.27,ALL,0.008,0.1,MET,,,
US_PA,02,task_completions_transfer_to_limited_supervision,YEAR,2023-05-01,0.11,ALL,0.008,0.1,MET,,,
US_PA,03,task_completions_transfer_to_limited_supervision,YEAR,2023-05-01,0.039,ALL,0.008,0.1,MET,,,
US_PA,04,task_completions_transfer_to_limited_supervision,YEAR,2023-05-01,0.0,ALL,0.008,0.1,FAR,,,
US_PA,05,task_completions_transfer_to_limited_supervision,YEAR,2023-05-01,0.184,ALL,0.008,0.1,MET,,,
US_PA,06,task_completions_transfer_to_limited_supervision,YEAR,2023-05-01,0.126,ALL,0.008,0.1,MET,,,
US_PA,07,task_completions_transfer_to_limited_supervision,YEAR,2023-05-01,0.171,ALL,0.008,0.1,MET,10,0.5,False
US_PA,08,task_completions_transfer_to_limited_supervision,YEAR,2023-05-01,0.333,ALL,0.008,0.1,MET,,,
